step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,98.11297529103754,0.04475443102082372,0.18512354481220245,1.0,0.0,0.0,0.0,20.0,98.4,209.5,hard,0.11419754982590676,0.07006456670194047,0.0,0.0
2.0,4.0,59.53344037997723,0.05146782183947429,0.2631925112009048,1.0,0.0,0.0,0.0,20.0,60.75,209.5,hard,0.13013228293229614,0.08171226702644671,0.0,0.0
3.0,6.0,58.553849832439425,0.05788156434517126,0.33404258775711054,1.0,0.0,0.0,0.0,20.0,58.35,209.5,hard,0.14567086094692983,0.09253902058555742,0.0,0.0
4.0,8.0,50.18503402409553,0.06369800508681553,0.396943870306015,1.0,0.0,0.0,0.0,20.0,52.0,209.5,hard,0.15894607674636616,0.10313159026509126,0.0,0.0
5.0,10.0,53.85550703024863,0.06953278083201174,0.46304445385932924,1.0,0.0,0.0,0.0,20.0,53.55,209.5,hard,0.17229236346148633,0.11373079968094209,0.0,0.0
6.0,12.0,49.900036000370974,0.07518933708850514,0.52430928170681,1.0,0.0,0.0,0.0,20.0,50.75,209.5,hard,0.1855740617863139,0.1236875948659287,0.0,0.0
7.0,14.0,51.590460136389744,0.08096667171485192,0.5822100497484206,1.0,0.0,0.0,0.0,20.0,52.7,209.5,hard,0.19966784581473707,0.1333544257348513,0.0,0.0
8.0,16.0,48.55182682752609,0.08649421451237042,0.639872705936432,1.0,0.0,0.0,0.0,20.0,48.8,209.5,hard,0.2123289047080954,0.14338016869172426,0.0,0.0
9.0,18.0,50.366148097372054,0.09210535210914249,0.6930694229602813,1.0,0.0,0.0,0.0,20.0,50.55,209.5,hard,0.22504938504312197,0.15368483940224711,0.0,0.0
10.0,20.0,47.74683259725571,0.09734985899396288,0.7425610423088074,1.0,0.0,0.0,0.0,20.0,48.5,209.5,hard,0.2374989044239047,0.16278029817586093,0.0,0.0
11.0,22.0,42.51593894131184,0.10206986807431458,0.788515489935875,1.0,0.0,0.0,0.0,20.0,43.55,209.5,hard,0.24949440586461774,0.1702146523159822,0.0,0.0
