step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,97.41270310297013,0.041888221779737195,0.18648448514938354,1.0,0.0,0.0,0.0,20.0,97.7,209.5,hard,0.10563060717959209,0.06678288974256555,0.0,0.0
2.0,4.0,44.30094209179878,0.046687115294225305,0.2596288092136383,1.0,0.0,0.0,0.0,20.0,44.4,209.5,hard,0.11708062071025496,0.07506552673438513,0.0,0.0
3.0,6.0,52.449302581667894,0.05245906876575446,0.3299248629808426,1.0,0.0,0.0,0.0,20.0,52.05,209.5,hard,0.13078727877953583,0.0850876295476992,0.0,0.0
4.0,8.0,43.39844276431798,0.05728846561209443,0.39143586289882654,1.0,0.0,0.0,0.0,20.0,44.55,209.5,hard,0.1417075537026666,0.09398068161102477,0.0,0.0
5.0,10.0,31.556164353358753,0.06091997921781807,0.4359440169334411,1.0,0.0,0.0,0.0,20.0,33.15,209.5,hard,0.15031414105695834,0.10028685150094126,0.0,0.0
6.0,12.0,26.76128759822846,0.06386093163292313,0.4889136631488801,1.0,0.0,0.0,0.0,20.0,27.65,209.5,hard,0.15820495829119186,0.10451817904554894,0.0,0.0
7.0,14.0,28.46703422728777,0.06700347000811681,0.5383348135352135,1.0,0.0,0.0,0.0,20.0,28.7,209.5,hard,0.16582570688261516,0.10983107779111916,0.0,0.0
8.0,16.0,33.369694983041285,0.07059491444177746,0.5925346062779427,1.0,0.0,0.0,0.0,20.0,33.9,209.5,hard,0.17280062421119657,0.11755327416684849,0.0,0.0
9.0,18.0,27.358261231553552,0.07356381725982822,0.6447863381505013,1.0,0.0,0.0,0.0,20.0,27.4,209.5,hard,0.17834921129618833,0.12413792494562259,0.0,0.0
10.0,20.0,19.032866288149357,0.07570389336431337,0.6950431420207023,1.0,0.0,0.0,0.0,20.0,19.7,209.5,hard,0.1829226540467746,0.12833743501931708,0.0,0.0
11.0,22.0,24.886235372292994,0.07870150131169798,0.7384800410866738,1.0,0.0,0.0,0.0,20.0,26.1,209.5,hard,0.19093221793908297,0.13269693212710462,0.0,0.0
12.0,24.0,28.89491793259382,0.08194992080454179,0.7903241344094276,1.0,0.0,0.0,0.0,20.0,29.85,209.5,hard,0.20009984542733053,0.1369504437019218,0.0,0.0
13.0,26.0,36.66224864867927,0.0859299477055934,0.8450671957135201,1.0,0.0,0.0,0.0,20.0,36.2,209.5,hard,0.2090580155472966,0.14431879776387418,0.0,0.0
14.0,28.0,14.0654925663352,0.08755922286531331,0.8803542459607124,1.0,0.0,0.0,0.0,20.0,14.85,209.5,hard,0.21285023825699612,0.14721449893705765,0.0,0.0
15.0,30.0,17.82192787622213,0.08960461532649187,0.9182093990445136,1.0,0.0,0.0,0.0,20.0,18.85,209.5,hard,0.21788705864738214,0.15059625230772156,0.0,0.0
16.0,32.0,15.487372942531106,0.09136077276395863,0.9570752592682839,1.0,0.0,0.0,0.0,20.0,16.45,209.5,hard,0.22224576357105832,0.15346392558868507,0.0,0.0
