step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,89.26787677689494,0.04573780982540936,0.16061611552536487,1.0,0.0,0.0,0.0,20.0,89.6,209.5,hard,0.12239205436764071,0.06614596217851351,0.0,0.0
2.0,4.0,50.72932113609612,0.05153180287839141,0.2101085383743048,1.0,0.0,0.0,0.0,20.0,52.15,209.5,hard,0.13951512107157726,0.07298581178358775,0.0,0.0
3.0,6.0,37.10903699206411,0.05570767339666497,0.271328518435359,1.0,0.0,0.0,0.0,20.0,37.95,209.5,hard,0.15143549308192025,0.07831783495022425,0.0,0.0
4.0,8.0,38.064998142048715,0.05993484215568552,0.33557252027094364,1.0,0.0,0.0,0.0,20.0,38.7,209.5,hard,0.1617822432867359,0.08536187921470235,0.0,0.0
5.0,10.0,28.772874998918176,0.06315387348548993,0.37979257170856,1.0,0.0,0.0,0.0,20.0,28.8,209.5,hard,0.16910338446735135,0.09124847022893137,0.0,0.0
6.0,12.0,27.374525332587957,0.06618467748279264,0.42801719835400587,1.0,0.0,0.0,0.0,20.0,27.65,209.5,hard,0.17772392110666554,0.09514536858374786,0.0,0.0
7.0,14.0,17.453047947400805,0.06795300852812798,0.49059436562657355,1.0,0.0,0.0,0.0,20.0,17.7,209.5,hard,0.18191534220780756,0.09821881721174039,0.0,0.0
8.0,16.0,16.190953980129954,0.06984902568294706,0.5483517138063908,1.0,0.0,0.0,0.0,20.0,17.1,209.5,hard,0.18694036945578452,0.10100811852634775,0.0,0.0
9.0,18.0,17.808259630995988,0.07179595998517467,0.5998130997121334,1.0,0.0,0.0,0.0,20.0,18.4,209.5,hard,0.19147503175431327,0.10446981072638375,0.0,0.0
10.0,20.0,14.346798750454187,0.07341010877189948,0.6603959963023663,1.0,0.0,0.0,0.0,20.0,14.95,209.5,hard,0.19523556277210746,0.10734119880845283,0.0,0.0
