step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,83.76658999919891,0.05021778119395337,0.16705000400543213,1.0,0,0,0,20,84,211,hard,0.15,0.05759429153924567,0.0,0.0
2,4.0,51.75978353404999,0.05623879067384063,0.20108232975006102,1.0,0,0,0,20,52,211,hard,0.17204301075268819,0.060652395514780834,0.0,0.0
3,6.0,19.538674067497254,0.058800922367409685,0.2798657464981079,1.0,0,0,0,20,24,211,hard,0.1774193548387097,0.06574923547400612,0.0,0.0
4,8.0,50.72241076803207,0.06392518575454778,0.3879461598396301,1.0,0,0,0,20,51,211,hard,0.1860215053763441,0.0779816513761468,0.0,0.0
5,10.0,28.545384682893754,0.06699974378683064,0.4191661393642425,1.0,0,0,0,20,27,211,hard,0.1935483870967742,0.08307849133537207,0.0,0.0
6,12.0,0.36704545402526856,0.06699974378683064,0.4749190616607666,1.0,0,0,0,20,0,211,hard,0.1935483870967742,0.08307849133537207,0.0,0.0
7,14.0,11.589910105705261,0.06802459646425826,0.5636368799209595,1.0,0,0,0,20,10,211,hard,0.19408602150537635,0.08664627930682976,0.0,0.0
8,16.0,-4.684950932502747,0.06802459646425826,0.6290240716934203,1.0,0,0,0,20,0,211,hard,0.19408602150537635,0.08664627930682976,0.0,0.0
9,18.0,1.291308009147644,0.06802459646425826,0.6533537530899047,1.0,0,0,0,20,0,211,hard,0.19408602150537635,0.08664627930682976,0.0,0.0
10,20.0,-3.494590193271637,0.06802459646425826,0.7289514851570129,1.0,0,0,0,20,0,211,hard,0.19408602150537635,0.08664627930682976,0.0,0.0
11,22.0,21.278567282676697,0.06994619523443504,0.7726375246047973,1.0,0,0,0,20,20,211,hard,0.19623655913978494,0.09225280326197757,0.0,0.0
12,24.0,16.38340237593651,0.07135536766589803,0.8288873207569122,1.0,0,0,0,20,13,211,hard,0.1967741935483871,0.09734964322120285,0.0,0.0
13,26.0,4.207574089288712,0.07199590058929028,0.8681754672527313,1.0,0,0,0,20,7,211,hard,0.1989247311827957,0.09785932721712538,0.0,0.0
14,28.0,19.608214310884478,0.07430181911350243,0.9589284455776215,1.0,0,0,0,20,20,211,hard,0.2021505376344086,0.10397553516819572,0.0,0.0
15,30.0,10.040651016235353,0.07468613886753779,0.9977203369140625,1.0,0,0,0,20,12,211,hard,0.20268817204301076,0.10499490316004077,0.0,0.0
16,32.0,7.103633533239364,0.07519856520625161,1.044269391298294,1.0,0,0,0,20,6,211,hard,0.20268817204301076,0.10703363914373089,0.0,0.0
17,34.0,-0.6418700330257416,0.07519856520625161,1.0899367892742158,1.0,0,0,0,20,0,211,hard,0.20268817204301076,0.10703363914373089,0.0,0.0
18,36.0,22.783383941411973,0.07724827056110684,1.1734161388874054,1.0,0,0,0,20,19,211,hard,0.20591397849462365,0.11213047910295616,0.0,0.0
19,38.0,7.172671024084091,0.07840122982321292,1.1932950413227081,1.0,0,0,0,20,11,211,hard,0.20967741935483872,0.11314984709480122,0.0,0.0
20,40.0,29.477114766836166,0.08160389444017423,1.2848744690418243,1.0,0,0,0,20,26,211,hard,0.21451612903225806,0.12130479102956167,0.0,0.0
21,42.0,1.3969963519573212,0.08198821419420958,1.3613317167758943,1.0,0,0,0,20,4,211,hard,0.21505376344086022,0.12232415902140673,0.0,0.0
22,44.0,151.49044767189028,0.09723289777094543,1.547761640548706,2.0,1,0,1,20,130,211,hard,0.21505376344086022,0.13863404689092762,0.04409528636594019,0.0
23,46.0,86.06153921937943,0.10709710479118627,1.632992036342621,2.0,1,0,1,20,85,211,hard,0.21505376344086022,0.1529051987767584,0.06893056259503294,0.0
24,48.0,80.170742374897,0.11657699205739175,1.7284938979148865,2.0,1,0,1,20,85,211,hard,0.21505376344086022,0.16870540265035677,0.09072478459199189,0.0
25,50.0,31.531495234012603,0.12016397642838841,1.7992766070365906,2.0,1,0,1,20,34,211,hard,0.21505376344086022,0.17329255861365953,0.10035478966041561,0.0
26,52.0,-0.13774935913085945,0.12016397642838841,1.8090890502929688,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.17329255861365953,0.10035478966041561,0.0
27,54.0,37.96479969835281,0.12439149372277736,1.8958425116539002,2.0,1,0,1,20,39,211,hard,0.21505376344086022,0.18297655453618755,0.10745058286872783,0.0
28,56.0,10.338780199766159,0.12528823981552653,1.9483280813694,2.0,1,0,1,20,11,211,hard,0.21505376344086022,0.18603465851172274,0.10795742524075012,0.0
29,58.0,-0.9643985221385956,0.12592877273891878,2.0166394460201262,2.0,1,0,1,20,5,211,hard,0.21505376344086022,0.18858307849133538,0.10795742524075012,0.0
30,60.0,-1.175425294160843,0.12592877273891878,2.054374471902847,2.0,1,0,1,20,1,211,hard,0.21505376344086022,0.18858307849133538,0.10795742524075012,0.0
31,62.0,6.986116629838944,0.12631309249295414,2.1211269795894623,2.0,1,0,1,20,5,211,hard,0.21505376344086022,0.18960244648318042,0.10846426761277243,0.0
32,64.0,27.774000335454943,0.12938765052523699,2.2115069591999053,2.0,1,0,1,20,27,211,hard,0.21505376344086022,0.19571865443425077,0.11454637607704005,0.0
33,66.0,20.3896690967083,0.13143735588009223,2.305207906961441,2.0,1,0,1,20,19,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
34,68.0,-5.007493467569351,0.13143735588009223,2.3817075264453886,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
35,70.0,-0.8278795545697212,0.13143735588009223,2.392041358053684,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
36,72.0,-2.9606934350132943,0.13143735588009223,2.4704116788506503,2.0,1,0,1,20,1,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
37,74.0,-1.0738567853569982,0.13143735588009223,2.4976408603787417,2.0,1,0,1,20,1,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
38,76.0,-0.04330642181634897,0.13143735588009223,2.5226157882809632,2.0,1,0,1,20,1,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
39,78.0,-0.44468987995386117,0.13143735588009223,2.5842091348767275,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
40,80.0,0.6896376828551294,0.13143735588009223,2.6517261365056033,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
41,82.0,3.7569728826880455,0.13143735588009223,2.7388916137814516,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
42,84.0,-2.9040137944817546,0.13143735588009223,2.7992723873257632,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
43,86.0,1.5558008903861045,0.13143735588009223,2.8897825506329533,2.0,1,0,1,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
44,88.0,-3.82677115637064,0.13143735588009223,3.1338557818531987,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
45,90.0,-5.663970570623874,0.13143735588009223,3.2076568844914433,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
46,92.0,-1.5998032634854316,0.13143735588009223,3.2462315884232518,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
47,94.0,0.4672917186617852,0.13143735588009223,3.313331216871738,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
48,96.0,-5.474144517719746,0.13143735588009223,3.408438500463962,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
49,98.0,-3.2615852528214457,0.13143735588009223,3.444112863838672,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
50,100.0,4.222968038499355,0.13143735588009223,3.5233205130696295,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
51,102.0,-1.0385410833954811,0.13143735588009223,3.599281573593616,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
52,104.0,-5.045829076826573,0.13143735588009223,3.6671164992451666,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
53,106.0,4.434548414647579,0.13143735588009223,3.7688434675335882,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
54,108.0,1.9383477877974509,0.13143735588009223,3.842353010475635,1.0,0,0,2,20,0,211,hard,0.21505376344086022,0.1982670744138634,0.12012164216928535,0.0
55,110.0,11.097361477792264,0.13220599538816294,3.9158911278843878,1.0,0,0,2,20,8,211,hard,0.21827956989247313,0.1982670744138634,0.12012164216928535,0.0
56,112.0,-5.6463414221405985,0.13220599538816294,3.985685839951038,1.0,0,0,2,20,0,211,hard,0.21827956989247313,0.1982670744138634,0.12012164216928535,0.0
57,114.0,3.2786865234375,0.13220599538816294,4.0,1.0,0,0,2,20,0,211,hard,0.21827956989247313,0.1982670744138634,0.12012164216928535,0.0
58,116.0,6.487216949462891,0.13284652831155522,4.0,1.0,0,0,2,20,5,211,hard,0.22096774193548388,0.1982670744138634,0.12012164216928535,0.0
59,118.0,12.929550170898438,0.13438380732769664,4.0,1.0,0,0,2,20,14,211,hard,0.22741935483870968,0.1982670744138634,0.12012164216928535,0.0
60,120.0,-6.956661224365234,0.13438380732769664,4.0,1.0,0,0,2,20,0,211,hard,0.22741935483870968,0.1982670744138634,0.12012164216928535,0.0
61,122.0,33.87526872272491,0.13489623366641046,2.874531859397888,1.0,0,1,2,20,4,211,hard,0.2295698924731183,0.1982670744138634,0.12012164216928535,0.0
62,124.0,25.49799540205002,0.1377145785293364,2.9793299355506897,1.0,0,1,2,20,26,211,hard,0.24086021505376345,0.19877675840978593,0.12012164216928535,0.0
63,126.0,32.18235470170974,0.14117345631565462,3.0882264914512634,1.0,0,1,2,20,33,211,hard,0.25053763440860216,0.20336391437308868,0.12012164216928535,0.0
64,128.0,75.45551347990036,0.15026902382782475,3.154989706516266,1.0,0,1,2,20,77,211,hard,0.2747311827956989,0.2166156982670744,0.12012164216928535,0.0
65,130.0,66.1786586467743,0.15782731232385344,3.2315427341461183,1.0,0,1,2,20,71,211,hard,0.2940860215053763,0.22833843017329256,0.12012164216928535,0.0
66,132.0,10.892543272209169,0.15923648475531643,3.312808732032776,1.0,0,1,2,20,12,211,hard,0.3,0.22833843017329256,0.12012164216928535,0.0
67,134.0,102.09834754486084,0.17127850371509096,3.508262275695801,2.0,1,1,3,20,106,211,hard,0.3,0.2436289500509684,0.15255955397871263,0.0
68,136.0,50.09322083992958,0.1767870868562644,3.533895800352097,2.0,1,1,3,20,51,211,hard,0.3,0.2579001019367992,0.16016218955904712,0.0
69,138.0,25.65523767824173,0.17934921854983346,3.585521203517914,2.0,1,1,3,20,25,211,hard,0.3,0.2650356778797146,0.16320324379118095,0.0
