step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,88.3134317278862,0.04447736190756295,0.18284464570879935,1.0,0.0,0.0,0.0,20.0,88.7,209.5,hard,0.11886299457864762,0.06447769280584678,0.0,0.0
2.0,4.0,50.3700649894774,0.05006972463871149,0.25982165494561194,1.0,0.0,0.0,0.0,20.0,51.45,209.5,hard,0.13375207997992594,0.07264399502839688,0.0,0.0
3.0,6.0,41.095739332586525,0.05459692047556618,0.32101603367924686,1.0,0.0,0.0,0.0,20.0,41.3,209.5,hard,0.14518757931471207,0.07984358537544174,0.0,0.0
4.0,8.0,32.2031351827085,0.05833171422967896,0.3703185457810759,1.0,0.0,0.0,0.0,20.0,33.2,209.5,hard,0.15292539897383559,0.08740298930868161,0.0,0.0
5.0,10.0,45.42040509954095,0.0635157754012828,0.42956603988260034,1.0,0.0,0.0,0.0,20.0,46.05,209.5,hard,0.16533183430188433,0.09630165959419734,0.0,0.0
6.0,12.0,37.774449846893546,0.06775595762696132,0.49425348927825696,1.0,0.0,0.0,0.0,20.0,38.6,209.5,hard,0.17542710948513912,0.10362897042224273,0.0,0.0
7.0,14.0,39.43467316403985,0.07215571302668006,0.54679397919029,1.0,0.0,0.0,0.0,20.0,40.05,209.5,hard,0.18645057684362473,0.11070499681102912,0.0,0.0
8.0,16.0,53.305824077129365,0.07821815786013304,0.6112854883894324,1.0,0.0,0.0,0.0,20.0,54.15,209.5,hard,0.2005686937397786,0.12147554729912098,0.0,0.0
9.0,18.0,39.08177074587438,0.0826155311644873,0.6638393668159843,1.0,0.0,0.0,0.0,20.0,39.5,209.5,hard,0.21039064075943775,0.12969490884998908,0.0,0.0
10.0,20.0,40.2516230404377,0.08724377127617367,0.7233014152869581,1.0,0.0,0.0,0.0,20.0,41.4,209.5,hard,0.22161413572772984,0.1374897831484952,0.0,0.0
11.0,22.0,40.09861121326685,0.09121822563878713,0.789478831075132,1.0,0.0,0.0,0.0,20.0,37.8,209.5,hard,0.23093666799122073,0.14448235092172237,0.0,0.0
