step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,50.76678466796875,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,51,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
2,4.0,-1.2332139015197754,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,0,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
3,6.0,-1.2332139015197754,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,0,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
4,8.0,-1.2332139015197754,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,0,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
5,10.0,-1.2332139015197754,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,0,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
6,12.0,-1.2332139015197754,0.035984120886156996,0.1660696530342102,1.0,0,0,0,20,0,200,hard,0.09930220075147611,0.04912998976458546,0.0,0.0
7,14.0,48.429832458496094,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,53,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
8,16.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
9,18.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
10,20.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
11,22.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
12,24.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
13,26.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
14,28.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
15,30.0,-1.2512246370315552,0.04123447304392368,0.2561232829093933,1.0,0,0,0,20,0,200,hard,0.11755233494363929,0.05271238485158649,0.0,0.0
