step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
2,4.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
3,6.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
4,8.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
5,10.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
6,12.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
7,14.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
8,16.0,-1.22,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
9,18.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
10,20.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
11,22.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
12,24.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
13,26.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
14,28.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
15,30.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
16,32.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
17,34.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
18,36.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
19,38.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
20,40.0,-0.22000000000000003,0.026049018349801105,0.1,1.0,0,0,0,20,0,214,hard,0.038855909336211546,0.0672139558748076,0.0,0.0
21,42.0,323.75,0.06403182343128448,0.25,2.0,1,0,1,20,304,214,hard,0.038855909336211546,0.1400718317085685,0.07785642062689585,0.0
22,44.0,172.84883035326004,0.08404978827152573,0.3399999785423279,2.0,1,0,1,20,171,214,hard,0.038855909336211546,0.19240636223704463,0.1051567239635996,0.0
23,46.0,176.71400000858307,0.10419607339920442,0.42999995708465577,2.0,1,0,1,20,177,214,hard,0.07609282245008095,0.21600820933812212,0.1263902932254803,0.0
24,48.0,-1.285999991416931,0.10419607339920442,0.42999995708465577,2.0,1,0,1,20,0,214,hard,0.07609282245008095,0.21600820933812212,0.1263902932254803,0.0
25,50.0,-1.285999991416931,0.10419607339920442,0.42999995708465577,2.0,1,0,1,20,0,214,hard,0.07609282245008095,0.21600820933812212,0.1263902932254803,0.0
26,52.0,152.26202002191545,0.12036442961632234,0.5199999499320984,2.0,1,0,1,20,149,214,hard,0.07609282245008095,0.26115956900974857,0.14560161779575329,0.0
27,54.0,174.42710545921327,0.14025407416912614,0.6099999713897706,2.0,1,0,1,20,178,214,hard,0.1090124123043713,0.2909184197024115,0.16380182002022245,0.0
28,56.0,96.30137459516526,0.15077633773899654,0.6999999642372132,2.0,1,0,1,20,97,214,hard,0.1090124123043713,0.3155464340687532,0.18099089989888775,0.0
29,58.0,161.91211776828766,0.1687411779802387,0.7899999570846559,2.0,1,0,1,20,162,214,hard,0.14247166756610902,0.3345305284761416,0.20171890798786654,0.0
30,60.0,106.25945228052139,0.18041832413704606,0.8799999499320985,2.0,1,0,1,20,110,214,hard,0.14247166756610902,0.3606977937403797,0.22194135490394337,0.0
31,62.0,132.2610397987366,0.19389195431797768,0.9699999427795412,2.0,1,0,1,20,130,214,hard,0.17107393416082028,0.3719856336582863,0.237108190091001,0.0
32,64.0,81.94055528926849,0.20120621070191197,1.0599999284744264,2.0,1,0,1,20,82,214,hard,0.1797085806799784,0.3801949717804002,0.24974721941354905,0.0
33,66.0,90.711825694561,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,93,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
34,68.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
35,70.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
36,72.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
37,74.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
38,76.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
39,78.0,-1.4299999814033508,0.2121134351340947,1.1499999070167541,2.0,1,0,1,20,0,214,hard,0.19805720453318942,0.39456131349409956,0.2613751263902932,0.0
40,80.0,150.23562428474426,0.22199409726677788,1.2399999141693114,2.0,1,0,1,20,89,214,hard,0.2169454937938478,0.40277065161621345,0.27451971688574317,0.0
41,82.0,187.767942047596,0.24239702296933144,1.3299999213218687,2.0,1,0,1,20,186,214,hard,0.24284943335132217,0.4371472550025654,0.2967644084934277,0.0
42,84.0,73.92173121547698,0.2504812010778904,1.419999928474426,2.0,1,0,1,20,74,214,hard,0.25688073394495414,0.4479220112878399,0.30485338725985844,0.0
43,86.0,-1.4839999856948851,0.2504812010778904,1.419999928474426,2.0,1,0,1,20,0,214,hard,0.25688073394495414,0.4479220112878399,0.30485338725985844,0.0
44,88.0,-1.4839999856948851,0.2504812010778904,1.419999928474426,2.0,1,0,1,20,0,214,hard,0.25688073394495414,0.4479220112878399,0.30485338725985844,0.0
45,90.0,175.48600001430512,0.26857436160657,1.569999928474426,3.0,2,0,2,20,154,214,hard,0.25688073394495414,0.4479220112878399,0.3179979777553084,0.057128663686040734
46,92.0,87.46800001573563,0.2787116643141281,1.6599999213218686,3.0,2,0,2,20,88,214,hard,0.25688073394495414,0.4479220112878399,0.339737108190091,0.07501241927471436
47,94.0,80.76716443967818,0.28795072500962404,1.7499999070167538,3.0,2,0,2,20,77,214,hard,0.25688073394495414,0.4479220112878399,0.35085945399393326,0.09985096870342772
48,96.0,54.181804518222805,0.2943667393814962,1.839999892711639,3.0,2,0,2,20,57,214,hard,0.25688073394495414,0.4479220112878399,0.35540950455005055,0.12021857923497267
49,98.0,58.41400002288818,0.30116771461568076,1.9299998855590816,3.0,2,0,2,20,59,214,hard,0.25688073394495414,0.4479220112878399,0.36450960566228513,0.13760556383507203
50,100.0,56.54890262889862,0.30617220582574106,2.019999871253967,3.0,2,0,2,20,53,214,hard,0.25688073394495414,0.4479220112878399,0.37209302325581395,0.14952806756085443
51,102.0,63.54863620567321,0.311946618760426,2.1099998569488525,3.0,2,0,2,20,60,214,hard,0.25688073394495414,0.448435094920472,0.38422649140546006,0.15946348733233978
52,104.0,59.71316565799713,0.318875914282048,2.199999842643738,3.0,2,0,2,20,65,214,hard,0.25688073394495414,0.45202668034889687,0.38877654196157735,0.17834078489816194
53,106.0,47.34200003004074,0.322340562042859,2.2899998497962955,3.0,2,0,2,20,48,214,hard,0.25688073394495414,0.45356593124679323,0.390798786653185,0.18827620466964728
54,108.0,-2.788915011882782,0.322340562042859,2.37999986410141,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.390798786653185,0.18827620466964728
55,110.0,1.306000024318695,0.3224688823302964,2.469999878406525,3.0,2,0,2,20,2,214,hard,0.25688073394495414,0.45356593124679323,0.391304347826087,0.18827620466964728
56,112.0,-2.560773933410645,0.3224688823302964,2.5599998855590824,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.391304347826087,0.18827620466964728
57,114.0,1.9163184585571287,0.3224688823302964,2.6499998855590823,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.391304347826087,0.18827620466964728
58,116.0,5.959397483825684,0.3225972026177339,2.739999885559082,3.0,2,0,2,20,3,214,hard,0.25688073394495414,0.45356593124679323,0.3918099089989889,0.18827620466964728
59,118.0,2.650914009094238,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,1,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
60,120.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
61,122.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
62,124.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
63,126.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
64,128.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
65,130.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
66,132.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
67,134.0,-1.7659999771118162,0.3227255229051713,2.829999885559082,3.0,2,0,2,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.18827620466964728
68,136.0,45.70400002288818,0.3254202489413576,2.979999885559082,4.0,3,0,3,20,24,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.19870839542970692
69,138.0,19.686000022888184,0.3273450532529193,3.0699998855590818,4.0,3,0,3,20,20,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.20615996025832092
70,140.0,12.970911781311036,0.3282432952649814,3.1599998855590816,4.0,3,0,3,20,10,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.20963735717834078
71,142.0,-3.9258495101928714,0.32837161555241884,3.2499998855590815,4.0,3,0,3,20,2,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.21013412816691504
72,144.0,1.909460121154785,0.32837161555241884,3.3399998855590813,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.21013412816691504
73,146.0,16.614000022888185,0.33016809957654303,3.429999885559081,4.0,3,0,3,20,17,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.2170889220069548
74,148.0,29.418467826843262,0.33388938791222894,3.519999885559081,4.0,3,0,3,20,31,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
75,150.0,0.7555298347473147,0.33388938791222894,3.609999885559081,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
76,152.0,-3.9460677299499514,0.33388938791222894,3.6999998855590808,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
77,154.0,-5.647826942443848,0.33388938791222894,3.7899998855590806,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
78,156.0,-5.353396560668945,0.33388938791222894,3.8799998855590805,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
79,158.0,1.9024176406860351,0.33388938791222894,3.9699998855590803,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
80,160.0,2.2464380264282227,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
81,162.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
82,164.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
83,166.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
84,168.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
85,170.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
86,172.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
87,174.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
88,176.0,-1.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
89,178.0,-0.5,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
90,180.0,-3.2464380264282227,0.33388938791222894,4.0,4.0,3,0,3,20,0,214,hard,0.25688073394495414,0.45356593124679323,0.3923154701718908,0.23149528067560854
