step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,102.76284661388397,0.04918032786885246,0.18576693058013916,1.0,0,0,0,20,103,244,hard,0.14675950723085163,0.05629477993858751,0.0,0.0
2,4.0,125.37569160699844,0.0630122950819672,0.27627753019332885,1.0,0,0,0,20,126,244,hard,0.16336368505623997,0.09570112589559877,0.0,0.0
3,6.0,61.4056542186737,0.06967213114754098,0.36443482398986815,1.0,0,0,0,20,60,244,hard,0.17514729512587038,0.11105424769703173,0.0,0.0
4,8.0,51.19276316165924,0.07505122950819672,0.45443761348724365,1.0,0,0,0,20,49,244,hard,0.18050348152115694,0.12743091095189354,0.0,0.0
5,10.0,63.69345434331893,0.08235143442622951,0.532728283405304,1.0,0,0,0,20,64,244,hard,0.18478843063738618,0.15250767656090072,0.0,0.0
6,12.0,79.48560444784164,0.09144467213114754,0.623849060535431,1.0,0,0,0,20,76,244,hard,0.19871451526513123,0.17553735926305014,0.0,0.0
7,14.0,67.34178923606872,0.09887295081967214,0.7137670993804932,1.0,0,0,0,20,66,244,hard,0.21638993036957685,0.18833162743091095,0.0,0.0
8,16.0,100.12613609361648,0.11065573770491803,0.8023620581626892,1.0,0,0,0,20,101,244,hard,0.2544188537761114,0.19907881269191402,0.0,0.0
9,18.0,-1.3604724116325377,0.11065573770491803,0.8023620581626892,1.0,0,0,0,20,0,244,hard,0.2544188537761114,0.19907881269191402,0.0,0.0
10,20.0,57.622946997642515,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,58,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
11,22.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
12,24.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
13,26.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
14,28.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
15,30.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
16,32.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
17,34.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
18,36.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
19,38.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
20,40.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
21,42.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
22,44.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
23,46.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
24,48.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
25,50.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
26,52.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
27,54.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
28,56.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
29,58.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
30,60.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
31,62.0,-1.377053002357483,0.1173155737704918,0.8852650117874146,1.0,0,0,0,20,0,244,hard,0.2715586502410284,0.20931422722620266,0.0,0.0
32,64.0,22.622550825715066,0.12000512295081968,0.9059265631437302,1.0,0,0,0,20,27,244,hard,0.2801285484734869,0.21187308085977483,0.0,0.0
33,66.0,94.60144914495945,0.13076331967213115,0.9927542752027512,1.0,0,0,0,20,95,244,hard,0.3090519550080343,0.22722620266120777,0.0,0.0
34,68.0,108.05473539078235,0.14331454918032788,1.0982636588811874,1.0,0,0,0,20,106,244,hard,0.3427959292983396,0.24513817809621288,0.0,0.0
35,70.0,32.80889604723453,0.14690061475409835,1.1857262533903121,1.0,0,0,0,20,35,244,hard,0.3535083020889127,0.24923234390992835,0.0,0.0
36,72.0,71.64346422207355,0.1559938524590164,1.2685568803548812,1.0,0,0,0,20,75,244,hard,0.37814675950723087,0.26202661207778916,0.0,0.0
37,74.0,80.78720127403736,0.16419057377049182,1.3460513919591903,1.0,0,0,0,20,76,244,hard,0.3995715050883771,0.2743091095189355,0.0,0.0
38,76.0,64.58984147179126,0.17097848360655737,1.4361104434728622,1.0,0,0,0,20,65,244,hard,0.4172469201928227,0.28454452405322417,0.0,0.0
39,78.0,124.82366885578632,0.18519467213114754,1.5261287969350814,1.0,0,0,0,20,123,244,hard,0.45206213176218535,0.30808597748208805,0.0,0.0
40,80.0,102.04334404337406,0.19697745901639344,1.6020120447874069,1.0,0,0,0,20,105,244,hard,0.47830744509908946,0.33009211873080857,0.0,0.0
41,82.0,79.73064639961719,0.20530225409836064,1.6802335780858992,1.0,0,0,0,20,77,244,hard,0.5002678093197643,0.34237461617195497,0.0,0.0
42,84.0,80.65176882946491,0.21401127049180327,1.7669041055440902,1.0,0,0,0,20,83,244,hard,0.5179432244242099,0.3602865916069601,0.0,0.0
43,86.0,67.13156607687473,0.22092725409836064,1.8503750294446943,1.0,0,0,0,20,68,244,hard,0.533476164970541,0.37308085977482086,0.0,0.0
44,88.0,65.79263743507862,0.22745901639344263,1.9440041011571882,1.0,0,0,0,20,70,244,hard,0.5463310123192288,0.38689866939611056,0.0,0.0
45,90.0,52.81740765869617,0.23258196721311475,2.0343673080205917,1.0,0,0,0,20,50,244,hard,0.5586502410283878,0.3955987717502559,0.0,0.0
46,92.0,70.2410588685274,0.23975409836065573,2.129904059767723,1.0,0,0,0,20,71,244,hard,0.5709694697375469,0.4124872057318321,0.0,0.0
47,94.0,42.05215137255192,0.24474897540983606,2.224403011202812,1.0,0,0,0,20,43,244,hard,0.5816818425281199,0.42221084953940635,0.0,0.0
48,96.0,42.33751788961887,0.2497438524590164,2.312410551905632,1.0,0,0,0,20,43,244,hard,0.5945366898768077,0.42988741044012285,0.0,0.0
49,98.0,103.31991141188145,0.2615266393442623,2.400442940592766,1.0,0,0,0,20,104,244,hard,0.6057846813069094,0.4662231320368475,0.0,0.0
50,100.0,67.30186952364444,0.2683145491803279,2.4906523817777635,1.0,0,0,0,20,68,244,hard,0.6170326727370112,0.4825997952917093,0.0,0.0
51,102.0,46.4640415097475,0.2738217213114754,2.561874436736107,1.0,0,0,0,20,48,244,hard,0.6288162828066417,0.49334698055271237,0.0,0.0
52,104.0,34.27090018761157,0.2776639344262295,2.6454990619421004,1.0,0,0,0,20,35,244,hard,0.6373861810391002,0.5005117707267144,0.0,0.0
53,106.0,95.25102608883381,0.28739754098360654,2.7448695558309555,1.0,0,0,0,20,96,244,hard,0.647027316550616,0.5301944728761515,0.0,0.0
54,108.0,53.23175200664997,0.2934170081967213,2.841239966750145,1.0,0,0,0,20,54,244,hard,0.6588109266202464,0.5429887410440123,0.0,0.0
55,110.0,56.21371307241916,0.29982069672131145,2.931434637904167,1.0,0,0,0,20,57,244,hard,0.6716657739689341,0.5562947799385876,0.0,0.0
56,112.0,-1.7862869275808335,0.29982069672131145,2.931434637904167,1.0,0,0,0,20,0,244,hard,0.6716657739689341,0.5562947799385876,0.0,0.0
57,114.0,-1.7862869275808335,0.29982069672131145,2.931434637904167,1.0,0,0,0,20,0,244,hard,0.6716657739689341,0.5562947799385876,0.0,0.0
58,116.0,194.19622928106787,0.32325819672131145,3.018853594660759,1.0,0,0,0,20,195,244,hard,0.7337975361542581,0.5905834186284544,0.0,0.0
59,118.0,115.97591525757312,0.3359375,3.105575956702232,1.0,0,0,0,20,117,244,hard,0.7670058918050349,0.6095189355168884,0.0,0.0
60,120.0,84.38491190111637,0.34592725409836067,3.195139972567558,1.0,0,0,0,20,85,244,hard,0.790037493304767,0.6274309109518935,0.0,0.0
61,122.0,72.14449805510044,0.35399590163934425,3.277509724497795,1.0,0,0,0,20,73,244,hard,0.803963577932512,0.6463664278403275,0.0,0.0
62,124.0,59.05485345566272,0.36065573770491804,3.365343965888023,1.0,0,0,0,20,57,244,hard,0.8189608998393144,0.6586489252814739,0.0,0.0
63,126.0,72.11586755144596,0.3687243852459016,3.447579700350761,1.0,0,0,0,20,75,244,hard,0.8334226031065881,0.6770726714431935,0.0,0.0
