step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,97.6035187349224,0.04402575796461647,0.1824063253879547,1.0,0.0,0.0,0.0,20.0,97.92,224.5,hard,0.11080759253985387,0.07023887689956194,0.0,0.0
2.0,4.0,46.24548681527138,0.049056449914184244,0.24997737259864802,1.0,0.0,0.0,0.0,20.0,46.72,224.5,hard,0.12328286565567029,0.0784410532045134,0.0,0.0
3.0,6.0,42.668001728897096,0.053768966666729485,0.30752005157470697,1.0,0.0,0.0,0.0,20.0,42.78,224.5,hard,0.13398962719510357,0.08706023611106856,0.0,0.0
4.0,8.0,36.26912820750236,0.05781777369588737,0.3565707478046417,1.0,0.0,0.0,0.0,20.0,36.72,224.5,hard,0.14374902714960347,0.0939268619947527,0.0,0.0
5.0,10.0,31.361235165081027,0.06133964110745258,0.4002598549842834,1.0,0.0,0.0,0.0,20.0,31.78,224.5,hard,0.15190601758953767,0.10022318967774385,0.0,0.0
6.0,12.0,22.227231088209145,0.06387956612317992,0.4391643378734588,1.0,0.0,0.0,0.0,20.0,23.08,224.5,hard,0.15772136443096754,0.10482255996882323,0.0,0.0
7.0,14.0,26.504262895317073,0.0669298712988007,0.4762181772232056,1.0,0.0,0.0,0.0,20.0,26.96,224.5,hard,0.16552115829867634,0.109567140311533,0.0,0.0
8.0,16.0,20.549523357467653,0.06930316000267685,0.5105685397148132,1.0,0.0,0.0,0.0,20.0,21.28,224.5,hard,0.17130888190073496,0.1135304107588016,0.0,0.0
9.0,18.0,17.591713038444517,0.07132485040432734,0.5406159234046936,1.0,0.0,0.0,0.0,20.0,18.5,224.5,hard,0.17596245230236204,0.11716896673285897,0.0,0.0
10.0,20.0,11.635599607896804,0.07270573878686709,0.5636811878681183,1.0,0.0,0.0,0.0,20.0,12.5,224.5,hard,0.17905469987830433,0.11973603209904685,0.0,0.0
11.0,22.0,5.65689955696106,0.07339392633413173,0.5795518882751465,1.0,0.0,0.0,0.0,20.0,6.58,224.5,hard,0.18075361884539368,0.1208652357123454,0.0,0.0
12.0,24.0,11.379228284502029,0.07478496628475996,0.6035829179286956,1.0,0.0,0.0,0.0,20.0,12.5,224.5,hard,0.18391541700379058,0.12340304014574865,0.0,0.0
13.0,26.0,9.812042348251342,0.07598136115603112,0.6208027488708495,1.0,0.0,0.0,0.0,20.0,11.16,224.5,hard,0.18700281607812858,0.12523240929166835,0.0,0.0
14.0,28.0,11.11555184591293,0.07735401002289534,0.639984787082672,1.0,0.0,0.0,0.0,20.0,12.3,224.5,hard,0.1902583456885333,0.1276084292851905,0.0,0.0
