step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.22,0.02852756812076244,0.1,1.0,0,0,0,20,0,218,hard,0.061389337641357025,0.055442522889114956,0.0,0.0
2,4.0,68.56083285856246,0.03581936804400665,0.18382513284683227,1.0,0,0,0,20,67,218,hard,0.08669897684437264,0.06052899287894201,0.0,0.0
3,6.0,75.73760530138016,0.044390431111679673,0.26647369146347044,1.0,0,0,0,20,78,218,hard,0.10662358642972536,0.0757884028484232,0.0,0.0
4,8.0,171.4739532904625,0.06549827299475502,0.35409333467483517,1.0,0,0,0,20,175,218,hard,0.16693591814754982,0.10274669379450661,0.0,0.0
5,10.0,72.70827953338623,0.07381348343354228,0.44894638061523434,1.0,0,0,0,20,77,218,hard,0.18524501884760367,0.1185147507629705,0.0,0.0
6,12.0,57.808820991039276,0.08046565178457209,0.5361248040199279,1.0,0,0,0,20,60,218,hard,0.20247711362412493,0.12868769074262462,0.0,0.0
7,14.0,120.66812199878693,0.09415376742996034,0.6271939611434936,1.0,0,0,0,20,117,218,hard,0.23747980613893377,0.15005086469989828,0.0,0.0
8,16.0,86.73848758316039,0.10374824101317641,0.7170126152038574,1.0,0,0,0,20,85,218,hard,0.2606354334948842,0.16632756866734486,0.0,0.0
9,18.0,51.63854685401916,0.11014455673532046,0.8072657299041748,1.0,0,0,0,20,52,218,hard,0.2773290253096392,0.17599186164801628,0.0,0.0
10,20.0,38.62054624319076,0.11411027248304977,0.897268784046173,1.0,0,0,0,20,39,218,hard,0.28648357565966615,0.18311291963377416,0.0,0.0
11,22.0,89.5740064511299,0.12485608289625176,0.9825916838645935,1.0,0,0,0,20,89,218,hard,0.31610123855681205,0.19786368260427264,0.0,0.0
12,24.0,120.44778426599503,0.13764871434053985,1.0757396960258483,1.0,0,0,0,20,120,218,hard,0.3473344103392569,0.21922685656154628,0.0,0.0
13,26.0,53.56672663354873,0.1434053984904695,1.166366832256317,1.0,0,0,0,20,54,218,hard,0.362412493268713,0.2278738555442523,0.0,0.0
14,28.0,64.31082092046738,0.15108097735704235,1.2564870953559875,1.0,0,0,0,20,67,218,hard,0.3834141087775983,0.23855544252288913,0.0,0.0
15,30.0,56.614454802036285,0.15760521939362926,1.350098807811737,1.0,0,0,0,20,57,218,hard,0.39526117393645666,0.2533062054933876,0.0,0.0
16,32.0,57.48774371242523,0.16348982985800178,1.4358637285232545,1.0,0,0,0,20,54,218,hard,0.40656973613354874,0.26602238046795523,0.0,0.0
17,34.0,64.45727137517929,0.1701419982090316,1.5238190197944643,1.0,0,0,0,20,61,218,hard,0.42164781906300486,0.2782299084435402,0.0,0.0
18,36.0,58.11947853040695,0.17641038761673275,1.6111301445961002,1.0,0,0,0,20,60,218,hard,0.4378029079159935,0.28789420142421157,0.0,0.0
19,38.0,-1.52222602891922,0.17641038761673275,1.6111301445961002,1.0,0,0,0,20,0,218,hard,0.4378029079159935,0.28789420142421157,0.0,0.0
20,40.0,104.78818125391007,0.18843546117436358,1.6989462542533877,1.0,0,0,0,20,104,218,hard,0.4674205708131395,0.30773143438453715,0.0,0.0
21,42.0,353.41220152091984,0.22822054496609953,1.938992395401001,2.0,1,0,1,20,332,218,hard,0.47495961227786754,0.39114954221770093,0.06717171717171717,0.0
22,44.0,131.87788879299166,0.24331585007035947,2.0318004179000857,2.0,1,0,1,20,132,218,hard,0.4808831448572967,0.42929806714140384,0.08333333333333333,0.0
23,46.0,121.37486137199402,0.25534092362799027,2.1256931400299073,2.0,1,0,1,20,122,218,hard,0.49326871297792135,0.4471007121057986,0.10151515151515152,0.0
24,48.0,58.76008679819107,0.26148138672124854,2.2022105479240417,2.0,1,0,1,20,55,218,hard,0.5002692514808832,0.4572736520854527,0.10909090909090909,0.0
25,50.0,102.46928048992157,0.2713317129333504,2.2861649560928345,2.0,1,0,1,20,102,218,hard,0.5137318255250404,0.470498474059003,0.12222222222222222,0.0
26,52.0,77.9834689245224,0.27964692337213765,2.3689217042922976,2.0,1,0,1,20,76,218,hard,0.5218093699515347,0.48575788402848424,0.13232323232323231,0.0
27,54.0,65.70710497045516,0.28783420749648203,2.4539160656929018,2.0,1,0,1,20,70,218,hard,0.5320409262250942,0.49745676500508645,0.14343434343434344,0.0
28,56.0,85.60588452816009,0.298580017909684,2.543148159980774,2.0,1,0,1,20,89,218,hard,0.5465805061927841,0.513733468972533,0.15606060606060607,0.0
29,58.0,75.13621442174912,0.3070231546629142,2.6334363293647765,2.0,1,0,1,20,73,218,hard,0.5541195476575121,0.5315361139369278,0.16464646464646465,0.0
30,60.0,105.16519714164734,0.3181527440194448,2.719083032608032,2.0,1,0,1,20,110,218,hard,0.567043618739903,0.5528992878942014,0.17525252525252524,0.0
31,62.0,109.91484943532943,0.32979403863374696,2.8150255131721496,2.0,1,0,1,20,105,218,hard,0.5745826602046311,0.5696846388606307,0.19747474747474747,0.0
32,64.0,96.68258345127106,0.3397722911602917,2.9102381467819214,2.0,1,0,1,20,102,218,hard,0.5875067312870221,0.5818921668362157,0.21262626262626264,0.0
33,66.0,75.89936984062194,0.34821542791352184,2.9849632740020753,2.0,1,0,1,20,75,218,hard,0.5950457727517501,0.5981688708036622,0.22272727272727272,0.0
34,68.0,60.89868147420883,0.35589100678009467,3.0711315846443177,2.0,1,0,1,20,65,218,hard,0.5988152934841141,0.6139369277721262,0.23383838383838385,0.0
35,70.0,-1.8142263169288635,0.35589100678009467,3.0711315846443177,2.0,1,0,1,20,0,218,hard,0.5988152934841141,0.6139369277721262,0.23383838383838385,0.0
36,72.0,-1.8142263169288635,0.35589100678009467,3.0711315846443177,2.0,1,0,1,20,0,218,hard,0.5988152934841141,0.6139369277721262,0.23383838383838385,0.0
37,74.0,-1.8142263169288635,0.35589100678009467,3.0711315846443177,2.0,1,0,1,20,0,218,hard,0.5988152934841141,0.6139369277721262,0.23383838383838385,0.0
