step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,68.76234407806396,0.04263815535231225,0.18827960968017576,1.0,0,0,0,20,69,213,hard,0.10415542363734484,0.07091469681397738,0.0,0.0
2,4.0,-1.237655921936035,0.04263815535231225,0.18827960968017576,1.0,0,0,0,20,0,213,hard,0.10415542363734484,0.07091469681397738,0.0,0.0
3,6.0,40.24500510072708,0.046373824552363774,0.23255506277084348,1.0,0,0,0,20,43,213,hard,0.11009174311926606,0.08016443987667009,0.0,0.0
4,8.0,63.73381161689758,0.05320108205590622,0.33094191551208496,1.0,0,0,0,20,64,213,hard,0.12682137075013492,0.09146968139773895,0.0,0.0
5,10.0,21.906825644016266,0.054875692386963805,0.3658065485954285,1.0,0,0,0,20,22,213,hard,0.1305990286022666,0.09455292908530319,0.0,0.0
6,12.0,8.262336372852326,0.055519773283524414,0.4211529517173767,1.0,0,0,0,20,6,213,hard,0.13275769023205614,0.09506680369989723,0.0,0.0
7,14.0,3.7995996327400205,0.055519773283524414,0.5044499182701111,1.0,0,0,0,20,0,213,hard,0.13275769023205614,0.09506680369989723,0.0,0.0
8,16.0,3.766241822004318,0.05590622182146077,0.5617380869388581,1.0,0,0,0,20,3,213,hard,0.1338370210469509,0.09558067831449127,0.0,0.0
9,18.0,45.020650062322616,0.061702949890506245,0.6612426769733429,1.0,0,0,0,20,47,213,hard,0.15110631408526715,0.10226104830421377,0.0,0.0
10,20.0,69.35647124886512,0.06891665593198505,0.7612590968608857,1.0,0,0,0,20,69,213,hard,0.1705342687533729,0.11253854059609456,0.0,0.0
11,22.0,8.848868390083314,0.07020481772510627,0.8192147207260132,1.0,0,0,0,20,13,213,hard,0.17485159201295197,0.11356628982528263,0.0,0.0
12,24.0,8.174001914978028,0.07149297951822749,0.9069231414794922,1.0,0,0,0,20,11,213,hard,0.1802482460874258,0.11356628982528263,0.0,0.0
13,26.0,7.914374263286591,0.07252350895272446,0.9942478775978087,1.0,0,0,0,20,10,213,hard,0.1834862385321101,0.11459403905447071,0.0,0.0
14,28.0,-1.3988495755195618,0.07252350895272446,0.9942478775978087,1.0,0,0,0,20,0,213,hard,0.1834862385321101,0.11459403905447071,0.0,0.0
15,30.0,20.584824627876284,0.0745845678217184,1.0758768606185911,1.0,0,0,0,20,21,213,hard,0.18834322719913654,0.11819116135662898,0.0,0.0
16,32.0,-1.4151753721237181,0.0745845678217184,1.0758768606185911,1.0,0,0,0,20,0,213,hard,0.18834322719913654,0.11819116135662898,0.0,0.0
17,34.0,6.427371480822563,0.07509983253896689,1.0987297159433362,1.0,0,0,0,20,8,213,hard,0.18888289260658392,0.1197327852004111,0.0,0.0
18,36.0,-1.4197459431886672,0.07509983253896689,1.0987297159433362,1.0,0,0,0,20,0,213,hard,0.18888289260658392,0.1197327852004111,0.0,0.0
19,38.0,-0.4350925050973892,0.07535746489759114,1.1708181315660475,1.0,0,0,0,20,2,213,hard,0.18996222342147867,0.1197327852004111,0.0,0.0
20,40.0,3.067626658082008,0.07561509725621537,1.1979227513074873,1.0,0,0,0,20,3,213,hard,0.19104155423637345,0.1197327852004111,0.0,0.0
21,42.0,195.5138293915987,0.09596805358753059,1.4308530420064922,2.0,1,0,1,20,174,213,hard,0.19104155423637345,0.13771839671120248,0.06307692307692307,0.0
22,44.0,50.402842166543,0.10086306840139121,1.533985959887504,2.0,1,0,1,20,54,213,hard,0.19158121964382083,0.1459403905447071,0.07384615384615385,0.0
23,46.0,8.442115309834481,0.10176478165657607,1.603995785117149,2.0,1,0,1,20,11,213,hard,0.19158121964382083,0.14696813977389517,0.07641025641025641,0.0
24,48.0,28.0670394436121,0.10459873760144274,1.689366571307182,2.0,1,0,1,20,27,213,hard,0.19158121964382083,0.1510791366906475,0.0835897435897436,0.0
25,50.0,13.99607803452015,0.10588689939456396,1.7559446281194684,2.0,1,0,1,20,14,213,hard,0.19158121964382083,0.15416238437821173,0.08564102564102564,0.0
26,52.0,37.627427744030946,0.11000901713255185,1.8188434880971907,2.0,1,0,1,20,34,213,hard,0.20885051268213708,0.15416238437821173,0.08564102564102564,0.0
