step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,71.96532559871673,0.04172529558873436,0.1733768318891525,1.0,0.0,0.0,0.0,19.92,72.5,224.5,hard,0.10728624784381155,0.06440737184813519,0.0,0.0
2.0,4.0,43.37627157688141,0.04661319558065823,0.23128287222385407,1.0,0.0,0.0,0.0,19.92,44.76,224.5,hard,0.118896061405616,0.07285849943853621,0.0,0.0
3.0,6.0,37.56659520142712,0.05079720118893767,0.28236053181290627,1.0,0.0,0.0,0.0,19.92,38.34,224.5,hard,0.12962239590344019,0.07935388265434108,0.0,0.0
4.0,8.0,39.44322990655899,0.05519887878663437,0.3443383072674275,1.0,0.0,0.0,0.0,19.92,40.16,224.5,hard,0.14008443757170919,0.08697073072064476,0.0,0.0
5.0,10.0,40.956232311725614,0.05979749178887772,0.3952333863675594,1.0,0.0,0.0,0.0,19.92,41.72,224.5,hard,0.1502803449955627,0.09561119713433917,0.0,0.0
6.0,12.0,41.80161830186844,0.06440283977901001,0.4493410887628793,1.0,0.0,0.0,0.0,19.92,42.7,224.5,hard,0.16080213055163287,0.1039720708387412,0.0,0.0
7.0,14.0,28.93928806066513,0.06776577866804495,0.49649633304178714,1.0,0.0,0.0,0.0,19.92,30.1,224.5,hard,0.16902395273671644,0.10956954128216183,0.0,0.0
8.0,16.0,33.55789023399353,0.07167549576159823,0.542474234136939,1.0,0.0,0.0,0.0,19.92,34.52,224.5,hard,0.17801336425667866,0.11661651140490718,0.0,0.0
9.0,18.0,31.18993180990219,0.07522555336251209,0.590286352404952,1.0,0.0,0.0,0.0,20.0,32.3,224.5,hard,0.18633652502790002,0.12286123410841478,0.0,0.0
10.0,20.0,23.128240404129027,0.07788003172860986,0.6318665902704,1.0,0.0,0.0,0.0,20.0,23.98,224.5,hard,0.1917702653311027,0.12828618670534864,0.0,0.0
11.0,22.0,32.39134169578552,0.08149872627588926,0.6826786690562965,1.0,0.0,0.0,0.0,20.0,33.2,224.5,hard,0.20013355288039184,0.13476607636058002,0.0,0.0
12.0,24.0,26.14327756524086,0.08448095422927349,0.7240582398146391,1.0,0.0,0.0,0.0,20.0,27.12,224.5,hard,0.20658988400005932,0.14052396688295096,0.0,0.0
13.0,26.0,25.265053350925445,0.0872682401445278,0.7706455898851157,1.0,0.0,0.0,0.0,20.0,26.18,224.5,hard,0.21301226537058318,0.14553404458024072,0.0,0.0
14.0,28.0,26.57566577076912,0.09025368698325707,0.8184507289022207,1.0,0.0,0.0,0.0,20.0,27.24,224.5,hard,0.22015027362621908,0.15065079729067393,0.0,0.0
15.0,30.0,29.972971754074095,0.09360969380622665,0.8701633330792188,1.0,0.0,0.0,0.0,20.0,30.98,224.5,hard,0.22794806316951888,0.15661945662351345,0.0,0.0
16.0,32.0,27.403946073055266,0.0967780216526579,0.921209734007716,1.0,0.0,0.0,0.0,20.0,28.1,224.5,hard,0.23543397722720932,0.1621327161941087,0.0,0.0
17.0,34.0,25.60386492729187,0.09963883332156756,0.9562844604462384,1.0,0.0,0.0,0.0,20.0,26.32,224.5,hard,0.2423116607743718,0.1670020772494807,0.0,0.0
18.0,36.0,22.201033947467803,0.1022408364630105,0.9991743527024984,1.0,0.0,0.0,0.0,20.0,23.56,224.5,hard,0.2488785447384937,0.1711340965352081,0.0,0.0
19.0,38.0,22.96969058036804,0.10480472957116081,1.0434898340791465,1.0,0.0,0.0,0.0,20.0,24.0,224.5,hard,0.2551713875342757,0.17537066132881435,0.0,0.0
20.0,40.0,24.94076897382736,0.10771835059369529,1.087365113171935,1.0,0.0,0.0,0.0,20.0,26.12,224.5,hard,0.2621364882296729,0.1803771618090255,0.0,0.0
21.0,42.0,174.03611837148665,0.12596915945812526,1.2598271429628134,1.86,0.86,0.0,0.86,20.0,156.3,224.5,hard,0.26457306671056424,0.21033269826587525,0.04033294666435693,0.0
22.0,44.0,69.67844829797745,0.13374333675052472,1.3283443800300356,1.96,0.96,0.0,0.96,20.0,68.4,224.5,hard,0.267066465523426,0.2262034705985725,0.05301669625768045,0.0
23.0,46.0,61.77623318433761,0.1407101045461693,1.3844071005076168,2.0,1.0,0.0,1.0,20.0,62.44,224.5,hard,0.27142805482302146,0.24039927882742312,0.06241552124216557,0.0
24.0,48.0,55.80073030710221,0.1471463438060695,1.4362907556265592,2.0,1.0,0.0,1.0,20.0,57.04,224.5,hard,0.2766310572170408,0.25288255722520037,0.0706169499812397,0.0
25.0,50.0,51.00037981748581,0.15299913720592354,1.4847525519818063,2.0,1.0,0.0,1.0,20.0,52.14,224.5,hard,0.2814653447920885,0.26418003310784277,0.07805063392056524,0.0
