step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,106.80344901903152,0.04757382979224696,0.1827549048423767,1.0,0.0,0.0,0.0,20.0,107.12,224.5,hard,0.1234014891296095,0.0723912382831307,0.0,0.0
2.0,4.0,85.9550689718628,0.05709351025466586,0.26923681621551515,1.0,0.0,0.0,0.0,20.0,86.64,224.5,hard,0.14571181758828192,0.08915433914338239,0.0,0.0
3.0,6.0,63.37709662433624,0.06418760642575902,0.3402009250640869,1.0,0.0,0.0,0.0,20.0,63.6,224.5,hard,0.16250099989396483,0.10147721771702155,0.0,0.0
4.0,8.0,57.81677349521637,0.07072248356110826,0.409271361732483,1.0,0.0,0.0,0.0,20.0,58.62,224.5,hard,0.1779409164606425,0.11284703051019422,0.0,0.0
5.0,10.0,46.56063129463196,0.07589296723890211,0.4756504993438721,1.0,0.0,0.0,0.0,20.0,47.36,224.5,hard,0.18993966443857233,0.1220553597902385,0.0,0.0
6.0,12.0,49.20568768681526,0.08139979307186714,0.5379345565319061,1.0,0.0,0.0,0.0,20.0,49.84,224.5,hard,0.20256267785052853,0.13201315140335013,0.0,0.0
7.0,14.0,37.6778862724018,0.085692904592863,0.591147918844223,1.0,0.0,0.0,0.0,20.0,38.46,224.5,hard,0.21215036883547303,0.14002043196631195,0.0,0.0
8.0,16.0,30.979550497713085,0.08917668247845478,0.6319058766841888,1.0,0.0,0.0,0.0,20.0,31.62,224.5,hard,0.21963824218406958,0.14679536261290912,0.0,0.0
9.0,18.0,16.59149099840164,0.0910980252302033,0.6601714365959167,1.0,0.0,0.0,0.0,20.0,17.46,224.5,hard,0.22445718465363487,0.14987322930820246,0.0,0.0
10.0,20.0,15.400999297428129,0.09292114246753708,0.6853573832511902,1.0,0.0,0.0,0.0,20.0,16.48,224.5,hard,0.22878028090333755,0.1530300803831363,0.0,0.0
11.0,22.0,13.010775826101304,0.09445937880597077,0.7088811272144317,1.0,0.0,0.0,0.0,20.0,14.02,224.5,hard,0.23198624653718514,0.1561149130234144,0.0,0.0
12.0,24.0,9.480524405889511,0.09555902233755548,0.7284139660358429,1.0,0.0,0.0,0.0,20.0,10.18,224.5,hard,0.23356270524815276,0.1590026791874398,0.0,0.0
13.0,26.0,5.884246211462022,0.0962945220138022,0.7428845623493194,1.0,0.0,0.0,0.0,20.0,7.14,224.5,hard,0.23497825249649704,0.16059048859826416,0.0,0.0
14.0,28.0,3.9108012443161004,0.0968658456455694,0.7520501825332642,1.0,0.0,0.0,0.0,20.0,5.18,224.5,hard,0.23623605723227453,0.16167670873395487,0.0,0.0
15.0,30.0,1.7517152625846861,0.09721150024044929,0.7590131608009338,1.0,0.0,0.0,0.0,20.0,3.2,224.5,hard,0.23698912885662243,0.16234087418484663,0.0,0.0
16.0,32.0,5.384071355133057,0.09798240918540614,0.766114066696167,1.0,0.0,0.0,0.0,20.0,6.48,224.5,hard,0.23808807966556816,0.16437860966254306,0.0,0.0
17.0,34.0,3.034977593050002,0.09846123099075581,0.7715554732799529,1.0,0.0,0.0,0.0,20.0,4.12,224.5,hard,0.2389704288176053,0.16545219322468793,0.0,0.0
18.0,36.0,0.37970872227668734,0.09864814687860628,0.7733537045955657,1.0,0.0,0.0,0.0,20.0,1.76,224.5,hard,0.23931600117181692,0.16586970849963703,0.0,0.0
19.0,38.0,-0.0013560940361024355,0.09879665539224089,0.775252760219574,1.0,0.0,0.0,0.0,20.0,1.36,224.5,hard,0.23969397093423592,0.16610392438558408,0.0,0.0
20.0,40.0,-0.4428785329246521,0.09889651456520211,0.7769314791679381,1.0,0.0,0.0,0.0,20.0,0.92,224.5,hard,0.2399747484720329,0.16623630727764108,0.0,0.0
21.0,42.0,-0.22664683358192456,0.09903244589936518,0.7801846512317657,1.0,0.0,0.0,0.0,20.0,1.26,224.5,hard,0.24038294770015267,0.16638999580223124,0.0,0.0
22.0,44.0,-0.42273897734642046,0.09915503560693764,0.7817849441051483,1.0,0.0,0.0,0.0,20.0,1.0,224.5,hard,0.2407580816765728,0.16652292013760955,0.0,0.0
23.0,46.0,-0.9875045573902129,0.09920626511513436,0.7835229815006255,1.0,0.0,0.0,0.0,20.0,0.4,224.5,hard,0.24082249391489807,0.1666668050296959,0.0,0.0
24.0,48.0,-1.356704596300125,0.09920626511513436,0.7835229815006255,1.0,0.0,0.0,0.0,20.0,0.0,224.5,hard,0.24082249391489807,0.1666668050296959,0.0,0.0
25.0,50.0,-1.356704596300125,0.09920626511513436,0.7835229815006255,1.0,0.0,0.0,0.0,20.0,0.0,224.5,hard,0.24082249391489807,0.1666668050296959,0.0,0.0
26.0,52.0,-1.356704596300125,0.09920626511513436,0.7835229815006255,1.0,0.0,0.0,0.0,20.0,0.0,224.5,hard,0.24082249391489807,0.1666668050296959,0.0,0.0
27.0,54.0,-1.336704596300125,0.09920626511513436,0.7835229815006255,1.0,0.0,0.0,0.0,20.0,0.0,224.5,hard,0.24082249391489807,0.1666668050296959,0.0,0.0
28.0,56.0,2.2567243469333658,0.09959712139204535,0.7870604094982145,1.0,0.0,0.0,0.0,20.0,3.64,224.5,hard,0.2418106613659619,0.16728442879196753,0.0,0.0
