step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,166.76459633111955,0.05715391562379048,0.17701834440231323,1.0,0,0,0,20,167,232,hard,0.1470905172413793,0.08753861997940268,0.0,0.0
2,4.0,98.41629008483886,0.06786221132757064,0.2632856750488281,1.0,0,0,0,20,101,232,hard,0.17618534482758622,0.10247167868177137,0.0,0.0
3,6.0,58.05353343772888,0.07340988259579409,0.3526159381866455,1.0,0,0,0,20,55,232,hard,0.1896551724137931,0.111740473738414,0.0,0.0
4,8.0,50.40907273483276,0.07805444458779512,0.4401466751098633,1.0,0,0,0,20,46,232,hard,0.19881465517241378,0.121524201853759,0.0,0.0
5,10.0,20.6938764629364,0.07998967875112889,0.5306176853179931,1.0,0,0,0,20,21,232,hard,0.20581896551724138,0.12255406797116375,0.0,0.0
6,12.0,25.67585836982727,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,26,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
7,14.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
8,16.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
9,18.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
10,20.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
11,22.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
12,24.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
13,26.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
14,28.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
15,30.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
16,32.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
17,34.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
18,36.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
19,38.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
20,40.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
21,42.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
22,44.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
23,46.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
24,48.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
25,50.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
26,52.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
27,54.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
28,56.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
29,58.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
30,60.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
31,62.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
32,64.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
33,66.0,-0.3241416301727295,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
34,68.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
35,70.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
36,72.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
37,74.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
38,76.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
39,78.0,-1.3241416301727293,0.08321506902335182,0.6207081508636474,1.0,0,0,0,20,0,232,hard,0.21713362068965517,0.12461380020597322,0.0,0.0
40,80.0,35.48669763422012,0.08798864662624177,0.711957652568817,1.0,0,0,0,20,40,232,hard,0.23275862068965517,0.12873326467559218,0.0,0.0
41,82.0,32.03001950597763,0.09211714617468714,0.802288372516632,1.0,0,0,0,20,38,232,hard,0.23760775862068967,0.14057672502574664,0.0,0.0
42,84.0,55.621964166164396,0.09856792671913302,0.890179169178009,1.0,0,0,0,20,56,232,hard,0.24407327586206898,0.16014418125643667,0.0,0.0
43,86.0,64.96177857303618,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,69,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
44,88.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
45,90.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
46,92.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
47,94.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
48,96.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
49,98.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
50,100.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
51,102.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
52,104.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
53,106.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
54,108.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
55,110.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
56,112.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
57,114.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
58,116.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
59,118.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
60,120.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
61,122.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
62,124.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
63,126.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
64,128.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
65,130.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
66,132.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
67,134.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
68,136.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
69,138.0,-1.39572722530365,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
70,140.0,-0.3957272253036499,0.10605083215069024,0.9786361265182495,1.0,0,0,0,20,0,232,hard,0.25808189655172414,0.17662203913491245,0.0,0.0
