step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,91.58487999957082,0.04621892365199879,0.17560000214576718,1.0,0.0,0.0,0.0,20.0,91.98,224.5,hard,0.1182416033573606,0.07190103529277049,0.0,0.0
2.0,4.0,45.004568655519485,0.0509603973769088,0.23860000357627872,1.0,0.0,0.0,0.0,20.0,45.44,224.5,hard,0.12943510632038208,0.0801688349890161,0.0,0.0
3.0,6.0,25.504864380388252,0.053672732391459005,0.2800000070095063,1.0,0.0,0.0,0.0,20.0,26.56,224.5,hard,0.1360105004036961,0.08473381959417627,0.0,0.0
4.0,8.0,25.500745177240375,0.05652515146617082,0.31600000872612,1.0,0.0,0.0,0.0,20.0,26.38,224.5,hard,0.14183456057741417,0.0905714120158202,0.0,0.0
5.0,10.0,22.796747436237332,0.05906112597646088,0.3466000094413758,1.0,0.0,0.0,0.0,20.0,23.82,224.5,hard,0.146893881719471,0.09587498469297737,0.0,0.0
6.0,12.0,21.38938350374222,0.06142250091597525,0.3754000100135804,1.0,0.0,0.0,0.0,20.0,22.22,224.5,hard,0.15241476722141306,0.1000425285353374,0.0,0.0
7.0,14.0,25.09290223747253,0.06420335867052802,0.4096000120162964,1.0,0.0,0.0,0.0,20.0,25.94,224.5,hard,0.15982136784874573,0.10409224918914604,0.0,0.0
8.0,16.0,25.372895804882045,0.06698656850404874,0.4402000117301942,1.0,0.0,0.0,0.0,20.0,26.02,224.5,hard,0.16629382576355967,0.1090404119669688,0.0,0.0
9.0,18.0,25.36639457652092,0.06988486334316169,0.47260000958442694,1.0,0.0,0.0,0.0,20.0,26.26,224.5,hard,0.17324141063314913,0.1140002180548096,0.0,0.0
10.0,20.0,32.19995726542472,0.07344439610399105,0.5104000113010406,1.0,0.0,0.0,0.0,20.0,32.86,224.5,hard,0.18155703709872964,0.12029638663185274,0.0,0.0
11.0,22.0,30.78746987586975,0.07687131857720289,0.5464000102996827,1.0,0.0,0.0,0.0,20.0,31.32,224.5,hard,0.18982405606348107,0.12611128680180866,0.0,0.0
12.0,24.0,25.13938478981018,0.0796289262923821,0.5824000102996826,1.0,0.0,0.0,0.0,20.0,25.54,224.5,hard,0.1963684015961008,0.13088694757577468,0.0,0.0
13.0,26.0,17.233452711277003,0.08152314755234455,0.613000010585785,1.0,0.0,0.0,0.0,20.0,17.98,224.5,hard,0.20027991076887414,0.13472483286371761,0.0,0.0
14.0,28.0,14.020156688137051,0.08306672633168696,0.6400000123023988,1.0,0.0,0.0,0.0,20.0,14.74,224.5,hard,0.20335438800591937,0.13796028277242997,0.0,0.0
15.0,30.0,30.56803002643585,0.08640318295020759,0.6760000085830689,1.0,0.0,0.0,0.0,20.0,31.1,224.5,hard,0.21173545358032747,0.14330314116127246,0.0,0.0
16.0,32.0,14.08271567785263,0.08801794369608147,0.6976000088691713,1.0,0.0,0.0,0.0,20.0,14.8,224.5,hard,0.2157953467952022,0.1458840529677258,0.0,0.0
17.0,34.0,14.454371314773557,0.08963296434181338,0.7192000114440918,1.0,0.0,0.0,0.0,20.0,14.7,224.5,hard,0.219285645032261,0.1490065340956335,0.0,0.0
18.0,36.0,11.197071291761395,0.09091426928063077,0.7372000130176544,1.0,0.0,0.0,0.0,20.0,11.58,224.5,hard,0.22211450237445277,0.15142771670410415,0.0,0.0
19.0,38.0,7.1134908751678445,0.09168181106153873,0.7516000131607057,1.0,0.0,0.0,0.0,20.0,7.48,224.5,hard,0.2237596525132075,0.1529259116257705,0.0,0.0
20.0,40.0,4.1081626283741,0.09217444253220901,0.7606000127315521,1.0,0.0,0.0,0.0,20.0,4.82,224.5,hard,0.2248545677220832,0.15384905362768808,0.0,0.0
21.0,42.0,133.95224276359556,0.10643322542294902,0.8608000131607055,1.62,0.62,0.0,0.62,20.0,121.04,224.5,hard,0.22558433296330363,0.1774775403009232,0.03245546470025218,0.0
22.0,44.0,62.32732636645317,0.11350585849570674,0.9082000158786774,1.66,0.66,0.0,0.66,20.0,62.62,224.5,hard,0.22930258008250662,0.19071144021604064,0.04387053576577485,0.0
23.0,46.0,43.60495942352294,0.11851663313278987,0.9496000171661377,1.66,0.66,0.0,0.66,20.0,45.16,224.5,hard,0.23271170951158773,0.19990669516608578,0.051403581712158905,0.0
24.0,48.0,46.31526685038567,0.12369235031508437,0.9976000170230865,1.68,0.68,0.0,0.68,20.0,46.28,224.5,hard,0.23743045087947806,0.20863153916812588,0.058816044349248135,0.0
25.0,50.0,41.99072160904884,0.12843912236534163,1.0378000167369843,1.72,0.72,0.0,0.72,20.0,42.16,224.5,hard,0.23994702751755892,0.21605063631841112,0.06789248108988102,0.0
26.0,52.0,33.483888251399996,0.13225796869807682,1.0756000180244447,1.72,0.72,0.0,0.72,20.0,34.46,224.5,hard,0.24218349541053322,0.2215065874601094,0.07550289994753873,0.0
27.0,54.0,27.932941080951693,0.1354112425261901,1.1098000197410585,1.72,0.72,0.0,0.72,20.0,29.16,224.5,hard,0.24666260157521566,0.22442884491719828,0.08086013014422576,0.0
28.0,56.0,16.139052302360533,0.1370773765225226,1.1440000200271607,1.72,0.72,0.0,0.72,20.0,16.48,224.5,hard,0.24853230840894688,0.22652828691179,0.08361523863047171,0.0
29.0,58.0,13.550878638916014,0.13859275857998313,1.1800000205993653,1.72,0.72,0.0,0.72,20.0,14.62,224.5,hard,0.25050967468929836,0.22830668665023143,0.08598162531460542,0.0
30.0,60.0,10.718760981435775,0.1398854836410296,1.2142000204563141,1.72,0.72,0.0,0.72,20.0,11.36,224.5,hard,0.25166334614067404,0.2305017209925495,0.08783525685693551,0.0
31.0,62.0,9.08349682287216,0.1409915671822819,1.244800021457672,1.72,0.72,0.0,0.72,20.0,10.28,224.5,hard,0.2527079829719273,0.23231499502742775,0.08942835184499291,0.0
32.0,64.0,5.931613518505095,0.1416555696784283,1.2736000214576721,1.72,0.72,0.0,0.72,20.0,6.6,224.5,hard,0.25321415469229913,0.23358493790702295,0.090321009245544,0.0
33.0,66.0,12.780423134822845,0.1431394363737474,1.3024000214576723,1.72,0.72,0.0,0.72,20.0,13.2,224.5,hard,0.25470668340492264,0.23626596337534106,0.09213558401350784,0.0
34.0,68.0,11.172516954479217,0.14441209768833305,1.3222000214576721,1.72,0.72,0.0,0.72,20.0,11.76,224.5,hard,0.2559851350746787,0.2386411930712537,0.09362019815313834,0.0
35.0,70.0,10.273737250881195,0.1455571477205259,1.3384000226020814,1.72,0.72,0.0,0.72,20.0,10.72,224.5,hard,0.25759528350702804,0.2401772116968742,0.09511687376292333,0.0
36.0,72.0,7.0766105963420864,0.1463673527109639,1.3528000227451324,1.72,0.72,0.0,0.72,20.0,7.7,224.5,hard,0.2585084830996156,0.24140710333296714,0.09624881949291626,0.0
37.0,74.0,6.462939208192824,0.14709998077255454,1.3600000230312346,1.72,0.72,0.0,0.72,20.0,7.24,224.5,hard,0.2592699828236883,0.2426063191521318,0.09724569077206918,0.0
38.0,76.0,6.293076385354996,0.14786419119346714,1.36720002245903,1.72,0.72,0.0,0.72,20.0,7.0,224.5,hard,0.2603527759903878,0.24375438450759718,0.0981154634802309,0.0
39.0,78.0,8.205599636526108,0.14887066237548974,1.3744000221729278,1.72,0.72,0.0,0.72,20.0,8.86,224.5,hard,0.26159769734030086,0.24537860172510922,0.09931494151949924,0.0
40.0,80.0,6.336404318923951,0.14964050674438847,1.3816000217437745,1.72,0.72,0.0,0.72,20.0,7.04,224.5,hard,0.2623708330303395,0.24653248194426222,0.1004803683978399,0.0
41.0,82.0,4.142387262096405,0.1501100284280804,1.3888000214576721,1.72,0.72,0.0,0.72,20.0,4.62,224.5,hard,0.2628535354659693,0.24729975315082256,0.10112166706759529,0.0
42.0,84.0,94.73051453930853,0.16025027808242476,1.4554000207424165,2.14,1.14,0.0,1.14,20.0,86.16,224.5,hard,0.26315349914504865,0.2477618240811901,0.11475793150730214,0.025123739434972103
43.0,86.0,32.32861676059723,0.16390918811212563,1.4860000211715698,2.2,1.2,0.0,1.2,20.0,32.1,224.5,hard,0.26345344558318473,0.24883017142913755,0.1205226141390988,0.03233993427984969
44.0,88.0,32.98943692832947,0.1675145390344116,1.5256000205993652,2.26,1.26,0.0,1.26,20.0,33.12,224.5,hard,0.26382848812066045,0.25019663447038915,0.12560781097211948,0.039665559042155456
45.0,90.0,40.02467238407135,0.17211730334272698,1.5688000211715696,2.32,1.32,0.0,1.32,20.0,39.5,224.5,hard,0.26405344794926244,0.2512710462503334,0.13309773056811763,0.048862762597552505
46.0,92.0,73.9345885004139,0.18008578964175825,1.6450000218868253,2.6,1.6,0.0,1.6,20.0,68.92,224.5,hard,0.26437481913297967,0.2558083132596358,0.15071720594611265,0.057792712909013895
47.0,94.0,27.742405297164918,0.1834691950528095,1.6828000217437742,2.6,1.6,0.0,1.6,20.0,29.0,224.5,hard,0.26437481913297967,0.256677725578202,0.15583201804347596,0.06504831493562237
48.0,96.0,24.516010060443882,0.18622071588152253,1.7224000208854673,2.6,1.6,0.0,1.6,20.0,25.62,224.5,hard,0.26437481913297967,0.2583830402655026,0.16010906797164373,0.06986375114030337
49.0,98.0,25.57584157829284,0.18929049345902926,1.7656000194549557,2.6,1.6,0.0,1.6,20.0,26.62,224.5,hard,0.26480452518051395,0.26246812285626614,0.16475054767631397,0.07286058338483425
