step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,80.1898653183341,0.043943821694069546,0.15067340832948684,1.0,0.0,0.0,0.0,20.0,80.58,224.5,hard,0.11865132974547125,0.06243433804351294,0.0,0.0
2.0,4.0,49.62611318298816,0.04943530525786548,0.2030298616170883,1.0,0.0,0.0,0.0,20.0,50.7,224.5,hard,0.134917280187279,0.06886114149036261,0.0,0.0
3.0,6.0,35.5257199677062,0.053293394531723,0.264211459839344,1.0,0.0,0.0,0.0,20.0,35.9,224.5,hard,0.14466763915954928,0.07497250042682008,0.0,0.0
4.0,8.0,28.62668238132715,0.05635653338214078,0.3226313844561577,1.0,0.0,0.0,0.0,20.0,29.44,224.5,hard,0.15255246228808114,0.07969463156154,0.0,0.0
5.0,10.0,25.557259628260134,0.05911595930444685,0.3797619249224662,1.0,0.0,0.0,0.0,20.0,26.16,224.5,hard,0.1593643705583462,0.08422550852553023,0.0,0.0
6.0,12.0,16.990535423367024,0.06110443190797446,0.4369817157149314,1.0,0.0,0.0,0.0,20.0,18.36,224.5,hard,0.16453320984754416,0.087242931299887,0.0,0.0
7.0,14.0,16.053907512128355,0.06288649529567138,0.4897706344723701,1.0,0.0,0.0,0.0,20.0,16.5,224.5,hard,0.16900522935198117,0.09010374042670306,0.0,0.0
8.0,16.0,14.082531922986506,0.06438409302626258,0.5475713077664376,1.0,0.0,0.0,0.0,20.0,14.26,224.5,hard,0.17280797625610256,0.09245912398152634,0.0,0.0
9.0,18.0,14.995487961075305,0.06603794221323858,0.6021402155280113,1.0,0.0,0.0,0.0,20.0,15.24,224.5,hard,0.176503470698809,0.09554622476201662,0.0,0.0
10.0,20.0,17.72659462246418,0.06797442629069615,0.6622652871847152,1.0,0.0,0.0,0.0,20.0,17.9,224.5,hard,0.1807774032216126,0.09920816246281508,0.0,0.0
11.0,22.0,18.854659461460706,0.07012222601575444,0.7272505785912275,1.0,0.0,0.0,0.0,20.0,19.62,224.5,hard,0.1855440204223699,0.10324283720758494,0.0,0.0
12.0,24.0,18.632217682021263,0.07224997025308098,0.7914808838695286,1.0,0.0,0.0,0.0,20.0,19.22,224.5,hard,0.19028720231751325,0.10722050109911471,0.0,0.0
13.0,26.0,9.026779774115683,0.0732792562674002,0.8440422133296728,1.0,0.0,0.0,0.0,20.0,9.86,224.5,hard,0.19285461537570656,0.10888745865628889,0.0,0.0
14.0,28.0,15.818214052217007,0.075118477556087,0.8990314578175546,1.0,0.0,0.0,0.0,20.0,16.4,224.5,hard,0.1970863102841458,0.1122046052629849,0.0,0.0
