step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,144.76195045852663,0.053427290198590646,0.19024770736694335,1.0,0,0,0,20,145,210,hard,0.14822771213748656,0.07260556127703399,0.0,0.0
2,4.0,53.611178240776056,0.05944907110826393,0.28626425266265865,1.0,0,0,0,20,58,210,hard,0.16541353383458646,0.08032955715756952,0.0,0.0
3,6.0,45.72464031600952,0.06483023702754645,0.37679841995239255,1.0,0,0,0,20,46,210,hard,0.17400644468313642,0.0937178166838311,0.0,0.0
4,8.0,64.70620198011397,0.07046764894298527,0.4689900994300842,1.0,0,0,0,20,65,210,hard,0.1858216970998926,0.10504634397528322,0.0,0.0
5,10.0,55.256008194923396,0.07661755285073671,0.5503118085861205,1.0,0,0,0,20,57,210,hard,0.19924812030075187,0.11688980432543769,0.0,0.0
6,12.0,91.70181482696533,0.0868673926969891,0.6329947280883788,1.0,0,0,0,20,92,210,hard,0.22556390977443608,0.13285272914521112,0.0,0.0
7,14.0,50.21040712213516,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,45,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
8,16.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
9,18.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
10,20.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
11,22.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
12,24.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
13,26.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
14,28.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
15,30.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
16,32.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
17,34.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
18,36.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
19,38.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
20,40.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
21,42.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
22,44.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
23,46.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
24,48.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
25,50.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
26,52.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
27,54.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
28,56.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
29,58.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
30,60.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
31,62.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
32,64.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
33,66.0,-1.3442775168418883,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
34,68.0,-0.3442775168418884,0.09147982062780269,0.7213875842094419,1.0,0,0,0,20,0,210,hard,0.23737916219119226,0.1400617919670443,0.0,0.0
35,70.0,8.308474827289581,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,6,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
36,72.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
37,74.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
38,76.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
39,78.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
40,80.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
41,82.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
42,84.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
43,86.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
44,88.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
45,90.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
46,92.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
47,94.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
48,96.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
49,98.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
50,100.0,-16.36260576200485,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
51,102.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
52,104.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
53,106.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
54,108.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
55,110.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
56,112.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
57,114.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
58,116.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
59,118.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
60,120.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
61,122.0,-1.3626057620048522,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
62,124.0,-0.3626057620048523,0.09199231262011531,0.8130288100242613,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
63,126.0,6.039990469932556,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,1,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
64,128.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
65,130.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
66,132.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
67,134.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
68,136.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
69,138.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
70,140.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
71,142.0,-1.3801469354629516,0.09199231262011531,0.9007346773147581,1.0,0,0,0,20,0,210,hard,0.23845327604726102,0.141091658084449,0.0,0.0
