step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,96.2245200003147,0.04627626368465214,0.17739999842643736,1.0,0.0,0.0,0.0,20.0,96.6,224.5,hard,0.11899251560213886,0.0714025344042181,0.0,0.0
2.0,4.0,51.19763856564523,0.051698890581423455,0.24039999670982357,1.0,0.0,0.0,0.0,20.0,51.98,224.5,hard,0.13082696947974862,0.08177889194290185,0.0,0.0
3.0,6.0,33.67552577349663,0.05519796805551333,0.29259999527931213,1.0,0.0,0.0,0.0,20.0,34.14,224.5,hard,0.13829125813969095,0.08863943382568586,0.0,0.0
4.0,8.0,29.599550387582777,0.0583461490965954,0.34299999613761906,1.0,0.0,0.0,0.0,20.0,30.36,224.5,hard,0.1442208657862901,0.09556629639465734,0.0,0.0
5.0,10.0,30.753497709178923,0.06173123728014814,0.3879999928474427,1.0,0.0,0.0,0.0,20.0,31.6,224.5,hard,0.15057255801624722,0.10302830452944621,0.0,0.0
6.0,12.0,20.39634997829437,0.06402467778252363,0.42219998912811285,1.0,0.0,0.0,0.0,20.0,21.14,224.5,hard,0.154737641743533,0.10821812325630306,0.0,0.0
7.0,14.0,19.738166255187988,0.06629738351223728,0.44919999027252194,1.0,0.0,0.0,0.0,20.0,20.52,224.5,hard,0.16052973099251283,0.11177129243398674,0.0,0.0
8.0,16.0,29.090059551134107,0.06962370401638948,0.47619998984336853,1.0,0.0,0.0,0.0,20.0,29.78,224.5,hard,0.16948382579580062,0.11651672213907344,0.0,0.0
9.0,18.0,17.10297564276695,0.07163304506167774,0.4923999901294709,1.0,0.0,0.0,0.0,20.0,18.08,224.5,hard,0.17409517170328698,0.12014431210131436,0.0,0.0
10.0,20.0,15.886824344739914,0.07352223300940908,0.5103999895572663,1.0,0.0,0.0,0.0,20.0,17.14,224.5,hard,0.1785521751511251,0.12343654035758175,0.0,0.0
11.0,22.0,17.321065985012055,0.07547178244159436,0.5319999871253969,1.0,0.0,0.0,0.0,20.0,18.12,224.5,hard,0.18316829450423897,0.1268142763855824,0.0,0.0
12.0,24.0,16.972740193204878,0.07739241505182956,0.5553999861240387,1.0,0.0,0.0,0.0,20.0,17.86,224.5,hard,0.1875178702248203,0.1303342481145212,0.0,0.0
13.0,26.0,29.018684513883592,0.08068107271139693,0.5841999872684479,1.0,0.0,0.0,0.0,20.0,29.52,224.5,hard,0.19539052316972885,0.13595233348135974,0.0,0.0
14.0,28.0,22.23223230389595,0.08315170507946709,0.6111999855518342,1.0,0.0,0.0,0.0,20.0,23.02,224.5,hard,0.20156296157358075,0.13992638438483218,0.0,0.0
15.0,30.0,25.55940225436211,0.08597255207411596,0.6417999826908113,1.0,0.0,0.0,0.0,20.0,25.9,224.5,hard,0.20837460513362674,0.14468933286245372,0.0,0.0
16.0,32.0,36.46924336541176,0.08993058442505657,0.6777999824047088,1.0,0.0,0.0,0.0,20.0,36.62,224.5,hard,0.2184903204466015,0.1508571307606897,0.0,0.0
17.0,34.0,21.33232905225754,0.09228614263748458,0.702999981403351,1.0,0.0,0.0,0.0,20.0,21.86,224.5,hard,0.22401150785170232,0.15500160852931383,0.0,0.0
18.0,36.0,15.870576844415666,0.09408591304410253,0.7209999789714814,1.0,0.0,0.0,0.0,20.0,16.5,224.5,hard,0.22808087074332106,0.15830519895799897,0.0,0.0
19.0,38.0,3.8701145636940004,0.09454149062082391,0.7299999773979187,1.0,0.0,0.0,0.0,20.0,4.38,224.5,hard,0.2287579950640109,0.15947507149093662,0.0,0.0
20.0,40.0,3.298474838142395,0.09488880736846719,0.738999977684021,1.0,0.0,0.0,0.0,20.0,3.64,224.5,hard,0.2295090933506162,0.16014240077808028,0.0,0.0
21.0,42.0,166.58013960834506,0.11275529701772986,0.853599977684021,1.74,0.74,0.0,0.74,20.0,150.9,224.5,hard,0.22967073128165066,0.18895086395964328,0.04212447031311429,0.0
22.0,44.0,82.4690170299244,0.12230487491163661,0.9093999806880951,1.74,0.74,0.0,0.74,20.0,84.2,224.5,hard,0.2345916046964255,0.2084207803748893,0.05602515255823624,0.0
23.0,46.0,49.44344833757401,0.1280245001148029,0.9525999831199647,1.74,0.74,0.0,0.74,20.0,50.74,224.5,hard,0.23954890812102736,0.217639179355247,0.06487938375201892,0.0
24.0,48.0,40.88146718613625,0.13267441226211965,0.9951999846935271,1.76,0.76,0.0,0.76,20.0,41.4,224.5,hard,0.24322189331990013,0.22434039101176043,0.07319482372441975,0.0
25.0,50.0,30.527419176797867,0.13613823606910166,1.0323999846935272,1.78,0.78,0.0,0.78,20.0,30.72,224.5,hard,0.24540313689695512,0.2295967928006347,0.07963453811006142,0.0
26.0,52.0,30.002918418378826,0.13961990164241772,1.0683999849796295,1.78,0.78,0.0,0.78,20.0,31.08,224.5,hard,0.24812813431282854,0.23394682289880403,0.08653375957144399,0.0
27.0,54.0,30.758331312389373,0.143135514822232,1.1097999848365785,1.78,0.78,0.0,0.78,20.0,31.58,224.5,hard,0.2508331140674722,0.23924640441313702,0.09265326242488564,0.0
28.0,56.0,33.10943298097611,0.14681948008997966,1.1529999854087831,1.78,0.78,0.0,0.78,20.0,33.54,224.5,hard,0.2545360831205314,0.2455458836313214,0.09749419511312228,0.0
29.0,58.0,20.424467854986187,0.14905792637317883,1.192599985551834,1.78,0.78,0.0,0.78,20.0,21.28,224.5,hard,0.256460379046824,0.24923672356451015,0.10088581149485387,0.0
