step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,98.44392022573473,0.04372222023381135,0.1803988713264465,1.0,0.0,0.0,0.0,20.0,98.76,224.5,hard,0.11080745806762021,0.06903350321996726,0.0,0.0
2.0,4.0,76.43444375559805,0.052200091196346124,0.26158044114112855,1.0,0.0,0.0,0.0,20.0,77.0,224.5,hard,0.130620936532506,0.08402512128471962,0.0,0.0
3.0,6.0,64.6905767304325,0.059360619498523094,0.33924660353660585,1.0,0.0,0.0,0.0,20.0,64.76,224.5,hard,0.14675786426405135,0.09725469804053934,0.0,0.0
4.0,8.0,59.345955814943316,0.06600506759780751,0.4077206153392792,1.0,0.0,0.0,0.0,20.0,60.02,224.5,hard,0.16325284381323876,0.10807373590681144,0.0,0.0
5.0,10.0,56.8500505746746,0.07233224838223935,0.4774116330623626,1.0,0.0,0.0,0.0,20.0,57.5,224.5,hard,0.17812004785424695,0.11917270038544453,0.0,0.0
6.0,12.0,56.09420251519203,0.07855023041196996,0.5472240253925323,1.0,0.0,0.0,0.0,20.0,56.38,224.5,hard,0.19266009405199896,0.13015097947341034,0.0,0.0
7.0,14.0,60.12483233651161,0.0851935282575049,0.6163374801158904,1.0,0.0,0.0,0.0,20.0,60.16,224.5,hard,0.20917637853595772,0.14095397637504237,0.0,0.0
8.0,16.0,51.83344298918724,0.09097976266131169,0.6772511681079864,1.0,0.0,0.0,0.0,20.0,52.64,224.5,hard,0.2221596818334804,0.15170446542041327,0.0,0.0
9.0,18.0,44.69300653061866,0.09596559667878476,0.7362090785503387,1.0,0.0,0.0,0.0,20.0,45.82,224.5,hard,0.23345159131962162,0.16086093636397986,0.0,0.0
10.0,20.0,53.37017340545653,0.1019959073703903,0.7984445152282714,1.0,0.0,0.0,0.0,20.0,54.38,224.5,hard,0.24760008018582622,0.17145916536677042,0.0,0.0
11.0,22.0,47.142293540534965,0.1072674352719634,0.8525035306930542,1.0,0.0,0.0,0.0,20.0,47.86,224.5,hard,0.25989416366146706,0.18080171729624575,0.0,0.0
