step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,77.7657295050621,0.04153354632587859,0.17135247468948364,1.0,0,0,0,20,78,212,hard,0.10968432316746923,0.06153846153846154,0.0,0.0
2,4.0,41.66875308656692,0.046517571884984024,0.250541512966156,1.0,0,0,0,20,45,212,hard,0.12252541466024612,0.06923076923076923,0.0,0.0
3,6.0,83.80155127668381,0.055335463258785945,0.34261402368545535,1.0,0,0,0,20,79,212,hard,0.14018191546281433,0.0876923076923077,0.0,0.0
4,8.0,123.48471262025834,0.06900958466453674,0.4220630145072937,1.0,0,0,0,20,118,212,hard,0.17549491706795078,0.10871794871794872,0.0,0.0
5,10.0,78.69717761707305,0.0776996805111821,0.5141119146347046,1.0,0,0,0,20,79,212,hard,0.19796682718031033,0.12205128205128205,0.0,0.0
6,12.0,7.041084746837615,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,6,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
7,14.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
8,16.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
9,18.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
10,20.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
11,22.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
12,24.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
13,26.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
14,28.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
15,30.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
16,32.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
17,34.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
18,36.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
19,38.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
20,40.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
21,42.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
22,44.0,-1.322633285999298,0.07821086261980831,0.6131664299964905,1.0,0,0,0,20,0,212,hard,0.19957196361690743,0.12256410256410256,0.0,0.0
23,46.0,168.64124203634265,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,147,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
24,48.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
25,50.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
26,52.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
27,54.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
28,56.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
29,58.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
30,60.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
31,62.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
32,64.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
33,66.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
34,68.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
35,70.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
36,72.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
37,74.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
38,76.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
39,78.0,-1.358757963657379,0.09533546325878595,0.7937898182868958,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
40,80.0,-0.19620461845397952,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
41,82.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
42,84.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
43,86.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
44,88.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
45,90.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
46,92.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
47,94.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
48,96.0,-16.359937147140503,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
49,98.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
50,100.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
51,102.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
52,104.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
53,106.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
54,108.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
55,110.0,-1.3599371471405028,0.09533546325878595,0.7996857357025147,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.13538461538461538,0.054967221381744834,0.0
56,112.0,60.654405509829516,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,60,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
57,114.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
58,116.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
59,118.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
60,120.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
61,122.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
62,124.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
63,126.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
64,128.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
65,130.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
66,132.0,-1.3632064706087113,0.10121405750798722,0.8160323530435563,2.0,1,0,1,20,0,212,hard,0.19957196361690743,0.14512820512820512,0.06858295511850732,0.0
