step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,79.16551122665405,0.044314671232940916,0.17244640065431593,1.0,0.0,0.0,0.0,20.0,79.64,224.5,hard,0.11633131562890421,0.06614620848271141,0.0,0.0
2.0,4.0,54.61855588197708,0.050464926646703503,0.2435629342019558,1.0,0.0,0.0,0.0,20.0,55.88,224.5,hard,0.13217075763938857,0.07560792663297912,0.0,0.0
3.0,6.0,47.03176831424236,0.05573315993643511,0.3150621649920941,1.0,0.0,0.0,0.0,20.0,48.62,224.5,hard,0.14552393244946255,0.08391158128872588,0.0,0.0
4.0,8.0,38.367834322452545,0.06000216309186973,0.3805883221924305,1.0,0.0,0.0,0.0,20.0,38.98,224.5,hard,0.15697587105967517,0.09004840633824235,0.0,0.0
5.0,10.0,37.340124129354955,0.06414629696950769,0.4439359595119954,1.0,0.0,0.0,0.0,20.0,37.8,224.5,hard,0.16699948786309868,0.09704703106328534,0.0,0.0
6.0,12.0,37.90478082478047,0.06844066168128457,0.5094481842815877,1.0,0.0,0.0,0.0,20.0,38.4,224.5,hard,0.17761967401147633,0.10406807023819178,0.0,0.0
7.0,14.0,31.14608367204666,0.0720128014952033,0.5742168202459812,1.0,0.0,0.0,0.0,20.0,32.08,224.5,hard,0.18535330552083976,0.11096247861550682,0.0,0.0
8.0,16.0,39.22193887472153,0.07648604050828278,0.6415821127712725,1.0,0.0,0.0,0.0,20.0,39.7,224.5,hard,0.19604697193123843,0.1186394186959591,0.0,0.0
9.0,18.0,32.74382968187332,0.08011725709289602,0.6966360571205615,1.0,0.0,0.0,0.0,20.0,33.24,224.5,hard,0.20428120282739737,0.1252987336095288,0.0,0.0
10.0,20.0,38.62225880861283,0.0843942925465115,0.7571587645113467,1.0,0.0,0.0,0.0,20.0,38.76,224.5,hard,0.2144358517602408,0.13270849032824483,0.0,0.0
11.0,22.0,39.71618411183357,0.0888057613991252,0.8195889514148235,1.0,0.0,0.0,0.0,20.0,40.38,224.5,hard,0.22442370054750402,0.14081191010809038,0.0,0.0
12.0,24.0,36.42935906171799,0.09288747907710636,0.8832844397723673,1.0,0.0,0.0,0.0,20.0,37.04,224.5,hard,0.23448434402382282,0.14752348118792452,0.0,0.0
13.0,26.0,37.77755822181702,0.09704667416804899,0.9470420513093473,1.0,0.0,0.0,0.0,20.0,38.3,224.5,hard,0.24394780847850925,0.15512017288604635,0.0,0.0
14.0,28.0,31.609910686016082,0.10055337481981036,1.0021497004926205,1.0,0.0,0.0,0.0,20.0,32.48,224.5,hard,0.2517563487120992,0.1616887747433019,0.0,0.0
15.0,30.0,44.36042255401611,0.1055689950534757,1.0713686576902866,1.0,0.0,0.0,0.0,20.0,44.96,224.5,hard,0.2639714922363361,0.1700720365208818,0.0,0.0
