step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,111.90259167170525,0.04740309113566001,0.18704164147377017,1.0,0.0,0.0,0.0,20.0,112.16,224.5,hard,0.1245692536552503,0.07061130265978316,0.0,0.0
2.0,4.0,74.31645725050926,0.05552501829635577,0.271446857881546,1.0,0.0,0.0,0.0,20.0,75.38,224.5,hard,0.14506896705207073,0.08352010546038745,0.0,0.0
3.0,6.0,55.34931915372849,0.06153925204142435,0.3504281714439393,1.0,0.0,0.0,0.0,20.0,55.6,224.5,hard,0.1589890273619475,0.09427873219101343,0.0,0.0
4.0,8.0,59.00217612096786,0.06816390755877906,0.42807067289352424,1.0,0.0,0.0,0.0,20.0,59.34,224.5,hard,0.17417157811713685,0.1062749604635977,0.0,0.0
5.0,10.0,57.33821083293914,0.07457647252087962,0.5026952154159546,1.0,0.0,0.0,0.0,20.0,57.76,224.5,hard,0.18866351458535707,0.11808070908545171,0.0,0.0
6.0,12.0,58.52294020813942,0.08114763465125324,0.5749985852718353,1.0,0.0,0.0,0.0,20.0,59.2,224.5,hard,0.20471496792332353,0.12903152719762115,0.0,0.0
7.0,14.0,62.59042606196404,0.08828098724754152,0.6477387030124665,1.0,0.0,0.0,0.0,20.0,63.46,224.5,hard,0.22241377787956793,0.14066931345742267,0.0,0.0
8.0,16.0,63.35440065083503,0.09536474892012842,0.7217206151485444,1.0,0.0,0.0,0.0,20.0,63.58,224.5,hard,0.23902411400832577,0.15314660638507158,0.0,0.0
9.0,18.0,59.64354723012924,0.10196600393135817,0.7927184086799621,1.0,0.0,0.0,0.0,20.0,59.96,224.5,hard,0.2548336170196778,0.164458091718515,0.0,0.0
10.0,20.0,63.83385761501312,0.10916367746895729,0.8623311399459839,1.0,0.0,0.0,0.0,20.0,64.5,224.5,hard,0.2723324301883274,0.17654035200599888,0.0,0.0
11.0,22.0,64.3734109819317,0.11596184685784597,0.9306193647861482,1.0,0.0,0.0,0.0,20.0,62.84,224.5,hard,0.2884706236306809,0.18831921579516872,0.0,0.0
12.0,24.0,56.36941669579506,0.1216422354727683,0.9955114545345305,1.0,0.0,0.0,0.0,20.0,52.06,224.5,hard,0.302552517148775,0.19759439545109195,0.0,0.0
13.0,26.0,57.287908937711705,0.12767600370038396,1.0601077448368073,1.0,0.0,0.0,0.0,20.0,54.3,224.5,hard,0.3169714033411378,0.20795811637582548,0.0,0.0
14.0,28.0,62.085078437490466,0.13393161076278723,1.1243444077014921,1.0,0.0,0.0,0.0,20.0,56.82,224.5,hard,0.33122486900603787,0.21936302927691545,0.0,0.0
15.0,30.0,58.49622812134743,0.13977265160876523,1.1916689940929412,1.0,0.0,0.0,0.0,20.0,53.68,224.5,hard,0.34415813691224556,0.23037390273357755,0.0,0.0
16.0,32.0,56.54571070440293,0.14569447410057237,1.256377184009552,1.0,0.0,0.0,0.0,20.0,53.62,224.5,hard,0.35695976366130217,0.24184053888104967,0.0,0.0
17.0,34.0,47.38401717680931,0.1506921107585901,1.3151820650577546,1.0,0.0,0.0,0.0,20.0,45.82,224.5,hard,0.3685090370024473,0.25079925058714025,0.0,0.0
18.0,36.0,52.20169222017288,0.15583662597261652,1.3747547556877138,1.0,0.0,0.0,0.0,20.0,47.38,224.5,hard,0.38026730785617446,0.26013889953012614,0.0,0.0
19.0,38.0,43.02630131802559,0.16049562854781815,1.4283791501522063,1.0,0.0,0.0,0.0,20.0,43.06,224.5,hard,0.3900339328220222,0.26943806663602266,0.0,0.0
20.0,40.0,41.45487351305962,0.164664094876524,1.4854386385440828,1.0,0.0,0.0,0.0,20.0,38.64,224.5,hard,0.3989398388804827,0.27760337670427726,0.0,0.0
21.0,42.0,45.90545034976005,0.1693815616598259,1.5420123770236966,1.0,0.0,0.0,0.0,20.0,43.12,224.5,hard,0.409886308427902,0.2860151175357275,0.0,0.0
22.0,44.0,41.23965504080772,0.1732775605673852,1.5973998352527619,1.0,0.0,0.0,0.0,20.0,35.9,224.5,hard,0.41789684623672924,0.2939447410620494,0.0,0.0
23.0,46.0,39.27839367394685,0.17746084120226788,1.6564041373610494,1.04,0.04,0.0,0.04,20.0,37.94,224.5,hard,0.4236776784467732,0.30217465443904923,0.0029393923816377937,0.0
24.0,48.0,63.55721880827904,0.18431554551556964,1.7203072113513946,1.1,0.1,0.0,0.1,20.0,60.32,224.5,hard,0.4333989752225426,0.315326408722791,0.00786980617283715,0.0
25.0,50.0,55.18227752732277,0.1899651313749302,1.7788596129894256,1.1,0.1,0.0,0.1,20.0,50.26,224.5,hard,0.44255123019810966,0.3274035548661902,0.00960807800605367,0.0
26.0,52.0,51.66565063972474,0.19536853977013138,1.8366914501190184,1.1,0.1,0.0,0.1,20.0,48.94,224.5,hard,0.4504649788748749,0.33905756036869916,0.01198015547890801,0.0
27.0,54.0,46.892574399001596,0.200086153960604,1.8895121192574498,1.1,0.1,0.0,0.1,20.0,43.34,224.5,hard,0.45926091168004485,0.34831200420590747,0.013173697433544605,0.0
