step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,65.761581864357,0.042116076014381096,0.19209067821502684,1.0,0,0,0,20,66,249,hard,0.10896403650026838,0.06413545407901487,0.0,0.0
2,4.0,29.666672246456148,0.0450693374422188,0.27752057313919065,1.0,0,0,0,20,29,249,hard,0.11647879763821793,0.06875320677270395,0.0,0.0
3,6.0,-1.255504114627838,0.0450693374422188,0.27752057313919065,1.0,0,0,0,20,0,249,hard,0.11647879763821793,0.06875320677270395,0.0,0.0
4,8.0,145.0942663192749,0.06201848998459168,0.3578205108642578,1.0,0,0,0,20,149,249,hard,0.1497584541062802,0.10466906105695228,0.0,0.0
5,10.0,79.31383166313171,0.07074987159732922,0.45827603340148926,1.0,0,0,0,20,77,249,hard,0.1723027375201288,0.11800923550538737,0.0,0.0
6,12.0,83.36050054836272,0.08102208525937339,0.5485085344314575,1.0,0,0,0,20,84,249,hard,0.20182501341921633,0.13083632632119035,0.0,0.0
7,14.0,65.46314325761794,0.08680020544427323,0.6281943106651307,1.0,0,0,0,20,65,249,hard,0.2163177670424047,0.1400718317085685,0.0,0.0
8,16.0,34.24769330787658,0.09090909090909091,0.7249857997894288,1.0,0,0,0,20,35,249,hard,0.22651637144390768,0.14674191893278604,0.0,0.0
9,18.0,64.27384026098251,0.09899845916795069,0.8153508877754212,1.0,0,0,0,20,65,249,hard,0.24100912506709607,0.16521292970754234,0.0,0.0
10,20.0,56.802754135131835,0.1059322033898305,0.908275032043457,1.0,0,0,0,20,58,249,hard,0.2490606548577563,0.18522319138019497,0.0,0.0
11,22.0,50.271355262756344,0.11222393425783256,0.999890251159668,1.0,0,0,0,20,56,249,hard,0.2571121846484165,0.20266803488968702,0.0,0.0
12,24.0,59.32155974769592,0.11838726245505907,1.0884617137908936,1.0,0,0,0,20,55,249,hard,0.2694578636607622,0.21549512570548998,0.0,0.0
13,26.0,68.60492791318893,0.12621982537236776,1.1759181427955627,1.0,0,0,0,20,70,249,hard,0.28609769189479334,0.23088763468445356,0.0,0.0
14,28.0,91.19080119562149,0.13520801232665638,1.2616598391532898,1.0,0,0,0,20,88,249,hard,0.32367149758454106,0.23088763468445356,0.0,0.0
15,30.0,95.5305721540451,0.14509501797637392,1.347139229774475,1.0,0,0,0,20,96,249,hard,0.34675254965110036,0.2483324781939456,0.0,0.0
16,32.0,70.5158551120758,0.15254237288135594,1.4207244396209717,1.0,0,0,0,20,71,249,hard,0.36285560923242083,0.26269881990764493,0.0,0.0
17,34.0,58.03964535951614,0.1590909090909091,1.5138417601585388,1.0,0,0,0,20,63,249,hard,0.3832528180354267,0.2693689071318625,0.0,0.0
18,36.0,52.438044861793514,0.16435541859270672,1.5976785230636597,1.0,0,0,0,20,50,249,hard,0.3993558776167472,0.2750128270908158,0.0,0.0
19,38.0,108.43646351766586,0.17013353877760656,1.688149597644806,1.0,0,0,0,20,53,249,hard,0.416532474503489,0.28168291431503334,0.0,0.0
20,40.0,115.60790090894699,0.183487416538264,1.777093393802643,1.0,0,0,0,20,115,249,hard,0.4342458400429415,0.3181118522319138,0.0,0.0
21,42.0,95.25681439638137,0.19401643554185927,1.8672055602073672,1.0,0,0,0,20,96,249,hard,0.4643048845947397,0.3314520266803489,0.0,0.0
22,44.0,44.97147235536575,0.1990241397021058,1.957374589443207,1.0,0,0,0,20,51,249,hard,0.475577026301664,0.34068753206772706,0.0,0.0
23,46.0,36.11367765283584,0.20210580380071905,2.0419270586967473,1.0,0,0,0,20,33,249,hard,0.4830917874396135,0.3458183683940482,0.0,0.0
24,48.0,39.37170091867446,0.2071135079609656,2.1315676569938664,1.0,0,0,0,20,43,249,hard,0.49114331723027377,0.3581323755772191,0.0,0.0
25,50.0,37.92918565130233,0.2108371854134566,2.222118504047394,1.0,0,0,0,20,36,249,hard,0.4949006977992485,0.3694202154951257,0.0,0.0
26,52.0,143.9239097738266,0.22072419106317412,2.3051127672195437,1.0,0,0,0,20,84,249,hard,0.5002683843263553,0.40379681888147767,0.0,0.0
27,54.0,66.22989646291732,0.22791474062660502,2.3951334309577943,1.0,0,0,0,20,64,249,hard,0.511003757380569,0.42226782965623394,0.0,0.0
28,56.0,85.73575549173354,0.2374165382639959,2.485264537334442,1.0,0,0,0,20,81,249,hard,0.5383789586688137,0.4340687532067727,0.0,0.0
29,58.0,-1.6970529074668885,0.2374165382639959,2.485264537334442,1.0,0,0,0,20,0,249,hard,0.5383789586688137,0.4340687532067727,0.0,0.0
30,60.0,-1.6970529074668885,0.2374165382639959,2.485264537334442,1.0,0,0,0,20,0,249,hard,0.5383789586688137,0.4340687532067727,0.0,0.0
31,62.0,-1.6970529074668885,0.2374165382639959,2.485264537334442,1.0,0,0,0,20,0,249,hard,0.5383789586688137,0.4340687532067727,0.0,0.0
32,64.0,45.28543360948562,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,46,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
33,66.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
34,68.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
35,70.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
36,72.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
37,74.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
38,76.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
39,78.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
40,80.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
41,82.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
42,84.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
43,86.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
44,88.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
45,90.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
46,92.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
47,94.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
48,96.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
49,98.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
50,100.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
51,102.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
52,104.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
53,106.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
54,108.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
55,110.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
56,112.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
57,114.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
58,116.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
59,118.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
60,120.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
61,122.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
62,124.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
63,126.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
64,128.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
65,130.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
66,132.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
67,134.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
68,136.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
69,138.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
70,140.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
71,142.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
72,144.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
73,146.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
74,148.0,-1.7145663905143738,0.24255264509501798,2.572831952571869,1.0,0,0,0,20,0,249,hard,0.5491143317230274,0.44433042585941507,0.0,0.0
75,150.0,253.25411418768763,0.2701592193117617,2.729429061561823,2.0,1,0,1,20,232,249,hard,0.549651100375738,0.4935864545920985,0.06038894575230297,0.0
76,152.0,171.8732868127525,0.28929121725731893,2.8270778991281986,2.0,1,0,1,20,173,249,hard,0.5657541599570585,0.5320677270395074,0.08290685772773797,0.0
77,154.0,96.06798403784633,0.300462249614792,2.897493217140436,2.0,1,0,1,20,97,249,hard,0.5689747718733226,0.5577219086711134,0.09877175025588536,0.0
78,156.0,45.81449056050181,0.30572675911658964,2.975137453228235,2.0,1,0,1,20,46,249,hard,0.5689747718733226,0.5700359158542843,0.10747185261003071,0.0
79,158.0,55.828275673836465,0.3122752953261428,3.065160784870386,2.0,1,0,1,20,61,249,hard,0.5695115405260333,0.5869676757311442,0.11617195496417605,0.0
80,160.0,33.29220039412379,0.31587057010785824,3.146378896385431,2.0,1,0,1,20,31,249,hard,0.573268921095008,0.5931246793227296,0.12077789150460594,0.0
81,162.0,139.14996113488078,0.33269131997945556,3.250194325596094,2.0,1,0,1,20,140,249,hard,0.6135265700483091,0.6049256028732684,0.13766632548618218,0.0
82,164.0,99.5476684140861,0.34219311761684645,3.337806916385889,2.0,1,0,1,20,98,249,hard,0.6274825550187869,0.6131349409953822,0.15404298874104402,0.0
83,166.0,70.11453555676341,0.3500256805341551,3.4273222161829473,2.0,1,0,1,20,71,249,hard,0.6328502415458938,0.6172396100564392,0.17604912998976457,0.0
84,168.0,4.62922361561656,0.3500256805341551,3.5174847508966924,2.0,1,0,1,20,1,249,hard,0.6328502415458938,0.6172396100564392,0.17604912998976457,0.0
