step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,97.56283069455145,0.04303924671252759,0.18584652724266057,1.0,0.0,0.0,0.0,20.0,97.82,224.5,hard,0.11088128780194303,0.06622409874680528,0.0,0.0
2.0,4.0,61.132556784558304,0.04991051522289294,0.2600381622314453,1.0,0.0,0.0,0.0,20.0,61.4,224.5,hard,0.1286900080740689,0.07669451436087284,0.0,0.0
3.0,6.0,46.376552883529655,0.05507715317233246,0.3205272369384766,1.0,0.0,0.0,0.0,20.0,46.96,224.5,hard,0.14081541831914135,0.08577223534633417,0.0,0.0
4.0,8.0,38.711835626916894,0.05950156147063826,0.37485950312614436,1.0,0.0,0.0,0.0,20.0,39.62,224.5,hard,0.1515287726419173,0.09322868084964327,0.0,0.0
5.0,10.0,36.599505704269404,0.06350708585906052,0.4269892651557922,1.0,0.0,0.0,0.0,20.0,36.96,224.5,hard,0.16010205454115198,0.1010597143297754,0.0,0.0
6.0,12.0,33.36781069138527,0.06729988439770006,0.47704216942787164,1.0,0.0,0.0,0.0,20.0,33.78,224.5,hard,0.16836494754424847,0.10833866222703188,0.0,0.0
7.0,14.0,31.148518665313723,0.07078291108890034,0.5283434009552002,1.0,0.0,0.0,0.0,20.0,31.58,224.5,hard,0.17594383909981842,0.11503116290990509,0.0,0.0
8.0,16.0,22.32840469861985,0.07320697965122429,0.5665134894371032,1.0,0.0,0.0,0.0,20.0,22.94,224.5,hard,0.18150413606584848,0.11941660656850328,0.0,0.0
9.0,18.0,15.375422392749789,0.07493695691982698,0.6011225419044495,1.0,0.0,0.0,0.0,20.0,16.24,224.5,hard,0.18574215336023198,0.12229253000683737,0.0,0.0
10.0,20.0,14.173025675601957,0.07665775373593783,0.6328223666191101,1.0,0.0,0.0,0.0,20.0,15.4,224.5,hard,0.18978256294745402,0.1253148359708747,0.0,0.0
11.0,22.0,8.691493484649659,0.07771923982731513,0.6591241614341736,1.0,0.0,0.0,0.0,20.0,9.54,224.5,hard,0.1922547284188207,0.1271990994168495,0.0,0.0
12.0,24.0,12.255719060600995,0.07920293988553599,0.6849812403261661,1.0,0.0,0.0,0.0,20.0,13.22,224.5,hard,0.19598331759153725,0.12957824064196186,0.0,0.0
13.0,26.0,9.67564239622712,0.08029695400672118,0.7076253472983836,1.0,0.0,0.0,0.0,20.0,10.24,224.5,hard,0.1985782735711979,0.13147616926288233,0.0,0.0
14.0,28.0,11.710827580324413,0.08175428391378199,0.7344089109122752,1.0,0.0,0.0,0.0,20.0,13.2,224.5,hard,0.20224530068658492,0.1338057771844117,0.0,0.0
15.0,30.0,7.5848735192549235,0.08266268563151817,0.757427094811201,1.0,0.0,0.0,0.0,20.0,8.42,224.5,hard,0.20432030733974074,0.13545887181108865,0.0,0.0
16.0,32.0,4.1096536824190615,0.0832602004588096,0.7768954291522503,1.0,0.0,0.0,0.0,20.0,5.74,224.5,hard,0.20545822019905313,0.13676212034490023,0.0,0.0
17.0,34.0,4.121440977152585,0.08379162978528401,0.7933501586496832,1.0,0.0,0.0,0.0,20.0,4.92,224.5,hard,0.20653261496238623,0.13785953530158584,0.0,0.0
18.0,36.0,4.947179470424652,0.08439470247351111,0.8120170992374419,1.0,0.0,0.0,0.0,20.0,5.88,224.5,hard,0.20772347425332482,0.13913248434373685,0.0,0.0
19.0,38.0,5.008785196752548,0.08502112522976761,0.83197333111763,1.0,0.0,0.0,0.0,20.0,5.76,224.5,hard,0.2090877794138328,0.14033280582372967,0.0,0.0
20.0,40.0,4.462044233626425,0.08549288200223963,0.8487054738089442,1.0,0.0,0.0,0.0,20.0,4.32,224.5,hard,0.21002391953890318,0.14132643901914288,0.0,0.0
21.0,42.0,5.08819718265444,0.08608804541252883,0.8691646266028283,1.02,0.02,0.0,0.02,20.0,5.46,224.5,hard,0.21058303841033674,0.14285329925974877,0.00031794871794871797,0.0
22.0,44.0,13.017850357624592,0.08753277259052682,0.8936860246822238,1.08,0.08,0.0,0.08,20.0,12.66,224.5,hard,0.211088354789526,0.14507003181501893,0.003346432984457383,0.0
23.0,46.0,21.883641293479503,0.08992756812947764,0.9220101692602037,1.14,0.14,0.0,0.14,20.0,21.24,224.5,hard,0.2120432694617368,0.14923396674681164,0.007812851215892173,0.0
24.0,48.0,28.49646980184704,0.09313243707238256,0.9566317608758808,1.22,0.22,0.0,0.22,20.0,27.68,224.5,hard,0.2135994390825277,0.15449856445822496,0.013843784787752752,0.0
25.0,50.0,38.78918885209232,0.0976034467886829,0.9919442068502307,1.28,0.28,0.0,0.28,20.0,38.2,224.5,hard,0.21592064846666287,0.16293399449102053,0.021036033347008622,0.0
26.0,52.0,26.29166551211506,0.10067579457978187,1.0238317321225998,1.28,0.28,0.0,0.28,20.0,27.78,224.5,hard,0.21931897468533357,0.16899502848403813,0.02398522232526731,0.0
27.0,54.0,16.954608549422325,0.10266733102008492,1.0537691864058376,1.28,0.28,0.0,0.28,20.0,18.0,224.5,hard,0.22129581373496282,0.17330136279248007,0.02573329770669305,0.0
28.0,56.0,25.614145734147133,0.1056204533996884,1.086923468928039,1.28,0.28,0.0,0.28,20.0,26.48,224.5,hard,0.22479760249550618,0.17956248335512914,0.02791036328531555,0.0
29.0,58.0,23.2482328029421,0.10800993054133473,1.1174350639447568,1.28,0.28,0.0,0.28,20.0,21.52,224.5,hard,0.22915100725638812,0.18319156405133533,0.02966587361782558,0.0
30.0,60.0,21.79224800429493,0.11058287375914932,1.147718497030437,1.28,0.28,0.0,0.28,20.0,23.14,224.5,hard,0.23320256645895646,0.18715673129966773,0.032106314357553,0.0
31.0,62.0,20.7754807310316,0.11300432142813602,1.1750308727160097,1.28,0.28,0.0,0.28,20.0,21.58,224.5,hard,0.23711317502586066,0.19083469134256806,0.034355806696705876,0.0
32.0,64.0,23.27377107428044,0.11546014738477785,1.2025363809600471,1.28,0.28,0.0,0.28,20.0,21.96,224.5,hard,0.24056423869159949,0.19528304996729604,0.03642228787227999,0.0
