step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,103.78265765115736,0.044456137791282435,0.1867117442131042,1.0,0.0,0.0,0.0,20.0,104.06,224.5,hard,0.11364331312191962,0.06925269961777719,0.0,0.0
2.0,4.0,67.80033641322137,0.051999901696578386,0.26845144710540775,1.0,0.0,0.0,0.0,20.0,68.12,224.5,hard,0.13222042325711192,0.08168210731369267,0.0,0.0
3.0,6.0,61.403140347013476,0.058953957196771906,0.3426977991580963,1.0,0.0,0.0,0.0,20.0,62.22,224.5,hard,0.1491069982592369,0.09336752011760821,0.0,0.0
4.0,8.0,51.440186774311066,0.06470474967262704,0.4065076252937317,1.0,0.0,0.0,0.0,20.0,52.26,224.5,hard,0.1618954000791699,0.10415217041653398,0.0,0.0
5.0,10.0,47.545075267887114,0.07002250724047364,0.46383007001876825,1.0,0.0,0.0,0.0,20.0,47.76,224.5,hard,0.1739881406307904,0.11386608223173741,0.0,0.0
6.0,12.0,51.06916184104919,0.07580616002463088,0.5247592132568358,1.0,0.0,0.0,0.0,20.0,51.4,224.5,hard,0.18719007305190072,0.12438242668643985,0.0,0.0
7.0,14.0,50.27499175745011,0.08155143650453658,0.5757313391685486,1.0,0.0,0.0,0.0,20.0,51.38,224.5,hard,0.20100498090100966,0.1341607320874306,0.0,0.0
8.0,16.0,37.25733417799949,0.08574806470261066,0.6204940889835358,1.0,0.0,0.0,0.0,20.0,37.94,224.5,hard,0.2110280460707884,0.14136815949406828,0.0,0.0
9.0,18.0,31.748481543207173,0.08943384894470792,0.661584793806076,1.0,0.0,0.0,0.0,20.0,33.0,224.5,hard,0.21850564513529544,0.14896569980504856,0.0,0.0
10.0,20.0,32.232384602108,0.09307882921413241,0.7009169981956481,1.0,0.0,0.0,0.0,20.0,32.54,224.5,hard,0.22724251705024617,0.15519999042208138,0.0,0.0
11.0,22.0,30.001511886444092,0.0964047638658765,0.7368102891921997,1.0,0.0,0.0,0.0,20.0,30.78,224.5,hard,0.23500737312248102,0.16108204525286254,0.0,0.0
12.0,24.0,36.546875241556165,0.10049831580808302,0.7727578244686127,1.0,0.0,0.0,0.0,20.0,35.58,224.5,hard,0.24260742238537655,0.17018470922282306,0.0,0.0
