step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,101.76142636632919,0.04236200256739409,0.19286816835403442,1.0,0,0,0,20,102,231,hard,0.11528150134048257,0.05891393442622951,0.0,0.0
2,4.0,59.198140813827514,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,56,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
3,6.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
4,8.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
5,10.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
6,12.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
7,14.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
8,16.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
9,18.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
10,20.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
11,22.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
12,24.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
13,26.0,-1.2575638751983642,0.048523748395378694,0.2878193759918213,1.0,0,0,0,20,0,231,hard,0.12761394101876675,0.07172131147540983,0.0,0.0
