step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,119.761875084877,0.04495684657993044,0.19062457561492918,1.0,0,0,0,20,120,213,hard,0.13869400971397733,0.047276464542651594,0.0,0.0
2,4.0,89.56761723995209,0.05345871441453046,0.28719894886016845,1.0,0,0,0,20,87,213,hard,0.1548839719373988,0.065775950668037,0.0,0.0
3,6.0,30.976916343212128,0.056807935076645624,0.29890903711318967,1.0,0,0,0,20,32,213,hard,0.16567728008634647,0.06885919835560124,0.0,0.0
4,8.0,8.518669575929643,0.0578384645111426,0.33854165434837336,1.0,0,0,0,20,13,213,hard,0.16891527253103075,0.0698869475847893,0.0,0.0
5,10.0,3.844660790681839,0.0578384645111426,0.40060885787010186,1.0,0,0,0,20,0,213,hard,0.16891527253103075,0.0698869475847893,0.0,0.0
6,12.0,-1.2801217715740203,0.0578384645111426,0.40060885787010186,1.0,0,0,0,20,0,213,hard,0.16891527253103075,0.0698869475847893,0.0,0.0
7,14.0,42.48559084844589,0.06157413371119413,0.44790930986404415,1.0,0,0,0,20,39,213,hard,0.17269293038316244,0.08119218910585817,0.0,0.0
8,16.0,37.61877437210083,0.06634033234574263,0.5198065948486328,1.0,0,0,0,20,42,213,hard,0.17754991905018888,0.09558067831449127,0.0,0.0
9,18.0,13.347999504804612,0.06788612649748808,0.5707353174686431,1.0,0,0,0,20,14,213,hard,0.18186724230976795,0.09763617677286741,0.0,0.0
10,20.0,7.481617021799087,0.06853020739404869,0.6710851180553435,1.0,0,0,0,20,6,213,hard,0.18456556934700485,0.09763617677286741,0.0,0.0
11,22.0,27.947431439161303,0.07200824423547597,0.7759853899478911,1.0,0,0,0,20,33,213,hard,0.1926605504587156,0.10380267214799589,0.0,0.0
12,24.0,-0.46186337304115294,0.07200824423547597,0.7914240276813506,1.0,0,0,0,20,0,213,hard,0.1926605504587156,0.10380267214799589,0.0,0.0
13,26.0,6.587862693071365,0.07226587659410022,0.8551506459712981,1.0,0,0,0,20,4,213,hard,0.19373988127361036,0.10380267214799589,0.0,0.0
14,28.0,4.5768860418796535,0.07252350895272446,0.934872349500656,1.0,0,0,0,20,2,213,hard,0.19481921208850514,0.10380267214799589,0.0,0.0
15,30.0,30.90639484810829,0.07625917815277598,1.0298248088359832,1.0,0,0,0,20,33,213,hard,0.2104695089044792,0.10380267214799589,0.0,0.0
16,32.0,62.15622924685478,0.08257117093906995,1.0982540190219878,1.0,0,0,0,20,62,213,hard,0.21964382083108472,0.12024665981500514,0.0,0.0
17,34.0,43.930322108507156,0.08785263429086693,1.1624687421321869,1.0,0,0,0,20,49,213,hard,0.2331354560172693,0.12846865364850976,0.0,0.0
18,36.0,1.283354403734207,0.0882390828288033,1.246968139410019,1.0,0,0,0,20,4,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
19,38.0,6.7100910985469815,0.0882390828288033,1.3515773594379425,1.0,0,0,0,20,2,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
20,40.0,0.7410542013645172,0.0882390828288033,1.4153201568126679,1.0,0,0,0,20,0,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
21,42.0,-4.545471327543259,0.0882390828288033,1.4915797364711763,1.0,0,0,0,20,0,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
22,44.0,-3.836935655355454,0.0882390828288033,1.5260526740550997,1.0,0,0,0,20,2,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
23,46.0,0.10109683799743646,0.0882390828288033,1.5712789630889894,1.0,0,0,0,20,0,213,hard,0.23421478683216407,0.1289825282631038,0.0,0.0
