step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,130.75926208496094,0.06405968613326472,0.20369391441345214,1.0,0,0,0,20,131,221,hard,0.17115177610333693,0.09174311926605505,0.0,0.0
2,4.0,50.62250900268555,0.06907640854129149,0.2904056906700134,1.0,0,0,0,20,48,221,hard,0.18514531754574812,0.0983690112130479,0.0,0.0
3,6.0,52.07149124145508,0.07499356830460509,0.3767197632789612,1.0,0,0,0,20,51,221,hard,0.20182992465016147,0.10601427115188583,0.0,0.0
4,8.0,135.70660400390625,0.09107280679187034,0.466974766254425,1.0,0,0,0,20,136,221,hard,0.23304628632938643,0.1401630988786952,0.0,0.0
5,10.0,88.75231170654297,0.1008489837921276,0.5569757747650146,1.0,0,0,0,20,86,221,hard,0.25834230355220666,0.15494393476044852,0.0,0.0
6,12.0,13.670003890991211,0.10239259068690507,0.6499807643890381,1.0,0,0,0,20,14,221,hard,0.26264800861141013,0.15698267074413863,0.0,0.0
7,14.0,37.651466369628906,0.10689477746333934,0.7426588678359985,1.0,0,0,0,20,38,221,hard,0.2707212055974166,0.1671763506625892,0.0,0.0
8,16.0,34.633026123046875,0.10972472343709802,0.8348678064346313,1.0,0,0,0,20,35,221,hard,0.2728740581270183,0.1763506625891947,0.0,0.0
9,18.0,25.679061889648438,0.11242603550295859,0.8715301847457886,1.0,0,0,0,20,29,221,hard,0.27610333692142086,0.18399592252803262,0.0,0.0
10,20.0,61.1749267578125,0.11975816825315153,0.9988093996047973,1.0,0,0,0,20,57,221,hard,0.2857911733046286,0.2038735983690112,0.0,0.0
11,22.0,-1.3997619152069092,0.11975816825315153,0.9988093996047973,1.0,0,0,0,20,0,221,hard,0.2857911733046286,0.2038735983690112,0.0,0.0
12,24.0,-1.3997619152069092,0.11975816825315153,0.9988093996047973,1.0,0,0,0,20,0,221,hard,0.2857911733046286,0.2038735983690112,0.0,0.0
13,26.0,-1.3997619152069092,0.11975816825315153,0.9988093996047973,1.0,0,0,0,20,0,221,hard,0.2857911733046286,0.2038735983690112,0.0,0.0
14,28.0,70.1514663696289,0.1278621044507332,1.0912766098976134,1.0,0,0,0,20,72,221,hard,0.29870828848223896,0.2237512742099898,0.0,0.0
15,30.0,-1.41825532913208,0.1278621044507332,1.0912766098976134,1.0,0,0,0,20,0,221,hard,0.29870828848223896,0.2237512742099898,0.0,0.0
16,32.0,-1.41825532913208,0.1278621044507332,1.0912766098976134,1.0,0,0,0,20,0,221,hard,0.29870828848223896,0.2237512742099898,0.0,0.0
17,34.0,114.99022674560547,0.14085412914844353,1.1938834643363951,1.0,0,0,0,20,115,221,hard,0.32723358449946177,0.24821610601427116,0.0,0.0
18,36.0,102.53643035888672,0.15075894005659893,1.320110809803009,1.0,0,0,0,20,99,221,hard,0.3557588805166846,0.2604485219164118,0.0,0.0
19,38.0,68.76702880859375,0.15809107280679188,1.4473900246620177,1.0,0,0,0,20,72,221,hard,0.3772874058127018,0.2691131498470948,0.0,0.0
20,40.0,44.299652099609375,0.16375096475430923,1.5574177289009092,1.0,0,0,0,20,48,221,hard,0.38751345532831,0.281855249745158,0.0,0.0
