step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.22,0.03923076923076923,0.1,1.0,0,0,0,20,0,204,hard,0.10861423220973783,0.05317501290655653,0.0,0.0
2,4.0,71.95976413106918,0.047692307692307694,0.1903971028327942,1.0,0,0,0,20,77,204,hard,0.13108614232209737,0.06556530717604543,0.0,0.0
3,6.0,63.73694600963592,0.05435897435897436,0.28040361881256104,1.0,0,0,0,20,62,204,hard,0.1471375066880685,0.07692307692307693,0.0,0.0
4,8.0,37.86961622428894,0.05846153846153846,0.3688149356842041,1.0,0,0,0,20,38,204,hard,0.15623327982878546,0.08466701084150749,0.0,0.0
5,10.0,49.63299890422821,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,50,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
6,12.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
7,14.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
8,16.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
9,18.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
10,20.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
11,22.0,-1.291764775276184,0.06397435897435898,0.45882387638092037,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
12,24.0,-5.523658718585968,0.06397435897435898,0.5478227829933167,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
13,26.0,-1.3095645565986633,0.06397435897435898,0.5478227829933167,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
14,28.0,-1.3095645565986633,0.06397435897435898,0.5478227829933167,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
15,30.0,-1.3095645565986633,0.06397435897435898,0.5478227829933167,1.0,0,0,0,20,0,204,hard,0.16746923488496523,0.09602478058853897,0.0,0.0
