step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,109.76200000429154,0.056463022508038585,0.18999997854232786,1.0,0,0,0,20,110,222,hard,0.13616792249730894,0.09587628865979382,0.0,0.0
2,4.0,112.74400000858307,0.06881028938906752,0.27999995708465575,1.0,0,0,0,20,113,222,hard,0.1689989235737352,0.11391752577319587,0.0,0.0
3,6.0,78.5080487151146,0.07794212218649518,0.36999993562698363,1.0,0,0,0,20,83,222,hard,0.18783638320775026,0.1324742268041237,0.0,0.0
4,8.0,92.26281435585021,0.08784565916398714,0.4599999141693115,1.0,0,0,0,20,95,222,hard,0.2147470398277718,0.1463917525773196,0.0,0.0
5,10.0,97.13371893167495,0.09839228295819935,0.5499998927116394,1.0,0,0,0,20,102,222,hard,0.24058127018299247,0.16391752577319588,0.0,0.0
6,12.0,68.6720000257492,0.10559485530546624,0.6399998712539673,1.0,0,0,0,20,69,222,hard,0.26318622174381057,0.1711340206185567,0.0,0.0
7,14.0,39.76145146894455,0.11009646302250804,0.7299998497962952,1.0,0,0,0,20,45,222,hard,0.28202368137782563,0.1711340206185567,0.0,0.0
8,16.0,170.75087105941773,0.1295176848874598,0.8199998283386231,1.0,0,0,0,20,170,222,hard,0.31216361679224974,0.22010309278350515,0.0,0.0
9,18.0,75.28109836816787,0.13736334405144696,0.9099998354911805,1.0,0,0,0,20,78,222,hard,0.3293864370290635,0.23505154639175257,0.0,0.0
10,20.0,57.60000003147125,0.142508038585209,0.9999998426437379,1.0,0,0,0,20,58,222,hard,0.3428417653390743,0.24278350515463917,0.0,0.0
11,22.0,40.46376062726974,0.14636655948553054,1.0899998497962953,1.0,0,0,0,20,45,222,hard,0.3536060279870829,0.24793814432989691,0.0,0.0
12,24.0,79.24984349775315,0.15498392282958198,1.1799998497962954,1.0,0,0,0,20,82,222,hard,0.3638320775026911,0.272680412371134,0.0,0.0
13,26.0,54.81006672477722,0.16,1.2699998569488526,1.0,0,0,0,20,52,222,hard,0.3745963401506997,0.2824742268041237,0.0,0.0
14,28.0,54.10086646699905,0.1655305466237942,1.35999986410141,1.0,0,0,0,20,56,222,hard,0.3805166846071044,0.29896907216494845,0.0,0.0
15,30.0,52.666009705543516,0.17016077170418006,1.4499998426437377,1.0,0,0,0,20,49,222,hard,0.3821313240043057,0.31597938144329896,0.0,0.0
16,32.0,52.76839201879501,0.17569131832797427,1.5399998211860655,1.0,0,0,0,20,48,222,hard,0.38697524219590956,0.33350515463917524,0.0,0.0
17,34.0,123.47400003576278,0.18212218649517684,1.6299998211860656,1.0,0,0,0,20,64,222,hard,0.40043057050592035,0.3463917525773196,0.0,0.0
18,36.0,94.07426566457748,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,92,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
19,38.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
20,40.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
21,42.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
22,44.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
23,46.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
24,48.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
25,50.0,-1.543999964237213,0.19241157556270097,1.7199998211860656,1.0,0,0,0,20,0,222,hard,0.4332615715823466,0.3561855670103093,0.0,0.0
26,52.0,163.51182158470155,0.2117041800643087,1.8099997997283934,1.0,0,0,0,20,169,222,hard,0.48493003229278797,0.38402061855670105,0.0,0.0
