step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,137.76318417453766,0.062011531069827035,0.18407912731170656,1.0,0,0,0,20,138,210,hard,0.17508055853920515,0.08135942327497425,0.0,0.0
2,4.0,131.15012946462633,0.07648942985265855,0.2875239682197571,1.0,0,0,0,20,133,210,hard,0.20676691729323307,0.10916580844490216,0.0,0.0
3,6.0,88.74979707479477,0.08673926969891095,0.37599126100540164,1.0,0,0,0,20,93,210,hard,0.22448979591836735,0.1333676622039135,0.0,0.0
4,8.0,74.53010244655609,0.09634849455477258,0.4640631532669068,1.0,0,0,0,20,78,210,hard,0.24597207303974222,0.1513903192584964,0.0,0.0
5,10.0,91.10418848705291,0.10647021140294682,0.5467617654800415,1.0,0,0,0,20,91,210,hard,0.26745435016111707,0.17147270854788876,0.0,0.0
6,12.0,82.6222629327774,0.11505445227418322,0.6378451490402222,1.0,0,0,0,20,79,210,hard,0.2857142857142857,0.18846549948506694,0.0,0.0
7,14.0,88.89253771066666,0.12491992312620115,0.7295473933219909,1.0,0,0,0,20,88,210,hard,0.3088077336197637,0.2059732234809475,0.0,0.0
8,16.0,70.62051155614853,0.13337604099935937,0.8211387372016906,1.0,0,0,0,20,75,210,hard,0.32438238453276047,0.22502574665293512,0.0,0.0
9,18.0,77.7514850025177,0.14221652786675207,0.9106381511688232,1.0,0,0,0,20,80,210,hard,0.3458646616541353,0.2399588053553038,0.0,0.0
10,20.0,82.59976812982559,0.1515695067264574,1.0011593508720398,1.0,0,0,0,20,83,210,hard,0.36627282491944146,0.25798146240988673,0.0,0.0
11,22.0,174.30092794513703,0.16527866752082,1.091189284324646,1.0,0,0,0,20,119,210,hard,0.40225563909774437,0.2785787847579815,0.0,0.0
12,24.0,71.3966164393425,0.17360666239590006,1.1812654519081116,1.0,0,0,0,20,72,210,hard,0.41514500537056925,0.2996910401647786,0.0,0.0
13,26.0,107.88603194475174,0.18590647021140294,1.273069226741791,1.0,0,0,0,20,110,210,hard,0.44575725026852847,0.319773429454171,0.0,0.0
14,28.0,69.35158269071579,0.19359385009609226,1.3624316620826722,1.0,0,0,0,20,67,210,hard,0.45703544575725025,0.33985581874356335,0.0,0.0
15,30.0,57.40865569305419,0.20064061499039076,1.4528715515136719,1.0,0,0,0,20,61,210,hard,0.46348012889366275,0.3619979402677652,0.0,0.0
16,32.0,71.24514022922516,0.2079436258808456,1.5427762937545777,1.0,0,0,0,20,67,210,hard,0.4774436090225564,0.3779608650875386,0.0,0.0
17,34.0,49.55252887964248,0.21370916079436258,1.6273750185966491,1.0,0,0,0,20,46,210,hard,0.4892588614393126,0.3898043254376931,0.0,0.0
18,36.0,246.81390627336503,0.2344650864830237,1.7281065726280211,1.0,0,0,0,20,190,210,hard,0.5558539205155747,0.4093717816683831,0.0,0.0
19,38.0,107.5204845533371,0.2463805253042921,1.8134269189834593,1.0,0,0,0,20,112,210,hard,0.5870032223415682,0.427394438722966,0.0,0.0
20,40.0,72.35710331058502,0.25419602818705955,1.9034282636642454,1.0,0,0,0,20,78,210,hard,0.6031149301825993,0.44335736354273947,0.0,0.0
21,42.0,242.37141637134553,0.28020499679692507,2.1429181432723996,2.0,1,0,1,20,221,210,hard,0.6084854994629431,0.46755921730175076,0.07433808553971487,0.0
22,44.0,106.4349914226532,0.29276105060858426,2.2343408298492426,2.0,1,0,1,20,112,210,hard,0.6084854994629431,0.49536560247167866,0.09674134419551934,0.0
23,46.0,99.07351732444764,0.30147341447789877,2.320124139785766,2.0,1,0,1,20,98,210,hard,0.6192266380236305,0.5087538619979403,0.1079429735234216,0.0
