step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,73.04853881899118,0.04217394763146374,0.15730590504407885,1.0,0.0,0.0,0.0,20.0,73.44,224.5,hard,0.10923751228308348,0.06435974869810704,0.0,0.0
2.0,4.0,43.33243826842308,0.04687080826824533,0.20807720541954042,1.0,0.0,0.0,0.0,20.0,44.46,224.5,hard,0.12225191228778705,0.07071940427072491,0.0,0.0
3.0,6.0,38.69713909818172,0.05107097900970509,0.26374958984851843,1.0,0.0,0.0,0.0,20.0,39.18,224.5,hard,0.13231033283173363,0.07791229844377408,0.0,0.0
4.0,8.0,35.72947735537857,0.05507234034609925,0.32513152411729096,1.0,0.0,0.0,0.0,20.0,36.36,224.5,hard,0.14278837026225943,0.08391534177466242,0.0,0.0
5.0,10.0,23.20316344303459,0.057674599136662605,0.3832397678211331,1.0,0.0,0.0,0.0,20.0,24.38,224.5,hard,0.14994397479400934,0.08749370624911071,0.0,0.0
6.0,12.0,21.04135046829671,0.05997047917223009,0.43471196344047786,1.0,0.0,0.0,0.0,20.0,21.76,224.5,hard,0.15542883955181686,0.09144263230162512,0.0,0.0
7.0,14.0,21.569108228556214,0.06242910323019226,0.49151909414976835,1.0,0.0,0.0,0.0,20.0,22.04,224.5,hard,0.16166520474771884,0.09532158136927292,0.0,0.0
8.0,16.0,19.796380037516652,0.06467720061026885,0.5430244721457361,1.0,0.0,0.0,0.0,20.0,20.48,224.5,hard,0.16717661576138618,0.0990483835462678,0.0,0.0
9.0,18.0,15.959923780187662,0.06652481079047642,0.5948325265213847,1.0,0.0,0.0,0.0,20.0,16.74,224.5,hard,0.1712566209963101,0.10253425962477947,0.0,0.0
10.0,20.0,15.798501892978251,0.068360815909943,0.6456305936262011,1.0,0.0,0.0,0.0,20.0,17.28,224.5,hard,0.1753839912484424,0.10593545296732845,0.0,0.0
11.0,22.0,18.220713749560414,0.07038472973009688,0.6996559588477015,1.0,0.0,0.0,0.0,20.0,18.3,224.5,hard,0.18036006583132483,0.10927546742946298,0.0,0.0
12.0,24.0,17.605993140614626,0.07231534726834182,0.7500634984344242,1.0,0.0,0.0,0.0,20.0,17.32,224.5,hard,0.1853007096449502,0.11227775616109495,0.0,0.0
13.0,26.0,17.943824646015763,0.07444732176535294,0.8031508349388836,1.0,0.0,0.0,0.0,20.0,19.32,224.5,hard,0.19002917727587765,0.11628470337816092,0.0,0.0
14.0,28.0,19.599567348411682,0.07659306957210285,0.8581370738595724,1.0,0.0,0.0,0.0,20.0,19.9,224.5,hard,0.19463768160347583,0.12046238089774333,0.0,0.0
15.0,30.0,18.401327664280533,0.0787162400525306,0.9182397036522626,1.0,0.0,0.0,0.0,20.0,19.4,224.5,hard,0.19942914774806828,0.12437685377601357,0.0,0.0
16.0,32.0,13.84873465558946,0.08023759919826247,0.9696218003302813,1.0,0.0,0.0,0.0,20.0,14.14,224.5,hard,0.2030399314735827,0.1270054605456849,0.0,0.0
17.0,34.0,14.382353669691682,0.08179957499307872,1.0227535650700332,1.0,0.0,0.0,0.0,20.0,14.9,224.5,hard,0.20689538601668164,0.1295647338333874,0.0,0.0
18.0,36.0,10.101117854329944,0.08296655020278082,1.0750629176050424,1.0,0.0,0.0,0.0,20.0,10.92,224.5,hard,0.20973196197802615,0.1315214484399885,0.0,0.0
19.0,38.0,13.529573110697866,0.08451844347838616,1.132125131496787,1.0,0.0,0.0,0.0,20.0,14.2,224.5,hard,0.21264266049764874,0.13494377826716294,0.0,0.0
20.0,40.0,9.93973507876575,0.08559244335687027,1.1895575525671243,1.0,0.0,0.0,0.0,20.0,10.22,224.5,hard,0.21505190636006724,0.13694066880316,0.0,0.0
21.0,42.0,83.14982992507399,0.0944772653858741,1.3031365703850986,1.36,0.36,0.0,0.36,20.0,75.88,224.5,hard,0.2175895252567322,0.14992050106374905,0.01993869039741055,0.0
22.0,44.0,75.1072721829778,0.10260530582197838,1.3941948578923942,1.6,0.6,0.0,0.6,20.0,70.62,224.5,hard,0.21905186118998154,0.16289846622766205,0.037881309417378176,0.0
23.0,46.0,68.32190476640045,0.11034930257202959,1.4751741774886846,1.72,0.72,0.0,0.72,20.0,66.58,224.5,hard,0.22049401807278524,0.17690509642320237,0.05331490404780281,0.0
