step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,99.76089289140701,0.04392797854680117,0.1955355429649353,1.0,0,0,0,20,100,217,hard,0.11629153269024652,0.06492842535787322,0.0,0.0
2,4.0,102.95664063739777,0.0559315540799387,0.2863568639755249,1.0,0,0,0,20,105,217,hard,0.1495176848874598,0.08128834355828221,0.0,0.0
3,6.0,161.27383613300324,0.07483080066402759,0.3791680479049683,1.0,0,0,0,20,162,217,hard,0.19506966773847803,0.11349693251533742,0.0,0.0
4,8.0,111.02237505483627,0.08747286425743839,0.47004630327224733,1.0,0,0,0,20,113,217,hard,0.22132904608788853,0.1390593047034765,0.0,0.0
5,10.0,41.926233069896696,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,47,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
6,12.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
7,14.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
8,16.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
9,18.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
10,20.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
11,22.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
12,24.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
13,26.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
14,28.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
15,30.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
16,32.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
17,34.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
18,36.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
19,38.0,-1.311437828540802,0.09270846635167922,0.55718914270401,1.0,0,0,0,20,0,217,hard,0.2341907824222937,0.14775051124744376,0.0,0.0
