step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,105.70399458792686,0.046518622389498526,0.18002706036567687,1.0,0.0,0.0,0.0,20.0,106.06,224.5,hard,0.12283709006590962,0.06871714730134636,0.0,0.0
2.0,4.0,65.81181745511054,0.05393812725359445,0.2583539971828461,1.0,0.0,0.0,0.0,20.0,67.2,224.5,hard,0.14082175359351648,0.0812119252806205,0.0,0.0
3.0,6.0,63.59889543265343,0.06096323633769206,0.3324073925495148,1.0,0.0,0.0,0.0,20.0,64.24,224.5,hard,0.15652930860766162,0.09430923605907753,0.0,0.0
4.0,8.0,46.99988133280753,0.06614559139246684,0.4010715559482575,1.0,0.0,0.0,0.0,20.0,47.8,224.5,hard,0.16838033411842573,0.10371560733558444,0.0,0.0
5.0,10.0,43.216455883979805,0.07098630763260293,0.46111037731170645,1.0,0.0,0.0,0.0,20.0,43.78,224.5,hard,0.17953952462617107,0.11242165895778072,0.0,0.0
6.0,12.0,43.24493282935143,0.07580865549202173,0.515148584985733,1.0,0.0,0.0,0.0,20.0,43.56,224.5,hard,0.19017475956189242,0.12155430059940614,0.0,0.0
7.0,14.0,51.83910849469186,0.08181809652702553,0.5668303779125213,1.0,0.0,0.0,0.0,20.0,52.74,224.5,hard,0.2048699768295731,0.13154058702815424,0.0,0.0
8.0,16.0,49.12192291004181,0.08744268635937168,0.6154897817611694,1.0,0.0,0.0,0.0,20.0,49.78,224.5,hard,0.21810214719360105,0.1413970236025416,0.0,0.0
9.0,18.0,35.8745085694027,0.09148504947812519,0.6544756046772003,1.0,0.0,0.0,0.0,20.0,36.44,224.5,hard,0.22774128095406276,0.14836802214504125,0.0,0.0
10.0,20.0,43.78381823073387,0.09651513839339267,0.6987268681049347,1.0,0.0,0.0,0.0,20.0,44.68,224.5,hard,0.2382891204915514,0.1584124714686497,0.0,0.0
11.0,22.0,40.275373001804354,0.10096340904480107,0.7411906683921814,1.0,0.0,0.0,0.0,20.0,39.84,224.5,hard,0.2486481029927739,0.1663139246650848,0.0,0.0
12.0,24.0,35.77891456036568,0.1050423324930423,0.7854963586330413,1.0,0.0,0.0,0.0,20.0,36.94,224.5,hard,0.2570595283981482,0.17460027505024645,0.0,0.0
13.0,26.0,42.280683628788005,0.10968148269792806,0.8341950572013854,1.0,0.0,0.0,0.0,20.0,41.66,224.5,hard,0.2674776722546912,0.18321537380505554,0.0,0.0
