step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,45.77062206816673,0.02861542409854998,0.14688965916633606,1.0,0,0,0,20,46,208,hard,0.04972972972972973,0.0672139558748076,0.0,0.0
2,4.0,75.95233898186683,0.03721288335685872,0.23793697237968445,1.0,0,0,0,20,77,208,hard,0.0654054054054054,0.08671113391482811,0.0,0.0
3,6.0,-1.2475873944759368,0.03721288335685872,0.23793697237968445,1.0,0,0,0,20,0,208,hard,0.0654054054054054,0.08671113391482811,0.0,0.0
4,8.0,-1.2475873944759368,0.03721288335685872,0.23793697237968445,1.0,0,0,0,20,0,208,hard,0.0654054054054054,0.08671113391482811,0.0,0.0
5,10.0,15.421120385408402,0.039009367380982936,0.3245452439785004,1.0,0,0,0,20,18,208,hard,0.06864864864864866,0.09081580297588507,0.0,0.0
6,12.0,28.063330038368704,0.042089054279481584,0.33857556194067,1.0,0,0,0,20,26,208,hard,0.07081081081081081,0.10107747562852745,0.0,0.0
7,14.0,5.659686713039875,0.04273065571666881,0.42287895768880845,1.0,0,0,0,20,7,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
8,16.0,-2.5382021784186364,0.04273065571666881,0.4718622562289238,1.0,0,0,0,20,0,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
9,18.0,1.102069521725178,0.04273065571666881,0.5055863818526268,1.0,0,0,0,20,0,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
10,20.0,-1.3011172763705252,0.04273065571666881,0.5055863818526268,1.0,0,0,0,20,0,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
11,22.0,-1.3011172763705252,0.04273065571666881,0.5055863818526268,1.0,0,0,0,20,0,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
12,24.0,-1.3011172763705252,0.04273065571666881,0.5055863818526268,1.0,0,0,0,20,0,208,hard,0.07135135135135136,0.10312981015905592,0.0,0.0
13,26.0,11.693036129057408,0.04452713974079302,0.5554234883189202,1.0,0,0,0,20,15,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
14,28.0,-1.311084697663784,0.04452713974079302,0.5554234883189202,1.0,0,0,0,20,0,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
15,30.0,-1.311084697663784,0.04452713974079302,0.5554234883189202,1.0,0,0,0,20,0,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
16,32.0,-1.311084697663784,0.04452713974079302,0.5554234883189202,1.0,0,0,0,20,0,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
17,34.0,4.439466723024845,0.04452713974079302,0.6485821792483331,1.0,0,0,0,20,0,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
18,36.0,-1.3297164358496665,0.04452713974079302,0.6485821792483331,1.0,0,0,0,20,0,208,hard,0.07675675675675675,0.10518214468958441,0.0,0.0
