step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,136.7604522705078,0.06380241831746848,0.1977630639076233,1.0,0,0,0,20,137,221,hard,0.16254036598493002,0.09887869520897044,0.0,0.0
2,4.0,115.90473937988281,0.07589400565989195,0.3221575951576233,1.0,0,0,0,20,113,221,hard,0.189989235737352,0.12079510703363915,0.0,0.0
3,6.0,76.71587371826172,0.08476974530486237,0.420644805431366,1.0,0,0,0,20,77,221,hard,0.21205597416576966,0.13506625891946994,0.0,0.0
4,8.0,36.70796585083008,0.08824286081811165,0.5107171034812927,1.0,0,0,0,20,40,221,hard,0.21959095801937567,0.14169215086646278,0.0,0.0
5,10.0,3.840808868408203,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,2,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
6,12.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
7,14.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
8,16.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
9,18.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
10,20.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
11,22.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
12,24.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
13,26.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
14,28.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
15,30.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
16,32.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
17,34.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
18,36.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
19,38.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
20,40.0,-1.3208751678466797,0.0885001286339079,0.604375672340393,1.0,0,0,0,20,0,221,hard,0.21959095801937567,0.14271151885830785,0.0,0.0
21,42.0,136.6491241455078,0.10072034988422948,0.754375672340393,2.0,1,0,1,20,116,221,hard,0.21959095801937567,0.15545361875637104,0.03530005042864347,0.0
22,44.0,-1.3508751392364502,0.10072034988422948,0.754375672340393,2.0,1,0,1,20,0,221,hard,0.21959095801937567,0.15545361875637104,0.03530005042864347,0.0
23,46.0,32.3331298828125,0.10355029585798817,0.7880209553241729,2.0,1,0,1,20,29,221,hard,0.21959095801937567,0.16055045871559634,0.04135148764498235,0.0
24,48.0,-1.3576041460037231,0.10355029585798817,0.7880209553241729,2.0,1,0,1,20,0,221,hard,0.21959095801937567,0.16055045871559634,0.04135148764498235,0.0
25,50.0,-2.57620906829834,0.10355029585798817,0.8214944517612457,2.0,1,0,1,20,0,221,hard,0.21959095801937567,0.16055045871559634,0.04135148764498235,0.0
26,52.0,21.972795486450195,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,25,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
27,54.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
28,56.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
29,58.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
30,60.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
31,62.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
32,64.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
33,66.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
34,68.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
35,70.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
36,72.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
37,74.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
38,76.0,-1.3847514390945435,0.1066375096475431,0.9237573969364166,2.0,1,0,1,20,0,221,hard,0.2201291711517761,0.16462793068297654,0.04891578416540595,0.0
