step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,109.18313908038854,0.04678339368436913,0.18430459805727006,1.0,0.0,0.0,0.0,20.0,109.44,224.5,hard,0.12299701964232673,0.06960157116051038,0.0,0.0
2.0,4.0,74.79001853043319,0.05502941911422145,0.26720592705011365,1.0,0.0,0.0,0.0,20.0,75.38,224.5,hard,0.14284373575219342,0.08361205591433606,0.0,0.0
3.0,6.0,73.24881967836141,0.0631307031691493,0.34961213799715046,1.0,0.0,0.0,0.0,20.0,74.02,224.5,hard,0.16151097463785968,0.09818991537693242,0.0,0.0
4.0,8.0,59.23422210819006,0.0697733735628437,0.42494220105409625,1.0,0.0,0.0,0.0,20.0,59.94,224.5,hard,0.17621292682752712,0.11072045700427738,0.0,0.0
5.0,10.0,50.31927556528807,0.07524921659991968,0.48905908991098407,1.0,0.0,0.0,0.0,20.0,50.6,224.5,hard,0.18856893872082237,0.12081769697936133,0.0,0.0
6.0,12.0,42.10068779408217,0.080050811500721,0.5475731641411781,1.0,0.0,0.0,0.0,20.0,43.1,224.5,hard,0.19957789220073646,0.1294988370313436,0.0,0.0
7.0,14.0,27.3815373981452,0.08314166682515511,0.5961710033535957,1.0,0.0,0.0,0.0,20.0,28.46,224.5,hard,0.2063549624974357,0.13537749005733615,0.0,0.0
8.0,16.0,21.180727556293007,0.08550605959594033,0.6341911646485329,1.0,0.0,0.0,0.0,20.0,21.8,224.5,hard,0.21193054823731539,0.13949820579669084,0.0,0.0
9.0,18.0,19.559260398490427,0.08778680747200346,0.6698775453209878,1.0,0.0,0.0,0.0,20.0,20.56,224.5,hard,0.21776564556772937,0.1430445308100551,0.0,0.0
10.0,20.0,23.469791980006693,0.0904164488199867,0.7059287298798561,1.0,0.0,0.0,0.0,20.0,24.0,224.5,hard,0.22268787429978812,0.1488512318086995,0.0,0.0
11.0,22.0,15.754526079213619,0.09222767291527616,0.7328187082409859,1.0,0.0,0.0,0.0,20.0,17.0,224.5,hard,0.22652531085434158,0.15243091025843897,0.0,0.0
12.0,24.0,10.20517068787336,0.09340495317804857,0.7524427451729774,1.0,0.0,0.0,0.0,20.0,11.24,224.5,hard,0.2291506709189218,0.1546361504550107,0.0,0.0
13.0,26.0,9.717823234755992,0.09461571271971994,0.7647940816521646,1.0,0.0,0.0,0.0,20.0,10.98,224.5,hard,0.23236183076040015,0.15640833030705237,0.0,0.0
14.0,28.0,2.837989600627422,0.09505383997438693,0.7719762159943582,1.0,0.0,0.0,0.0,20.0,4.12,224.5,hard,0.23319051814371183,0.1573704797625646,0.0,0.0
15.0,30.0,4.223183740451336,0.09562510750260061,0.7807961758255959,1.0,0.0,0.0,0.0,20.0,5.38,224.5,hard,0.2344603401895372,0.1584453043724705,0.0,0.0
