step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,89.76200000429154,0.0423728813559322,0.18999997854232786,1.0,0,0,0,20,90,249,hard,0.10681696188942566,0.0672139558748076,0.0,0.0
2,4.0,48.744000008583065,0.04673857216230098,0.27999995708465575,1.0,0,0,0,20,49,249,hard,0.11808910359634997,0.07388404309902515,0.0,0.0
3,6.0,17.646950902462006,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,13,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
4,8.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
5,10.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
6,12.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
7,14.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
8,16.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
9,18.0,-1.2739999871253966,0.047894196199280946,0.36999993562698363,1.0,0,0,0,20,0,249,hard,0.12077294685990338,0.07593637762955362,0.0,0.0
10,20.0,22.676936931610108,0.05097586029789419,0.45999994277954104,1.0,0,0,0,20,28,249,hard,0.1288244766505636,0.08055413032324268,0.0,0.0
11,22.0,9.066802454471588,0.05187467899332306,0.5499999499320984,1.0,0,0,0,20,11,249,hard,0.1320450885668277,0.08106721395587481,0.0,0.0
12,24.0,22.177206119537352,0.053543913713405236,0.6399999427795411,1.0,0,0,0,20,20,249,hard,0.1379495437466452,0.08209338122113904,0.0,0.0
13,26.0,35.65399999856949,0.057652799178222906,0.7300000071525574,1.0,0,0,0,20,36,249,hard,0.14546430488459475,0.09132888660851719,0.0,0.0
14,28.0,47.21802312946319,0.06368772470467386,0.8200000715255737,1.0,0,0,0,20,53,249,hard,0.15405260332796564,0.10723447922011288,0.0,0.0
15,30.0,73.4150208992958,0.07074987159732922,0.9100000643730164,1.0,0,0,0,20,70,249,hard,0.1701556629092861,0.12006157003591586,0.0,0.0
16,32.0,82.77970941734314,0.07973805855161788,1.0000000858306886,1.0,0,0,0,20,86,249,hard,0.19269994632313472,0.1344279117496152,0.0,0.0
17,34.0,125.52272722244263,0.09437596302003082,1.0900000572204591,1.0,0,0,0,20,123,249,hard,0.2313472893183038,0.15597742432016418,0.0,0.0
18,36.0,51.75013385438919,0.09938366718027734,1.180000035762787,1.0,0,0,0,20,51,249,hard,0.2431561996779388,0.1646998460749102,0.0,0.0
19,38.0,40.869935505867005,0.10323574730354391,1.2700000143051147,1.0,0,0,0,20,39,249,hard,0.24584004294149223,0.1775269368907132,0.0,0.0
20,40.0,34.3413089556694,0.10606060606060606,1.3599999928474424,1.0,0,0,0,20,33,249,hard,0.249597423510467,0.18522319138019497,0.0,0.0
21,42.0,49.135066036224366,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,55,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
22,44.0,-1.4900000057220457,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,0,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
23,46.0,-1.4900000057220457,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,0,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
24,48.0,-1.4900000057220457,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,0,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
25,50.0,-1.4900000057220457,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,0,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
26,52.0,-1.4900000057220457,0.11222393425783256,1.4500000286102293,1.0,0,0,0,20,0,249,hard,0.2640901771336554,0.19599794766546946,0.0,0.0
