step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,103.06324686528684,0.045552622928531815,0.1837656735658645,1.0,0.0,0.0,0.0,20.0,103.34,224.5,hard,0.1184523516406696,0.06904115071396257,0.0,0.0
2.0,4.0,73.35162336426257,0.05359611317944024,0.26818631503582,1.0,0.0,0.0,0.0,20.0,73.92,224.5,hard,0.1372279295526236,0.0832691893600554,0.0,0.0
3.0,6.0,78.15495019834042,0.06224275076173647,0.35444851315021514,1.0,0.0,0.0,0.0,20.0,78.04,224.5,hard,0.15723370006396295,0.09874294448649597,0.0,0.0
4.0,8.0,56.63201035650731,0.06857437569539575,0.429032306265831,1.0,0.0,0.0,0.0,20.0,57.0,224.5,hard,0.17159337039872521,0.1103476828484446,0.0,0.0
5.0,10.0,37.53944398691654,0.07272785373064909,0.49331862676143634,1.0,0.0,0.0,0.0,20.0,38.26,224.5,hard,0.1809963454375489,0.11797438996895686,0.0,0.0
6.0,12.0,33.576172155995366,0.07645107504007168,0.5469030397176742,1.0,0.0,0.0,0.0,20.0,34.02,224.5,hard,0.18942346809471047,0.12481258339640394,0.0,0.0
7.0,14.0,30.947519709582323,0.0799176544675374,0.596390333199501,1.0,0.0,0.0,0.0,20.0,31.56,224.5,hard,0.1965414555519259,0.13187859982170935,0.0,0.0
8.0,16.0,29.91968535396099,0.08330401267612428,0.6464995874643326,1.0,0.0,0.0,0.0,20.0,31.0,224.5,hard,0.20384119712585794,0.13844245732585972,0.0,0.0
9.0,18.0,30.315130345215792,0.08680322188085032,0.6888885170698167,1.0,0.0,0.0,0.0,20.0,31.36,224.5,hard,0.2119754262632606,0.14467430737878678,0.0,0.0
10.0,20.0,25.05971618597507,0.08969737196236904,0.7245371845960618,1.0,0.0,0.0,0.0,20.0,25.9,224.5,hard,0.2190912978348083,0.14944766159872272,0.0,0.0
11.0,22.0,28.746966748242375,0.09287056835584132,0.7533651113271713,1.0,0.0,0.0,0.0,20.0,28.44,224.5,hard,0.22671143951482498,0.15485669175589764,0.0,0.0
12.0,24.0,19.96930785748005,0.09519058819505755,0.7783077909231185,1.0,0.0,0.0,0.0,20.0,20.88,224.5,hard,0.23159455257438702,0.15946479246156062,0.0,0.0
13.0,26.0,21.82790232105732,0.09762985503357535,0.8033299960851669,1.0,0.0,0.0,0.0,20.0,21.92,224.5,hard,0.23695528458642806,0.16409713439614912,0.0,0.0
14.0,28.0,17.35324190853596,0.09937641567287575,0.8248607278585435,1.0,0.0,0.0,0.0,20.0,16.02,224.5,hard,0.24090883592262397,0.16730589746560334,0.0,0.0
15.0,30.0,8.797319976696969,0.1005000898943719,0.839157620024681,1.0,0.0,0.0,0.0,20.0,10.16,224.5,hard,0.24289945645294458,0.1699007059003697,0.0,0.0
16.0,32.0,5.199330512070656,0.10097496791491267,0.8481337021589279,1.0,0.0,0.0,0.0,20.0,4.3,224.5,hard,0.24384557456759035,0.17089681536121426,0.0,0.0
17.0,34.0,1.2530340424013138,0.1012365162551638,0.8535200879812241,1.0,0.0,0.0,0.0,20.0,2.48,224.5,hard,0.2443616237595384,0.17145081065876674,0.0,0.0
18.0,36.0,2.651919258093834,0.10164168268769182,0.8605178452730179,1.0,0.0,0.0,0.0,20.0,3.76,224.5,hard,0.24530656844820023,0.17216777655144547,0.0,0.0
19.0,38.0,-0.11768373201847057,0.10178532767935526,0.8641846513032913,1.0,0.0,0.0,0.0,20.0,1.32,224.5,hard,0.2456930418781519,0.17237206664337598,0.0,0.0
20.0,40.0,2.4785226972436907,0.10220895672726714,0.8711206637144089,1.0,0.0,0.0,0.0,20.0,3.82,224.5,hard,0.24684138477597528,0.17296682011326744,0.0,0.0
21.0,42.0,2.8030692257261274,0.1027091491089524,0.8747310808420181,1.0,0.0,0.0,0.0,20.0,4.26,224.5,hard,0.24805448193110144,0.1738044094901827,0.0,0.0
22.0,44.0,0.9516548258829118,0.10296308372666839,0.8782278504133224,1.0,0.0,0.0,0.0,20.0,2.26,224.5,hard,0.24868804227886282,0.174213042109899,0.0,0.0
23.0,46.0,0.03362505281925207,0.10310919527396138,0.8835860090970994,1.0,0.0,0.0,0.0,20.0,1.46,224.5,hard,0.2490637817276572,0.1744380758261539,0.0,0.0
24.0,48.0,3.390999206576348,0.10367025815491017,0.8888579653024674,1.0,0.0,0.0,0.0,20.0,4.66,224.5,hard,0.25055748904485386,0.1752548093948235,0.0,0.0
25.0,50.0,0.2798461527395245,0.10382386798593934,0.8906464602708816,1.0,0.0,0.0,0.0,20.0,1.66,224.5,hard,0.2508792048625482,0.175560619792377,0.0,0.0
26.0,52.0,-0.14786071333408346,0.10392627453995881,0.8923346297502518,1.0,0.0,0.0,0.0,20.0,1.16,224.5,hard,0.2511258536561139,0.17573391235099067,0.0,0.0
27.0,54.0,-0.2882184664869307,0.10405428273248313,0.8941233955144883,1.0,0.0,0.0,0.0,20.0,1.18,224.5,hard,0.25134033086791013,0.1760397227485442,0.0,0.0
28.0,56.0,-0.055985631699561965,0.10419253158040939,0.8958900916337966,1.0,0.0,0.0,0.0,20.0,1.32,224.5,hard,0.2517263898491434,0.1762232089870763,0.0,0.0
29.0,58.0,-0.20234933801174154,0.1043077389536813,0.8975846264600754,1.0,0.0,0.0,0.0,20.0,1.08,224.5,hard,0.25210172496978683,0.1763251457862608,0.0,0.0
30.0,60.0,0.889172725434303,0.10455863501102897,0.899334908747673,1.0,0.0,0.0,0.0,20.0,2.14,224.5,hard,0.2527880520475348,0.17667173090348812,0.0,0.0
31.0,62.0,5.383041382269859,0.10527604582643438,0.9082815625429153,1.0,0.0,0.0,0.0,20.0,6.6,224.5,hard,0.25453779124002,0.17786918456881598,0.0,0.0
32.0,64.0,8.691899902358056,0.1063810913227669,0.9208521746873854,1.0,0.0,0.0,0.0,20.0,9.84,224.5,hard,0.2572330871542676,0.17971506673104,0.0,0.0
33.0,66.0,7.344822920393943,0.10738690763863844,0.9332996913194656,1.0,0.0,0.0,0.0,20.0,8.78,224.5,hard,0.25934854434799415,0.18171790647341307,0.0,0.0
