step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,54.772230322122574,0.03061355194056616,0.13884838938713073,1.0,0,0,0,20,55,234,hard,0.0760578468130691,0.04959100204498978,0.0,0.0
2,4.0,30.11271942973137,0.03355962597668759,0.16743379235267639,1.0,0,0,0,20,32,234,hard,0.0867702196036422,0.05112474437627812,0.0,0.0
3,6.0,13.567556672334671,0.03496861790700653,0.2547621476650238,1.0,0,0,0,20,16,234,hard,0.09051955008034279,0.053169734151329244,0.0,0.0
4,8.0,30.565307278871536,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,27,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
5,10.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
6,12.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
7,14.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
8,16.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
9,18.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
10,20.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
11,22.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
12,24.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
13,26.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
14,28.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
15,30.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
16,32.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
17,34.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
18,36.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
19,38.0,-1.2676185176372528,0.037914691943127965,0.33809258818626403,1.0,0,0,0,20,0,234,hard,0.09587573647562936,0.0598159509202454,0.0,0.0
