step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.22,0.027710381815860042,0.1,1.0,0,0,0,20,0,217,hard,0.06484458735262594,0.049079754601226995,0.0,0.0
2,4.0,-1.22,0.027710381815860042,0.1,1.0,0,0,0,20,0,217,hard,0.06484458735262594,0.049079754601226995,0.0,0.0
3,6.0,133.83517352581026,0.043034095262418595,0.18999998569488524,1.0,0,0,0,20,137,217,hard,0.09967845659163987,0.07719836400817996,0.0,0.0
4,8.0,56.8995547785759,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,57,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
5,10.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
6,12.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
7,14.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
8,16.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
9,18.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
10,20.0,-1.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
11,22.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
12,24.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
13,26.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
14,28.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
15,30.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
16,32.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
17,34.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
18,36.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
19,38.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
20,40.0,-0.2559999928474426,0.04929127825309667,0.27999996423721313,1.0,0,0,0,20,0,217,hard,0.10718113612004287,0.0950920245398773,0.0,0.0
21,42.0,288.71400000715255,0.08198186693908824,0.4299999642372131,2.0,1,0,1,20,267,217,hard,0.10718113612004287,0.1549079754601227,0.07027300303336703,0.0
22,44.0,159.3803166437149,0.1006257182990678,0.5199999570846557,2.0,1,0,1,20,159,217,hard,0.10718113612004287,0.20040899795501022,0.09908998988877654,0.0
23,46.0,147.45023969507218,0.11646022219384497,0.6099999499320984,2.0,1,0,1,20,144,217,hard,0.13558413719185422,0.21523517382413088,0.12032355915065723,0.0
24,48.0,73.62130562973022,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,73,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
25,50.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
26,52.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
27,54.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
28,56.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
29,58.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
30,60.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
31,62.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
32,64.0,-1.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
33,66.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
34,68.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
35,70.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
36,72.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
37,74.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
38,76.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
39,78.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
40,80.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
41,82.0,-0.3399999885559082,0.12501596220150682,0.699999942779541,2.0,1,0,1,20,0,217,hard,0.14844587352625938,0.21830265848670757,0.1390293225480283,0.0
42,84.0,299.6300000114441,0.15732345805133444,0.849999942779541,3.0,2,0,2,20,278,217,hard,0.14844587352625938,0.21830265848670757,0.20171890798786654,0.06351550960118169
43,86.0,200.69246914434433,0.18171370195377345,0.9399999356269837,3.0,2,0,2,20,206,217,hard,0.14844587352625938,0.254601226993865,0.23306370070778565,0.09207287050713935
44,88.0,88.09658733129501,0.1886093730047248,1.0299999356269838,3.0,2,0,2,20,88,217,hard,0.14844587352625938,0.26431492842535786,0.24064711830131447,0.1019202363367799
45,90.0,36.34589461135864,0.19205720853020047,1.119999942779541,3.0,2,0,2,20,37,217,hard,0.14844587352625938,0.26942740286298567,0.24317492416582406,0.10782865583456426
46,92.0,36.6609481973648,0.19588813689184012,1.2099999570846558,3.0,2,0,2,20,41,217,hard,0.14844587352625938,0.2714723926380368,0.24974721941354905,0.11422944362383063
47,94.0,36.84301667118072,0.19946367002937046,1.2999999570846559,3.0,2,0,2,20,38,217,hard,0.14844587352625938,0.2740286298568507,0.2527805864509606,0.12259970457902511
48,96.0,71.35404556369781,0.20623164346826714,1.389999957084656,3.0,2,0,2,20,66,217,hard,0.14844587352625938,0.2765848670756646,0.2603640040444894,0.13884785819793205
