step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,99.7605668721199,0.04309349749903809,0.19716563940048218,1.0,0,0,0,20,100,229,hard,0.07783145464304884,0.0975485188968335,0.0,0.0
2,4.0,23.297582379341126,0.04578684109272797,0.2822545003890991,1.0,0,0,0,20,26,229,hard,0.08373590982286634,0.10265577119509704,0.0,0.0
3,6.0,86.51012842226028,0.05604719764011799,0.37592115163803097,1.0,0,0,0,20,87,229,hard,0.11647879763821793,0.11235955056179775,0.0,0.0
4,8.0,67.36887812519073,0.06348595613697576,0.46904588222503657,1.0,0,0,0,20,70,229,hard,0.13687600644122383,0.12257405515832483,0.0,0.0
5,10.0,89.68815459871291,0.0736180582275234,0.5592270064353942,1.0,0,0,0,20,90,229,hard,0.16854535695115405,0.13278855975485188,0.0,0.0
6,12.0,83.61023315238953,0.08362190586122868,0.6496284580230712,1.0,0,0,0,20,88,229,hard,0.178743961352657,0.16292134831460675,0.0,0.0
7,14.0,45.72253933525085,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,44,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
8,16.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
9,18.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
10,20.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
11,22.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
12,24.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
13,26.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
14,28.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
15,30.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
16,32.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
17,34.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
18,36.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
19,38.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
20,40.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
21,42.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
22,44.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
23,46.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
24,48.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
25,50.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
26,52.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
27,54.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
28,56.0,-1.34618243598938,0.08836732076439656,0.7309121799468994,1.0,0,0,0,20,0,229,hard,0.18625872249060654,0.17466802860061287,0.0,0.0
29,58.0,7.7094413356781,0.08900859304860843,0.7578975772857666,1.0,0,0,0,20,10,229,hard,0.18894256575415996,0.17466802860061287,0.0,0.0
30,60.0,33.66409713840484,0.09259971784019495,0.8482312154769898,1.0,0,0,0,20,32,229,hard,0.19269994632313472,0.1853932584269663,0.0,0.0
31,62.0,46.421376632690425,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,47,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
32,64.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
33,66.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
34,68.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
35,70.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
36,72.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
37,74.0,-1.3870092163085936,0.09824291394125946,0.9350460815429688,1.0,0,0,0,20,0,229,hard,0.20182501341921633,0.19918283963227784,0.0,0.0
38,76.0,33.59770784139633,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,34,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
39,78.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
40,80.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
41,82.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
42,84.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
43,86.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
44,88.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
45,90.0,-1.402292158603668,0.10209054764653072,1.011460793018341,1.0,0,0,0,20,0,229,hard,0.2055823939881911,0.21092951991828396,0.0,0.0
