step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,72.76289438438415,0.03649355620773255,0.18552807807922364,1.0,0,0,0,20,73,246,hard,0.10005379236148466,0.0509683995922528,0.0,0.0
2,4.0,62.77855215811729,0.04363914763302284,0.22069784283638,1.0,0,0,0,20,62,246,hard,0.11672942442173212,0.063710499490316,0.0,0.0
3,6.0,49.43865970468521,0.04899834120199056,0.2791011881828308,1.0,0,0,0,20,52,246,hard,0.129101667563206,0.07339449541284404,0.0,0.0
4,8.0,77.41701173496246,0.05767513078984305,0.3823580884933472,1.0,0,0,0,20,78,246,hard,0.13878429263044648,0.09887869520897044,0.0,0.0
5,10.0,16.549401036262513,0.059716728339925994,0.4296114873886109,1.0,0,0,0,20,18,246,hard,0.14254975793437333,0.1034658511722732,0.0,0.0
6,12.0,26.127501116991045,0.06252392497129003,0.46342939734458927,1.0,0,0,0,20,27,246,hard,0.1490048413125336,0.10856269113149847,0.0,0.0
7,14.0,37.62350921344757,0.06711751945897665,0.5151510381698609,1.0,0,0,0,20,38,246,hard,0.15223238300161376,0.12385321100917432,0.0,0.0
8,16.0,7.929520701169968,0.06775551869337756,0.569485193490982,1.0,0,0,0,20,6,246,hard,0.15330823023130716,0.12538226299694188,0.0,0.0
9,18.0,19.66274003529549,0.06979711624346051,0.6862998235225677,1.0,0,0,0,20,20,246,hard,0.15492200107584722,0.13200815494393475,0.0,0.0
10,20.0,4.595024024248123,0.07030751563098124,0.7397026479244232,1.0,0,0,0,20,4,246,hard,0.1565357719203873,0.1325178389398573,0.0,0.0
11,22.0,0.5278065505027771,0.07043511547786142,0.7714820790290833,1.0,0,0,0,20,3,246,hard,0.1565357719203873,0.13302752293577982,0.0,0.0
12,24.0,4.353642578125,0.07081791501850197,0.8387550354003906,1.0,0,0,0,20,3,246,hard,0.15814954276492738,0.13302752293577982,0.0,0.0
13,26.0,3.5941252357959748,0.07132831440602272,0.8714644277095795,1.0,0,0,0,20,4,246,hard,0.16030123722431414,0.13302752293577982,0.0,0.0
14,28.0,0.3948618760108948,0.07132831440602272,0.9143310236930848,1.0,0,0,0,20,0,246,hard,0.16030123722431414,0.13302752293577982,0.0,0.0
15,30.0,-2.986465901374817,0.07132831440602272,0.9536946725845338,1.0,0,0,0,20,0,246,hard,0.16030123722431414,0.13302752293577982,0.0,0.0
16,32.0,19.154817707061767,0.07324231210922547,1.0423310661315919,1.0,0,0,0,20,16,246,hard,0.16514254975793438,0.13608562691131498,0.0,0.0
17,34.0,1.792829484939575,0.0737527114967462,1.1248151302337648,1.0,0,0,0,20,6,246,hard,0.16568047337278108,0.13761467889908258,0.0,0.0
18,36.0,12.39368316602707,0.07502870996554804,1.2160257363319398,1.0,0,0,0,20,10,246,hard,0.16783216783216784,0.14067278287461774,0.0,0.0
19,38.0,-0.2646016850471497,0.07528390965930841,1.3019884896278382,1.0,0,0,0,20,2,246,hard,0.1689080150618612,0.14067278287461774,0.0,0.0
20,40.0,-2.235083032608032,0.07528390965930841,1.4188443470001222,1.0,0,0,0,20,0,246,hard,0.1689080150618612,0.14067278287461774,0.0,0.0
21,42.0,180.48242371809485,0.09327548806941431,1.5878814095258713,2.0,1,0,1,20,159,246,hard,0.1689080150618612,0.154434250764526,0.057057057057057055,0.0
22,44.0,-0.42317363530397417,0.09327548806941431,1.6008020296692849,2.0,1,0,1,20,0,246,hard,0.1689080150618612,0.154434250764526,0.057057057057057055,0.0
23,46.0,19.662248708426954,0.0956998851601378,1.6970953860878946,2.0,1,0,1,20,25,246,hard,0.1689080150618612,0.1564729867482161,0.06456456456456457,0.0
24,48.0,13.450866187751293,0.09672068393517928,1.7456690612435342,2.0,1,0,1,20,14,246,hard,0.1689080150618612,0.15698267074413863,0.06806806806806807,0.0
25,50.0,10.436823955237866,0.09799668240398111,1.8158802238106728,2.0,1,0,1,20,11,246,hard,0.1689080150618612,0.1600407747196738,0.07007007007007007,0.0
26,52.0,1.1952650944590568,0.09799668240398111,1.886627713739872,2.0,1,0,1,20,0,246,hard,0.1689080150618612,0.1600407747196738,0.07007007007007007,0.0
27,54.0,30.24480552738905,0.10105907872910552,1.9518260923027992,2.0,1,0,1,20,31,246,hard,0.1689080150618612,0.16462793068297654,0.07757757757757758,0.0
28,56.0,18.48333113139868,0.10297307643230828,1.9785088327527047,2.0,1,0,1,20,20,246,hard,0.1689080150618612,0.1671763506625892,0.08258258258258258,0.0
29,58.0,8.292104505956173,0.10399387520734975,2.0167399671673776,2.0,1,0,1,20,9,246,hard,0.1689080150618612,0.1707441386340469,0.08308308308308308,0.0
30,60.0,13.291185790956021,0.10539747352303178,2.0774572756886482,2.0,1,0,1,20,12,246,hard,0.1689080150618612,0.172782874617737,0.08658658658658659,0.0
31,62.0,-0.5474211955666541,0.10539747352303178,2.0946861627697944,2.0,1,0,1,20,0,246,hard,0.1689080150618612,0.172782874617737,0.08658658658658659,0.0
32,64.0,19.51850737565756,0.10782187061375527,2.1555920127034187,2.0,1,0,1,20,20,246,hard,0.1694459386767079,0.17482161060142712,0.0935935935935936,0.0
