step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,95.75670623779297,0.04672897196261682,0.2164850044250488,1.0,0,0,0,20,96,233,hard,0.09935205183585313,0.09215885947046844,0.0,0.0
2,4.0,37.94313430786133,0.05108180770707976,0.25472526192665096,1.0,0,0,0,20,38,233,hard,0.10367170626349892,0.10539714867617107,0.0,0.0
3,6.0,49.27776336669922,0.05735501216233517,0.35404007315635677,1.0,0,0,0,20,54,233,hard,0.1101511879049676,0.12423625254582485,0.0,0.0
4,8.0,-1.2708079814910889,0.05735501216233517,0.35404007315635677,1.0,0,0,0,20,0,233,hard,0.1101511879049676,0.12423625254582485,0.0,0.0
5,10.0,51.73334503173828,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,52,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
6,12.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
7,14.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
8,16.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
9,18.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
10,20.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
11,22.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
12,24.0,-1.282378911972046,0.06286006913327359,0.4118946242332458,1.0,0,0,0,20,0,233,hard,0.1236501079913607,0.1334012219959267,0.0,0.0
13,26.0,12.212394714355469,0.06426833952118807,0.4853901553153991,1.0,0,0,0,20,13,233,hard,0.12580993520518358,0.1369653767820774,0.0,0.0
14,28.0,-1.297078013420105,0.06426833952118807,0.4853901553153991,1.0,0,0,0,20,0,233,hard,0.12580993520518358,0.1369653767820774,0.0,0.0
