step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,113.46253946656229,0.04862397474823501,0.1873026671886444,1.0,0.0,0.0,0.0,20.0,113.72,224.5,hard,0.12743382764644642,0.07275655876365489,0.0,0.0
2.0,4.0,75.12554594347,0.05696289086210578,0.2661469305992126,1.0,0.0,0.0,0.0,20.0,75.76,224.5,hard,0.14800101689720851,0.08646287642258217,0.0,0.0
3.0,6.0,59.507380545272824,0.06347375062962825,0.3394595973968506,1.0,0.0,0.0,0.0,20.0,60.18,224.5,hard,0.16389353553201372,0.09732164112373028,0.0,0.0
4.0,8.0,55.86769718063354,0.0696411841151478,0.41792090473175053,1.0,0.0,0.0,0.0,20.0,57.32,224.5,hard,0.17851086874810076,0.10801886853773646,0.0,0.0
5.0,10.0,50.03879484359741,0.07529182037736175,0.4844380048751832,1.0,0.0,0.0,0.0,20.0,50.52,224.5,hard,0.19082249083748157,0.11885763604346375,0.0,0.0
6.0,12.0,51.7318769993782,0.0811967808404793,0.5497235465049743,1.0,0.0,0.0,0.0,20.0,52.56,224.5,hard,0.20415010057642047,0.12975032519683982,0.0,0.0
7.0,14.0,56.15499192288398,0.08748607307435657,0.6126705144405364,1.0,0.0,0.0,0.0,20.0,56.58,224.5,hard,0.21876408575471054,0.14093749998197946,0.0,0.0
8.0,16.0,59.90851610795975,0.09416874145600547,0.6805407217979432,1.0,0.0,0.0,0.0,20.0,60.64,224.5,hard,0.23467711574654682,0.15246578862486596,0.0,0.0
9.0,18.0,57.419520472249985,0.10069301571108412,0.7449380936145782,1.0,0.0,0.0,0.0,20.0,58.02,224.5,hard,0.25070244243305445,0.16325754121704822,0.0,0.0
10.0,20.0,58.905288688526156,0.10709778451459616,0.8092821986198426,1.0,0.0,0.0,0.0,20.0,58.18,224.5,hard,0.2658576075867138,0.1743938720657712,0.0,0.0
11.0,22.0,53.89788100159645,0.11295043277271283,0.8709898990154266,1.0,0.0,0.0,0.0,20.0,53.66,224.5,hard,0.27916651008376614,0.18508548622846754,0.0,0.0
12.0,24.0,46.67480997422218,0.11784645722761207,0.9323164294719695,1.0,0.0,0.0,0.0,20.0,44.56,224.5,hard,0.29072482518351955,0.19362481090173742,0.0,0.0
13.0,26.0,51.77489376114845,0.12336637341021492,0.9964523053646087,1.0,0.0,0.0,0.0,20.0,50.38,224.5,hard,0.30348971532169505,0.20350569175753183,0.0,0.0
14.0,28.0,62.140079711380004,0.12958199641262003,1.060393984603882,1.0,0.0,0.0,0.0,20.0,55.66,224.5,hard,0.31840632818861125,0.2141043770350949,0.0,0.0
15.0,30.0,56.467033672704694,0.1355916497763623,1.1202300529956817,1.0,0.0,0.0,0.0,20.0,54.36,224.5,hard,0.33254743522329455,0.22462432822624404,0.0,0.0
16.0,32.0,45.01553962962151,0.14025112906942314,1.1705758921146394,1.0,0.0,0.0,0.0,20.0,42.62,224.5,hard,0.3424713754971486,0.2337706246831752,0.0,0.0
17.0,34.0,51.66537179385185,0.14564614042362878,1.22704246468544,1.0,0.0,0.0,0.0,20.0,49.36,224.5,hard,0.3549778043152348,0.24340146217882938,0.0,0.0
18.0,36.0,43.59925580481529,0.15024797526782888,1.282257653284073,1.0,0.0,0.0,0.0,20.0,42.18,224.5,hard,0.3654925789884953,0.25175394524074013,0.0,0.0
19.0,38.0,43.34093837500572,0.15498846027893368,1.335233652544022,1.0,0.0,0.0,0.0,20.0,43.26,224.5,hard,0.3755550086430351,0.26109322018962794,0.0,0.0
20.0,40.0,44.08287509235382,0.15935413141758936,1.389395461845398,1.0,0.0,0.0,0.0,20.0,40.02,224.5,hard,0.3854367589057665,0.26910501737313214,0.0,0.0
21.0,42.0,46.15042509161949,0.1640113744398259,1.4443747955799104,1.0,0.0,0.0,0.0,20.0,42.32,224.5,hard,0.39497562566981764,0.2786131974984106,0.0,0.0
22.0,44.0,52.5655990785408,0.16909763275655665,1.4969829112052917,1.0,0.0,0.0,0.0,20.0,46.2,224.5,hard,0.406964889426612,0.287495481121826,0.0,0.0
23.0,46.0,39.68035289849281,0.17333636756653725,1.5431361871242526,1.0,0.0,0.0,0.0,20.0,39.26,224.5,hard,0.4161278879356641,0.29569417542163956,0.0,0.0
24.0,48.0,42.175295196533206,0.17754622776397183,1.5897680950164799,1.0,0.0,0.0,0.0,20.0,38.58,224.5,hard,0.42529120338102216,0.30378182643099694,0.0,0.0
25.0,50.0,39.065173543291095,0.18150580017521392,1.6342345555782318,1.0,0.0,0.0,0.0,20.0,36.24,224.5,hard,0.43433357728109173,0.3109711076686431,0.0,0.0
26.0,52.0,33.64614700639367,0.1851574633626378,1.6761444526851177,1.0,0.0,0.0,0.0,20.0,33.26,224.5,hard,0.44281601734064824,0.3174629417302092,0.0,0.0
27.0,54.0,29.54760013511777,0.1882465514103832,1.715793422311544,1.0,0.0,0.0,0.0,20.0,28.42,224.5,hard,0.44922857175640585,0.3236895516601045,0.0,0.0
28.0,56.0,32.30877158195615,0.1917076185674721,1.7580368026673794,1.0,0.0,0.0,0.0,20.0,32.16,224.5,hard,0.4562912190350218,0.330778442804599,0.0,0.0
29.0,58.0,32.373669347048995,0.19531875201792112,1.7963197743833066,1.0,0.0,0.0,0.0,20.0,32.2,224.5,hard,0.46418862113680776,0.337668620735339,0.0,0.0
30.0,60.0,36.71510389040589,0.19928848518838074,1.8377051973998548,1.0,0.0,0.0,0.0,20.0,35.6,224.5,hard,0.47335866813206395,0.34478233413059556,0.0,0.0
31.0,62.0,37.42948585073591,0.2031978173297144,1.8796667317330835,1.0,0.0,0.0,0.0,20.0,36.18,224.5,hard,0.4826571177787692,0.35152449208841224,0.0,0.0
32.0,64.0,34.74639384768129,0.2068880906405355,1.921974252575636,1.0,0.0,0.0,0.0,20.0,33.26,224.5,hard,0.4907906960607481,0.35850914394654326,0.0,0.0
33.0,66.0,28.042093464301825,0.2100180097456068,1.9658824614346029,1.0,0.0,0.0,0.0,20.0,28.98,224.5,hard,0.49781451059584386,0.36431081979292756,0.0,0.0
34.0,68.0,34.23709313760639,0.21379727353921826,2.011378889757395,1.0,0.0,0.0,0.0,20.0,34.42,224.5,hard,0.5058413528543145,0.371750737231099,0.0,0.0
35.0,70.0,24.67777652299523,0.21659391381350915,2.049356864088774,1.0,0.0,0.0,0.0,20.0,25.9,224.5,hard,0.5111172511186086,0.37788196717426886,0.0,0.0
36.0,72.0,20.970189776277543,0.2190363591899064,2.0870395190715785,1.0,0.0,0.0,0.0,20.0,22.52,224.5,hard,0.5154260768401409,0.3835252061410413,0.0,0.0
37.0,74.0,26.609008266019824,0.22194317782935627,2.128385071516037,1.0,0.0,0.0,0.0,20.0,26.62,224.5,hard,0.5215059230173463,0.38932851987513106,0.0,0.0
38.0,76.0,26.66374722012043,0.22489678681592104,2.1664587732076646,1.0,0.0,0.0,0.0,20.0,26.66,224.5,hard,0.5270282931501896,0.3958673591802547,0.0,0.0
39.0,78.0,29.613690635926723,0.22810826221085093,2.208995617592335,1.0,0.0,0.0,0.0,20.0,29.66,224.5,hard,0.5342796791759975,0.4017859094296567,0.0,0.0
40.0,80.0,29.660030593497755,0.23154401263361216,2.2548466224312786,1.0,0.0,0.0,0.0,20.0,30.7,224.5,hard,0.5411041001279736,0.4090086589657951,0.0,0.0
41.0,82.0,33.02106640470743,0.2350451327713289,2.2992654496073723,1.0,0.0,0.0,0.0,20.0,31.44,224.5,hard,0.5482672245935762,0.4161657412281147,0.0,0.0
42.0,84.0,30.538091977946756,0.23841102745060525,2.3394085699677465,1.0,0.0,0.0,0.0,20.0,30.94,224.5,hard,0.5562643967662083,0.4219872999583281,0.0,0.0
43.0,86.0,29.278756992337698,0.24128928761651935,2.378648176205158,1.0,0.0,0.0,0.0,20.0,26.76,224.5,hard,0.5626959292132854,0.4273490259189961,0.0,0.0
44.0,88.0,24.822793865439895,0.24394436049987653,2.4174448955178263,1.0,0.0,0.0,0.0,20.0,24.46,224.5,hard,0.5679874663232307,0.4329015401540612,0.0,0.0
45.0,90.0,28.620211779475216,0.24714698143877098,2.457095447182655,1.0,0.0,0.0,0.0,20.0,29.14,224.5,hard,0.5743296903602949,0.43964972487345116,0.0,0.0
46.0,92.0,25.34358632270813,0.24984560544877446,2.4921286014556885,1.0,0.0,0.0,0.0,20.0,25.06,224.5,hard,0.5804951930209463,0.4445545959175863,0.0,0.0
47.0,94.0,38.10716142440259,0.2538208909427918,2.537537537792325,1.08,0.08,0.0,0.08,20.0,35.84,224.5,hard,0.5861693982025635,0.4512782516634343,0.003707434781396324,0.0
48.0,96.0,37.988129861825115,0.2577628972923258,2.5818681335777045,1.14,0.14,0.0,0.14,20.0,35.46,224.5,hard,0.5912504520452516,0.4585372197536556,0.0073135796538615246,0.0
49.0,98.0,30.122326693187357,0.2609415693938886,2.6177085178583854,1.14,0.14,0.0,0.14,20.0,29.6,224.5,hard,0.5956647859990797,0.46511818221361834,0.009200760341115834,0.0
50.0,100.0,25.098150875158908,0.26374477091061627,2.648314609190822,1.14,0.14,0.0,0.14,20.0,26.64,224.5,hard,0.5994686678107579,0.4712117877926071,0.010663248788142088,0.0
51.0,102.0,21.01734443358302,0.26604611468430056,2.6760648403704166,1.14,0.14,0.0,0.14,20.0,21.48,224.5,hard,0.6031858838934825,0.4757521822095967,0.01176230301780097,0.0
52.0,104.0,25.207565445793872,0.2689524383727793,2.7023425822794436,1.14,0.14,0.0,0.14,20.0,26.64,224.5,hard,0.6073160500404682,0.48188083191757847,0.013294438248163216,0.0
53.0,106.0,27.206524869567158,0.2720030553065047,2.725095478862524,1.14,0.14,0.0,0.14,20.0,27.72,224.5,hard,0.612741534228818,0.48763224022649126,0.014541050845356647,0.0
