step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,115.76299574613572,0.05382545174932718,0.18502126932144164,1.0,0,0,0,20,116,224,hard,0.14001077005923532,0.08196721311475409,0.0,0.0
2,4.0,69.36354879713058,0.06125849032423427,0.26338222742080686,1.0,0,0,0,20,69,224,hard,0.1583198707592892,0.0942622950819672,0.0,0.0
3,6.0,73.8670832285881,0.06997308727412534,0.36084240198135376,1.0,0,0,0,20,78,224,hard,0.1825525040387722,0.10604508196721311,0.0,0.0
4,8.0,37.10428253746032,0.07433038574907087,0.43639962196350096,1.0,0,0,0,20,38,224,hard,0.193322563274098,0.11321721311475409,0.0,0.0
5,10.0,64.44914011096954,0.08112264513648597,0.5219424200057983,1.0,0,0,0,20,61,224,hard,0.20893914916532041,0.1255122950819672,0.0,0.0
6,12.0,54.91292084550857,0.08727412533640908,0.6154509139060973,1.0,0,0,0,20,53,224,hard,0.22401723209477653,0.13575819672131148,0.0,0.0
7,14.0,71.58691928339005,0.09547609893630656,0.7044593119621275,1.0,0,0,0,20,68,224,hard,0.24663435648896068,0.14702868852459017,0.0,0.0
8,16.0,65.34123303461075,0.10265282583621683,0.7899476504325865,1.0,0,0,0,20,64,224,hard,0.2649434571890145,0.15829918032786885,0.0,0.0
9,18.0,58.29637713193893,0.10944508522363193,0.8799545884132384,1.0,0,0,0,20,61,224,hard,0.2816370490037695,0.16956967213114754,0.0,0.0
10,20.0,40.88474817752838,0.11393053953607586,0.9707526922225951,1.0,0,0,0,20,45,224,hard,0.2913301023155627,0.17827868852459017,0.0,0.0
11,22.0,28.63639216041565,0.11585287709855184,1.0617053699493406,1.0,0,0,0,20,25,224,hard,0.29779213785675823,0.17981557377049182,0.0,0.0
12,24.0,11.57014937400818,0.11674996796104063,1.1492531299591062,1.0,0,0,0,20,12,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
13,26.0,-1.3259483585357665,0.11674996796104063,1.234657411575317,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
14,28.0,1.9565279026031492,0.11674996796104063,1.323130598068237,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
15,30.0,-2.8626105213165283,0.11674996796104063,1.4136671543121335,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
16,32.0,1.6395453877449038,0.11674996796104063,1.4998953604698178,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
17,34.0,-2.5844773044586185,0.11674996796104063,1.5899165821075436,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
18,36.0,1.5306891446113586,0.11674996796104063,1.6799302077293392,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
19,38.0,-2.620663952827454,0.11674996796104063,1.7699438333511348,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
20,40.0,1.4950125761032105,0.11674996796104063,1.859943833351135,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
21,42.0,-2.6569901094436648,0.11674996796104063,1.949943833351135,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
22,44.0,1.0498781409263611,0.11674996796104063,2.033814327716827,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
23,46.0,-2.169716987133026,0.11674996796104063,2.123832509517669,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
24,48.0,0.6344571537971497,0.11674996796104063,2.2097981238365167,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
25,50.0,-1.8058880710601806,0.11674996796104063,2.299803209304809,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
26,52.0,0.27720315074920676,0.11674996796104063,2.3880015802383414,1.0,0,0,0,20,0,224,hard,0.29940764674205705,0.18186475409836064,0.0,0.0
27,54.0,0.10871851468086269,0.11700627963603742,2.4379595506191243,1.0,0,0,0,20,4,224,hard,0.2999461497038234,0.18237704918032788,0.0,0.0
28,56.0,6.120704828500748,0.11726259131103421,2.5255327880382525,1.0,0,0,0,20,7,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
29,58.0,-2.1789087814092634,0.11726259131103421,2.54882933795452,1.0,0,0,0,20,0,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
30,60.0,5.268106187939644,0.11726259131103421,2.6388315480947484,1.0,0,0,0,20,0,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
31,62.0,4.384248742699623,0.11726259131103421,2.7164496916532506,1.0,0,0,0,20,0,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
32,64.0,-5.782333410620689,0.11726259131103421,2.791809265017508,1.0,0,0,0,20,0,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
33,66.0,5.212602881550789,0.11726259131103421,2.8820920985937106,1.0,0,0,0,20,0,224,hard,0.30048465266558966,0.18288934426229508,0.0,0.0
34,68.0,-2.2266301177740093,0.11751890298603102,2.9640755766630162,1.0,0,0,0,20,4,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
35,70.0,4.623575478672981,0.11751890298603102,3.0465818351507177,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
36,72.0,5.164047178387642,0.11751890298603102,3.1366174978017796,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
37,74.0,1.7942334314584731,0.11751890298603102,3.2269629734754552,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
38,76.0,-3.470967057585716,0.11751890298603102,3.316962973475455,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
39,78.0,1.8643055711984635,0.11751890298603102,3.404897314906119,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
40,80.0,-3.782288090586662,0.11751890298603102,3.494900783896445,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
41,82.0,2.3532882558107375,0.11751890298603102,3.579106754660605,1.0,0,0,0,20,0,224,hard,0.30102315562735593,0.1834016393442623,0.0,0.0
42,84.0,1.635672561764717,0.11764705882352941,3.648839868903159,1.0,0,0,0,20,4,224,hard,0.30102315562735593,0.1839139344262295,0.0,0.0
43,86.0,25.051936928868294,0.12008201973599897,3.74031535565853,1.0,0,0,0,20,26,224,hard,0.30210016155088854,0.19262295081967212,0.0,0.0
44,88.0,42.944488792061804,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,41,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
45,90.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
46,92.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
47,94.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
48,96.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
49,98.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
50,100.0,-16.966226311087606,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
51,102.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
52,104.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
53,106.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
54,108.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
55,110.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
56,112.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
57,114.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
58,116.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
59,118.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
60,120.0,-1.9662263110876081,0.1250800973984365,3.8311315554380405,1.0,0,0,0,20,0,224,hard,0.30748519116855144,0.2074795081967213,0.0,0.0
61,122.0,4.7646372575759885,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,7,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
62,124.0,-1.9701115827560423,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,0,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
63,126.0,-1.9701115827560423,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,0,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
64,128.0,-1.9701115827560423,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,0,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
65,130.0,-1.9701115827560423,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,0,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
66,132.0,-1.9701115827560423,0.12572087658592848,3.8505579137802113,1.0,0,0,0,20,0,224,hard,0.3080236941303177,0.20952868852459017,0.0,0.0
