step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,72.86945641548753,0.04311090708735173,0.15271792256236075,1.0,0.0,0.0,0.0,20.0,73.24,224.5,hard,0.11496832313674316,0.06263101189036663,0.0,0.0
2.0,4.0,45.13848400643707,0.04815256511219095,0.20282786830067637,1.0,0.0,0.0,0.0,20.0,46.2,224.5,hard,0.12893230930833116,0.06945722674437603,0.0,0.0
3.0,6.0,39.007769837580916,0.05251765207461508,0.2673379649579525,1.0,0.0,0.0,0.0,20.0,39.98,224.5,hard,0.140279389149145,0.07606561636322477,0.0,0.0
4.0,8.0,31.2385134304601,0.05589054147403347,0.32043681689202785,1.0,0.0,0.0,0.0,20.0,32.02,224.5,hard,0.14893037476661433,0.08130145077893357,0.0,0.0
5.0,10.0,29.426475333648323,0.05902394676880506,0.3716600205630065,1.0,0.0,0.0,0.0,20.0,29.46,224.5,hard,0.15659768014988967,0.08650130279592355,0.0,0.0
6.0,12.0,19.710518172851206,0.06119791049652478,0.42275353138148786,1.0,0.0,0.0,0.0,20.0,20.2,224.5,hard,0.16166897024448257,0.09035242488530758,0.0,0.0
7.0,14.0,21.669991022387148,0.06365071741080085,0.4793821988552808,1.0,0.0,0.0,0.0,20.0,22.38,224.5,hard,0.16713839699786226,0.09494048842474154,0.0,0.0
8.0,16.0,14.78753057770908,0.06528032718387608,0.5263640258222817,1.0,0.0,0.0,0.0,20.0,15.2,224.5,hard,0.17113749821330032,0.09764504366828414,0.0,0.0
9.0,18.0,15.79177685137093,0.06704064168366813,0.5861741127818823,1.0,0.0,0.0,0.0,20.0,16.34,224.5,hard,0.17523392474275812,0.10077141709641561,0.0,0.0
10.0,20.0,15.351201920874118,0.06868442899188915,0.6412852984309196,1.0,0.0,0.0,0.0,20.0,15.72,224.5,hard,0.17938599523778798,0.10338385611952182,0.0,0.0
11.0,22.0,17.134378744095564,0.07065848902526632,0.6994800283014773,1.0,0.0,0.0,0.0,20.0,17.74,224.5,hard,0.18450033982057512,0.10639563523570489,0.0,0.0
12.0,24.0,17.07891625580788,0.0725468965803535,0.755773010969162,1.0,0.0,0.0,0.0,20.0,17.44,224.5,hard,0.18930751331319023,0.10935720228926521,0.0,0.0
