method,final_coverage_mean,final_cov_trace_mean,final_cov_alt0_mean,final_cov_alt1_mean,final_cov_alt2_mean,final_cov_alt3_mean,final_loop_closures_mean,final_altitude_changes_mean,final_coverage_std,final_cov_trace_std,final_cov_alt0_std,final_cov_alt1_std,final_cov_alt2_std,final_cov_alt3_std,final_loop_closures_std,final_altitude_changes_std
Random Walk,0.5516,3.7162,0.5011,0.6113,0.5939,0.4992,5.9600,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nearest Frontier,0.5253,3.6271,0.5067,0.6192,0.5645,0.4131,0.0000,3.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Spiral,0.2794,2.4050,0.2623,0.2866,0.2849,0.2827,10.4000,2.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Potential Field,0.3626,2.2273,0.4258,0.4455,0.3214,0.2641,0.7200,1.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Greedy Info Gain,0.8273,3.7600,0.8701,0.9067,0.8390,0.6993,0.3600,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RRT Explorer,0.3917,3.5012,0.5892,0.6074,0.2950,0.0948,0.2800,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vanilla PPO (learned baseline, n=3),0.8687,3.7803,0.7767,0.9279,0.9315,0.8352,3.3467,16.2267,0.0119,0.0583,0.0310,0.0130,0.0097,0.0137,0.3402,0.2301
RL Ours (main, n=3),0.8756,3.7078,0.8526,0.9478,0.9326,0.7712,3.5067,16.1867,0.0245,0.0722,0.0497,0.0283,0.0276,0.0483,0.0643,0.3101
RL Ours + Δcov-trace reward (n=3),0.8869,3.7378,0.7747,0.9385,0.9520,0.8769,3.3867,16.1133,0.0084,0.0602,0.0296,0.0113,0.0120,0.0230,0.3101,0.2444
RL Ours + Δcov-trace + MAX_STEPS=600 (n=3),0.9190,3.7290,0.8811,0.9685,0.9579,0.8681,7.4933,22.9533,0.0172,0.1101,0.0135,0.0092,0.0167,0.0291,1.1686,1.1378
RL w/o LoopClosure reward (n=3),0.8941,3.8221,0.8084,0.9441,0.9512,0.8695,3.4867,15.9533,0.0231,0.0384,0.0527,0.0278,0.0135,0.0130,0.8882,0.8013
RL w/o BreadthBonus (n=3),0.8654,3.7325,0.7946,0.9197,0.9298,0.8154,3.4800,15.6067,0.0149,0.0503,0.0985,0.0433,0.0057,0.0938,0.5546,1.2436
