step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,65.7613296508789,0.04912145697062973,0.19336244583129883,1.0,0,0,0,20,66,220,hard,0.13003761418592155,0.07215967246673491,0.0,0.0
2,4.0,33.55050277709961,0.05335385404642811,0.2840773582458496,1.0,0,0,0,20,37,220,hard,0.1429339065018807,0.0767656090071648,0.0,0.0
3,6.0,54.71772766113281,0.059125304604335,0.4113565731048584,1.0,0,0,0,20,55,220,hard,0.15045674368619022,0.09263050153531217,0.0,0.0
4,8.0,60.284732818603516,0.06643580864435039,0.5145416045188904,1.0,0,0,0,20,64,220,hard,0.16872649113379903,0.10440122824974411,0.0,0.0
5,10.0,72.12226867675781,0.0736180582275234,0.6059440636634827,1.0,0,0,0,20,67,220,hard,0.18807092960773777,0.11463664278403275,0.0,0.0
6,12.0,-1.3211888074874878,0.0736180582275234,0.6059440636634827,1.0,0,0,0,20,0,220,hard,0.18807092960773777,0.11463664278403275,0.0,0.0
7,14.0,-1.3211888074874878,0.0736180582275234,0.6059440636634827,1.0,0,0,0,20,0,220,hard,0.18807092960773777,0.11463664278403275,0.0,0.0
8,16.0,37.48849868774414,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,41,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
9,18.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
10,20.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
11,22.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
12,24.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
13,26.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
14,28.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
15,30.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
16,32.0,-1.339227557182312,0.0778504553033218,0.6961376905441286,1.0,0,0,0,20,0,220,hard,0.19290703922622246,0.1269191402251791,0.0,0.0
17,34.0,16.362781524658203,0.07926125432858792,0.7797719717025758,1.0,0,0,0,20,14,220,hard,0.19666845781837722,0.12896622313203684,0.0,0.0
18,36.0,28.011198043823242,0.08298063357701681,0.9070511865615847,1.0,0,0,0,20,32,220,hard,0.19881783987103707,0.14176049129989765,0.0,0.0
19,38.0,-1.3814102411270142,0.08298063357701681,0.9070511865615847,1.0,0,0,0,20,0,220,hard,0.19881783987103707,0.14176049129989765,0.0,0.0
20,40.0,-1.3814102411270142,0.08298063357701681,0.9070511865615847,1.0,0,0,0,20,0,220,hard,0.19881783987103707,0.14176049129989765,0.0,0.0
21,42.0,394.5636901855469,0.12838271129921766,1.1815332651138306,2.0,1,0,1,20,373,220,hard,0.22031166039763567,0.2241555783009212,0.07814096016343207,0.0
22,44.0,113.56355285644531,0.1415929203539823,1.229393401145935,2.0,1,0,1,20,115,220,hard,0.22138635142396562,0.2563971340839304,0.0975485188968335,0.0
