step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,69.56633311271668,0.04139898841703191,0.16833631237745283,1.0,0.0,0.0,0.0,20.0,70.08,224.5,hard,0.11016475847730485,0.06035688221531918,0.0,0.0
2.0,4.0,47.124153277873994,0.046859498382217826,0.23044887487888338,1.0,0.0,0.0,0.0,20.0,48.6,224.5,hard,0.12461709507268087,0.06840786913118822,0.0,0.0
3.0,6.0,43.734956858158114,0.05170613250403029,0.2950611492872238,1.0,0.0,0.0,0.0,20.0,44.46,224.5,hard,0.13655956724353316,0.0763852596470032,0.0,0.0
4.0,8.0,36.85660222053528,0.05586812114077655,0.3548815547943115,1.0,0.0,0.0,0.0,20.0,37.42,224.5,hard,0.1462544189135441,0.08377118235696146,0.0,0.0
5.0,10.0,45.30425157785416,0.060982564726673266,0.41116869802474976,1.0,0.0,0.0,0.0,20.0,45.94,224.5,hard,0.15749003146642662,0.09347126149558005,0.0,0.0
6.0,12.0,41.56928802251816,0.06563077329767195,0.47194166556596756,1.0,0.0,0.0,0.0,20.0,42.5,224.5,hard,0.16796577076609254,0.10204706412575343,0.0,0.0
7.0,14.0,41.651152887940405,0.07040280509577349,0.5273882866740227,1.0,0.0,0.0,0.0,20.0,42.6,224.5,hard,0.17872313868688916,0.1108683903087645,0.0,0.0
8.0,16.0,41.213555631637576,0.07504875825828372,0.585618743944168,1.0,0.0,0.0,0.0,20.0,41.98,224.5,hard,0.18843058653300623,0.12017141991932476,0.0,0.0
9.0,18.0,36.76905879616737,0.07908593665965506,0.6379535125017166,1.0,0.0,0.0,0.0,20.0,37.4,224.5,hard,0.19683406384862379,0.12830008983127145,0.0,0.0
10.0,20.0,35.38112946271897,0.08305591294671315,0.6893656180381775,1.0,0.0,0.0,0.0,20.0,36.26,224.5,hard,0.20473694336718062,0.13662338905885024,0.0,0.0
11.0,22.0,33.81588519096375,0.08677585096081841,0.7387111358880997,1.0,0.0,0.0,0.0,20.0,34.12,224.5,hard,0.2133382038007933,0.14328277680819315,0.0,0.0
12.0,24.0,37.19828637242317,0.0910486333571788,0.7901324335694312,1.0,0.0,0.0,0.0,20.0,38.0,224.5,hard,0.22273014586050485,0.15138661928949135,0.0,0.0
13.0,26.0,24.82839208602905,0.09375956773732164,0.828594894850254,1.0,0.0,0.0,0.0,20.0,25.74,224.5,hard,0.2282819175734592,0.15692020747944216,0.0,0.0
14.0,28.0,24.91144215106964,0.09664586452099204,0.8676616725564003,1.0,0.0,0.0,0.0,20.0,26.3,224.5,hard,0.23466620523300666,0.16236069169178002,0.0,0.0
15.0,30.0,25.2371779435873,0.09933648932347967,0.9087153989434242,1.0,0.0,0.0,0.0,20.0,25.38,224.5,hard,0.24080510479630354,0.16725714648422374,0.0,0.0
16.0,32.0,13.71364974975586,0.10086637460253814,0.9282924527287483,1.0,0.0,0.0,0.0,20.0,13.84,224.5,hard,0.2447176159469116,0.16963777762961854,0.0,0.0
17.0,34.0,25.130574226379395,0.10373539327392185,0.9626214555203915,1.0,0.0,0.0,0.0,20.0,26.18,224.5,hard,0.2504494200582565,0.1756340148222384,0.0,0.0
18.0,36.0,19.248304934501647,0.10582247583560017,0.9982778197705745,1.0,0.0,0.0,0.0,20.0,19.34,224.5,hard,0.2550184355902412,0.17960928725707118,0.0,0.0
19.0,38.0,23.671751968860626,0.10828414945830103,1.0288565911233425,1.0,0.0,0.0,0.0,20.0,22.14,224.5,hard,0.2611370462891204,0.18361346369401496,0.0,0.0
20.0,40.0,29.430238246917725,0.11163329521858407,1.074554355818033,1.0,0.0,0.0,0.0,20.0,29.54,224.5,hard,0.26893927437960846,0.18955013489413874,0.0,0.0
21.0,42.0,173.1330690217018,0.13020334346495813,1.234603718060255,1.64,0.64,0.0,0.64,20.0,158.74,224.5,hard,0.27586561740966525,0.22164472780308625,0.035189507241237435,0.0
22.0,44.0,104.56751671213657,0.14169588486495993,1.3190885333299638,1.78,0.78,0.0,0.78,20.0,99.88,224.5,hard,0.2818923150041282,0.24379522234118103,0.053076081928305846,0.0
23.0,46.0,74.39738019883633,0.14990103757107368,1.387340310168266,1.86,0.86,0.0,0.86,20.0,71.22,224.5,hard,0.2854687341769908,0.26006420517290624,0.06608752376177254,0.0
24.0,48.0,90.04521236419677,0.15945498333519337,1.4605640155673023,1.94,0.94,0.0,0.94,20.0,84.1,224.5,hard,0.29204641725164626,0.2777564829150832,0.08020714448955152,0.0
25.0,50.0,91.39702399253845,0.16905473285999698,1.5305413229823108,1.96,0.96,0.0,0.96,20.0,84.78,224.5,hard,0.30087034658451417,0.2950844586182428,0.09270319490927789,0.0
26.0,52.0,61.484289224147794,0.17597575879804928,1.5864213129281994,1.96,0.96,0.0,0.96,20.0,60.32,224.5,hard,0.3065901516289599,0.30736113594681447,0.10255184863954242,0.0
