step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1.0,2.0,73.4661038017273,0.042459705210681944,0.16948526210784912,1.0,0.0,0.0,0.0,20.0,73.94,224.5,hard,0.1107918735298598,0.06401219509207777,0.0,0.0
2.0,4.0,53.322730329036716,0.04819251990595854,0.23226691330671312,1.0,0.0,0.0,0.0,20.0,54.4,224.5,hard,0.12488141402001231,0.07347836362463578,0.0,0.0
3.0,6.0,30.535173119306563,0.051665665861626194,0.29087596162557605,1.0,0.0,0.0,0.0,20.0,31.6,224.5,hard,0.13390946430596795,0.07874623899218867,0.0,0.0
4.0,8.0,44.15076029620599,0.0565055100819265,0.3582701122879982,1.0,0.0,0.0,0.0,20.0,44.1,224.5,hard,0.14571383859269882,0.08682329299370593,0.0,0.0
5.0,10.0,41.915344263911244,0.061153228956874875,0.42283449900150294,1.0,0.0,0.0,0.0,20.0,42.64,224.5,hard,0.15697302961685589,0.0946639317366653,0.0,0.0
6.0,12.0,33.91611065328121,0.06493488292211916,0.48140840644836425,1.0,0.0,0.0,0.0,20.0,34.38,224.5,hard,0.16591931888596637,0.10123726473005089,0.0,0.0
7.0,14.0,33.19775521695614,0.06868315399365846,0.5381568040132523,1.0,0.0,0.0,0.0,20.0,33.3,224.5,hard,0.174826779770105,0.107714442089013,0.0,0.0
8.0,16.0,41.585114676952365,0.07330250333311984,0.6049370110511779,1.0,0.0,0.0,0.0,20.0,42.08,224.5,hard,0.18547740887407715,0.1160161866541957,0.0,0.0
9.0,18.0,39.462987809181215,0.0776240103448727,0.6667781152248382,1.0,0.0,0.0,0.0,20.0,39.96,224.5,hard,0.1962883204745811,0.12297174922064047,0.0,0.0
10.0,20.0,42.68216631174087,0.08224497941081017,0.7375946363806725,1.0,0.0,0.0,0.0,20.0,42.66,224.5,hard,0.20798062737486409,0.13027445866994453,0.0,0.0
11.0,22.0,44.9276782989502,0.08727639861720013,0.800795294511318,1.0,0.0,0.0,0.0,20.0,45.96,224.5,hard,0.2196994613731665,0.13920166156714722,0.0,0.0
12.0,24.0,46.36479043960571,0.09243247619169184,0.8700366735816002,1.0,0.0,0.0,0.0,20.0,47.4,224.5,hard,0.2311855498334393,0.1488481027714429,0.0,0.0
13.0,26.0,34.48535208791495,0.09633197174363435,0.9320431079745292,1.0,0.0,0.0,0.0,20.0,35.42,224.5,hard,0.24103156242904789,0.1550384572875705,0.0,0.0
14.0,28.0,32.54836901605129,0.09999077985414634,0.9878922334551811,1.0,0.0,0.0,0.0,20.0,33.56,224.5,hard,0.24966962929027134,0.1614179135095422,0.0,0.0
15.0,30.0,36.16164792776108,0.10398020258563227,1.0430318828225136,1.0,0.0,0.0,0.0,20.0,36.22,224.5,hard,0.2586432358908062,0.1688006003037057,0.0,0.0
16.0,32.0,28.213120707273482,0.10716088877502652,1.0933894653499125,1.0,0.0,0.0,0.0,20.0,28.66,224.5,hard,0.2648019968906948,0.17563548324927503,0.0,0.0
17.0,34.0,37.35917425751686,0.11097878283765836,1.1498929873168469,1.0,0.0,0.0,0.0,20.0,34.96,224.5,hard,0.27344767764706146,0.18263757077120676,0.0,0.0
18.0,36.0,41.84233059644699,0.11542334610733943,1.2125792431771756,1.0,0.0,0.0,0.0,20.0,39.78,224.5,hard,0.2841153430064949,0.19022142187098626,0.0,0.0
19.0,38.0,44.932129998207095,0.11995713128759719,1.2738613308608533,1.0,0.0,0.0,0.0,20.0,40.72,224.5,hard,0.29488749897427424,0.19806037029397175,0.0,0.0
20.0,40.0,47.88314457833767,0.12514695633788028,1.3422070378005504,1.0,0.0,0.0,0.0,20.0,46.04,224.5,hard,0.3070936920656606,0.20715904960790069,0.0,0.0
21.0,42.0,187.96079066753387,0.14478625582550791,1.5246609584987167,1.8,0.8,0.0,0.8,20.0,168.56,224.5,hard,0.3124223408674067,0.24114731592794725,0.03911161374464024,0.0
22.0,44.0,93.44390373706818,0.15505641813700646,1.60954211358428,1.9,0.9,0.0,0.9,20.0,89.74,224.5,hard,0.3165580151074839,0.2626364141066493,0.05458080357134778,0.0
23.0,46.0,74.37130527019501,0.16322225019183306,1.6800172113835812,1.94,0.94,0.0,0.94,20.0,72.56,224.5,hard,0.32078911680164196,0.2798058766254598,0.06589628958957966,0.0
24.0,48.0,69.50177757501602,0.1705514775340326,1.758998080843687,1.98,0.98,0.0,0.98,20.0,65.96,224.5,hard,0.3255796403108181,0.29419326042712585,0.07613354112156406,0.0
25.0,50.0,61.082808290421966,0.17659699576982896,1.82057137646079,1.98,0.98,0.0,0.98,20.0,54.96,224.5,hard,0.3307371870390348,0.30612137115522314,0.08338057790080074,0.0
26.0,52.0,73.10074598312377,0.18411953626633057,1.8897602113068102,1.98,0.98,0.0,0.98,20.0,66.46,224.5,hard,0.33806759026010963,0.31965800287031204,0.0928372870434217,0.0
27.0,54.0,65.02349953711033,0.1910877467244837,1.9531899890780446,1.98,0.98,0.0,0.98,20.0,61.46,224.5,hard,0.3447365376732096,0.3324804870386241,0.10144248598563615,0.0
28.0,56.0,67.02844735622406,0.19782591992511459,2.021403994834423,1.98,0.98,0.0,0.98,20.0,60.92,224.5,hard,0.3522688527734541,0.34331673226473336,0.11028059337432872,0.0
29.0,58.0,67.99477807283401,0.20487964206111112,2.0901569482922553,1.98,0.98,0.0,0.98,20.0,64.32,224.5,hard,0.36060714130375204,0.3540502043628071,0.11969180703539548,0.0
30.0,60.0,70.18032700896264,0.21188549401225604,2.157252364206314,1.98,0.98,0.0,0.98,20.0,62.72,224.5,hard,0.368610062422253,0.3653327950777484,0.12869357282002525,0.0
31.0,62.0,62.63487025022507,0.218469133348522,2.2241780415296555,1.98,0.98,0.0,0.98,20.0,59.62,224.5,hard,0.3753120025786393,0.37696222454940903,0.1368947325110282,0.0
32.0,64.0,75.74725377991795,0.22654858686278456,2.295240240818262,1.98,0.98,0.0,0.98,20.0,72.74,224.5,hard,0.384486550516808,0.3908899253685383,0.1464290493555268,0.0
33.0,66.0,86.41466165304183,0.23599799331672547,2.3698656259119506,1.98,0.98,0.0,0.98,20.0,81.58,224.5,hard,0.39444265535470846,0.4083209573953729,0.1571694592229758,0.0
34.0,68.0,69.42892144680023,0.24342489504849804,2.433178402525186,1.98,0.98,0.0,0.98,20.0,66.32,224.5,hard,0.4032684132375458,0.42083070055310956,0.16584668694561183,0.0
35.0,70.0,70.82464612483979,0.2514998791618969,2.5118263565599914,1.98,0.98,0.0,0.98,20.0,71.58,224.5,hard,0.4112855281090153,0.4359061891436016,0.17531350214783165,0.0
36.0,72.0,66.9321882623434,0.259062358006819,2.5830959482729434,1.98,0.98,0.0,0.98,20.0,67.18,224.5,hard,0.4201580818913912,0.4480558363774561,0.1848447616084219,0.0
37.0,74.0,67.4942690037191,0.2667760424386027,2.6578888288438316,1.98,0.98,0.0,0.98,20.0,68.52,224.5,hard,0.42735622754603403,0.4617545593183662,0.19501542572355463,0.0
38.0,76.0,71.13448283553123,0.2748019976902944,2.728894883793592,1.98,0.98,0.0,0.98,20.0,71.32,224.5,hard,0.4369189903233394,0.47436052106551796,0.2052570092367594,0.0
39.0,78.0,70.36886084556579,0.2822329924422619,2.804258791089058,1.98,0.98,0.0,0.98,20.0,67.54,224.5,hard,0.4459123833922834,0.48539375201545865,0.21524690822156725,0.0
40.0,80.0,61.639032086730005,0.2889850933563811,2.8769503250122073,1.98,0.98,0.0,0.98,20.0,61.2,224.5,hard,0.4533031507414399,0.4960395375672401,0.2244488104178815,0.0
41.0,82.0,49.54083487272263,0.29418798299058163,2.940118805396557,1.98,0.98,0.0,0.98,20.0,47.88,224.5,hard,0.4597776210212019,0.5036823372092689,0.23134606462017146,0.0
42.0,84.0,139.96351498365402,0.3090774009931882,3.0928207693815226,2.46,1.46,0.0,1.62,20.0,127.34,224.5,hard,0.4636956486643306,0.5073373709144022,0.254408700058667,0.02786095224507715
43.0,86.0,96.42677429914474,0.31942147228495177,3.1813331381917003,2.52,1.52,0.0,1.84,20.0,90.86,224.5,hard,0.4685979151324136,0.5132427198191611,0.27071545034708827,0.0417140851369864
44.0,88.0,59.84375180721283,0.3259349129732839,3.2378303836107256,2.48,1.48,0.0,1.88,20.0,57.5,224.5,hard,0.4723821595138677,0.5183848390079548,0.280525741991617,0.04885803105530348
45.0,90.0,62.28615076839924,0.3326695232392282,3.292286770093441,2.52,1.52,0.0,1.96,20.0,59.7,224.5,hard,0.47402552193756486,0.5222144448878856,0.2911085024392866,0.05934073657406604
46.0,92.0,52.20054245948791,0.3381382487289112,3.335419747769832,2.54,1.54,0.0,1.98,20.0,48.66,224.5,hard,0.47556104821458056,0.5274182776785108,0.3007965838662951,0.0645731505278912
47.0,94.0,51.45980849504471,0.34347018328727286,3.373842074200511,2.54,1.54,0.0,1.98,20.0,47.38,224.5,hard,0.4763242712028654,0.5337504711402294,0.308707079912873,0.07063912972838852
48.0,96.0,57.128443747758865,0.3491687383387588,3.4199487595409153,2.54,1.54,0.0,1.98,20.0,52.46,224.5,hard,0.47679666386381764,0.5393254137636587,0.3173030165274802,0.07844740101814077
49.0,98.0,46.09032957315445,0.35359678933915345,3.462690772458911,2.54,1.54,0.0,1.98,20.0,40.28,224.5,hard,0.4772485150615536,0.54383402364235,0.32467921387388976,0.08359384090578448
50.0,100.0,47.91874903917313,0.3587652893534883,3.496606640639901,2.54,1.54,0.0,1.98,20.0,46.54,224.5,hard,0.47773296022690365,0.5486990998930993,0.33310465559270247,0.09020117167136445
51.0,102.0,55.716092836856845,0.36478561789705594,3.525627075949311,2.54,1.54,0.0,1.98,20.0,52.52,224.5,hard,0.47823892254815736,0.5546050302594318,0.34341815132220704,0.09722395147207628
52.0,104.0,45.44864121228456,0.3696674538672524,3.5485669961541895,2.54,1.54,0.0,1.98,20.0,45.1,224.5,hard,0.47885223951086153,0.5597557535608498,0.35081673176371875,0.1033211021407893
53.0,106.0,38.16198331952095,0.3739956994158879,3.5673807708904146,2.54,1.54,0.0,1.98,20.0,38.06,224.5,hard,0.4794657857090433,0.5642962482763894,0.35762800601472927,0.10845278135356634
54.0,108.0,54.43093772411346,0.380068779489188,3.588857768021524,2.54,1.54,0.0,1.98,20.0,51.76,224.5,hard,0.48070254955664643,0.5693703625082668,0.3689653768398006,0.11482477411014914
55.0,110.0,45.295138249397276,0.38546258533206734,3.608758043165505,2.54,1.54,0.0,1.98,20.0,46.56,224.5,hard,0.4810042736945775,0.5730060033989445,0.37904912591367074,0.12204194616967781
56.0,112.0,37.81761849522591,0.3896905869600815,3.623363204832375,2.54,1.54,0.0,1.98,20.0,36.46,224.5,hard,0.4816714730988509,0.5770431381359236,0.386167362400127,0.12692838221862124
57.0,114.0,35.68498881101608,0.3936082844692999,3.6423390248730776,2.54,1.54,0.0,1.98,20.0,35.84,224.5,hard,0.48228433951813054,0.5810449910558697,0.39195779986498197,0.13198953691844786
58.0,116.0,38.33596338510513,0.39786379996717913,3.656820145995915,2.54,1.54,0.0,1.98,20.0,37.74,224.5,hard,0.4823489946905443,0.5848129969885736,0.3988088451812481,0.1380474253271025
59.0,118.0,39.38438548646867,0.4019508124403998,3.673251623673737,2.54,1.54,0.0,1.98,20.0,37.44,224.5,hard,0.4824243679765701,0.588634091050994,0.4048763599864501,0.14415838024378774
60.0,120.0,36.03246525764465,0.4058246663760201,3.687200452156365,2.54,1.54,0.0,1.98,20.0,35.68,224.5,hard,0.4825962959014965,0.5931211017776716,0.4105997817637587,0.14905350725098113
61.0,122.0,33.368924543857574,0.40964492432753424,3.704484361357987,2.54,1.54,0.0,1.98,20.0,33.96,224.5,hard,0.4832643993497724,0.5966264450440454,0.4160640865410245,0.1544820506362519
62.0,124.0,38.25444201946259,0.4140173027934647,3.7153542324021465,2.54,1.54,0.0,1.98,20.0,39.34,224.5,hard,0.48382393457083617,0.6007179018046456,0.4227807711833688,0.16035294927282806
63.0,126.0,96.21177733182907,0.42405602918995816,3.753615536268055,2.82,1.82,0.0,2.5,20.0,85.9,224.5,hard,0.48970608091972423,0.6072804336678466,0.4307165897739027,0.17959570328196395
64.0,128.0,58.442029829025266,0.43035489143392425,3.774570811863244,3.0,2.0,0.0,2.72,20.0,55.4,224.5,hard,0.49225442057742486,0.6107191481854598,0.4348160907747096,0.1942322190074598
65.0,130.0,51.586435713768005,0.4358814082888997,3.7878881460532545,3.08,2.08,0.0,2.8,20.0,49.0,224.5,hard,0.4940279718192489,0.6144432686359899,0.4415318566442653,0.20375915579894954
66.0,132.0,46.37679524421692,0.44092518873130765,3.8098318963557483,3.18,2.18,0.0,2.9,20.0,44.04,224.5,hard,0.4951246096873283,0.6165333915420318,0.4473116788520559,0.2145584735550127
67.0,134.0,49.75259828805923,0.44594226504379564,3.822898114064336,3.22,2.22,0.0,2.94,20.0,44.04,224.5,hard,0.495652083507054,0.6181471970457848,0.45546292248893133,0.22390697044474145
