step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,146.75454711914062,0.05520686563340592,0.2272792148590088,1.0,0,0,0,20,147,234,hard,0.1521156936261382,0.07515337423312883,0.0,0.0
2,4.0,69.75171661376953,0.06186755475855002,0.24140691220760346,1.0,0,0,0,20,70,234,hard,0.17086234600964115,0.08384458077709611,0.0,0.0
3,6.0,52.393192291259766,0.0675035224798258,0.34082875430583953,1.0,0,0,0,20,52,234,hard,0.18425281199785754,0.09355828220858896,0.0,0.0
4,8.0,-1.2681657075881958,0.0675035224798258,0.34082875430583953,1.0,0,0,0,20,0,234,hard,0.18425281199785754,0.09355828220858896,0.0,0.0
5,10.0,35.38994216918945,0.06955296528756244,0.3508646631240845,1.0,0,0,0,20,30,234,hard,0.18800214247455813,0.09815950920245399,0.0,0.0
6,12.0,33.70437240600586,0.07313949020110158,0.47814387798309327,1.0,0,0,0,20,34,234,hard,0.19228709159078736,0.1083844580777096,0.0,0.0
7,14.0,58.902523040771484,0.07903163827334443,0.5683710289001465,1.0,0,0,0,20,54,234,hard,0.20139260846277451,0.12321063394683027,0.0,0.0
8,16.0,72.72779083251953,0.08646086845138978,0.6956502294540405,1.0,0,0,0,20,73,234,hard,0.2233529726834494,0.13190184049079753,0.0,0.0
9,18.0,-1.3391300439834595,0.08646086845138978,0.6956502294540405,1.0,0,0,0,20,0,234,hard,0.2233529726834494,0.13190184049079753,0.0,0.0
10,20.0,8.466947555541992,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,6,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
11,22.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
12,24.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
13,26.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
14,28.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
15,30.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
16,32.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
17,34.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
18,36.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
19,38.0,-1.3540385961532593,0.08710131932880748,0.7701928305625916,1.0,0,0,0,20,0,234,hard,0.22603106588109267,0.13190184049079753,0.0,0.0
20,40.0,33.64790344238281,0.09132829511976431,0.8601997327804566,1.0,0,0,0,20,35,234,hard,0.23942153186930906,0.1359918200408998,0.0,0.0
21,42.0,361.572509765625,0.13308569232739847,1.1374789476394653,2.0,1,0,1,20,340,234,hard,0.26245313336904125,0.22750511247443764,0.053007135575942915,0.0
22,44.0,253.55958557128906,0.16318688356603048,1.264758162498474,2.0,1,0,1,20,257,234,hard,0.2822710230316015,0.3016359918200409,0.0800203873598369,0.0
23,46.0,181.74615478515625,0.18457794287178172,1.390979356765747,2.0,1,0,1,20,187,234,hard,0.292447777182646,0.3456032719836401,0.11162079510703364,0.0
24,48.0,144.65997314453125,0.20110157550915844,1.5028747153282165,2.0,1,0,1,20,142,234,hard,0.2945902517407606,0.37934560327198363,0.14169215086646278,0.0
25,50.0,-1.5005749464035034,0.20110157550915844,1.5028747153282165,2.0,1,0,1,20,0,234,hard,0.2945902517407606,0.37934560327198363,0.14169215086646278,0.0
26,52.0,-1.5005749464035034,0.20110157550915844,1.5028747153282165,2.0,1,0,1,20,0,234,hard,0.2945902517407606,0.37934560327198363,0.14169215086646278,0.0
27,54.0,34.755950927734375,0.2053285513001153,1.6301539301872252,2.0,1,0,1,20,40,234,hard,0.2978039635779325,0.39263803680981596,0.14220183486238533,0.0
28,56.0,108.45475769042969,0.2110926091968746,1.7262135910987852,2.0,1,0,1,20,49,234,hard,0.30208891269416177,0.4023517382413088,0.15137614678899083,0.0
29,58.0,94.77562713623047,0.2222364544639426,1.8337046551704406,2.0,1,0,1,20,94,234,hard,0.30208891269416177,0.42280163599182,0.17533129459734964,0.0
30,60.0,144.40797424316406,0.23888817727680287,1.9601552891731262,2.0,1,0,1,20,145,234,hard,0.32404927691483665,0.4483640081799591,0.19520897043832824,0.0
31,62.0,184.51287841796875,0.2609196874599718,2.065721549987793,2.0,1,0,1,20,184,234,hard,0.3556507766470273,0.47955010224948874,0.2217125382262997,0.0
32,64.0,99.02757263183594,0.270910721147688,2.1560560393333437,2.0,1,0,1,20,103,234,hard,0.3679700053561864,0.49744376278118607,0.23190621814475026,0.0
33,66.0,68.90663146972656,0.27885231202766747,2.2584547042846683,2.0,1,0,1,20,72,234,hard,0.37600428494911625,0.5117586912065439,0.2415902140672783,0.0
34,68.0,12.328898429870605,0.28038939413346997,2.355509707927704,2.0,1,0,1,20,13,234,hard,0.37707552222817353,0.5168711656441718,0.2415902140672783,0.0
35,70.0,11.314806938171387,0.28154220571282185,2.4522558569908144,2.0,1,0,1,20,9,234,hard,0.3786823781467595,0.5184049079754601,0.24311926605504589,0.0
36,72.0,3.3738181591033936,0.28154220571282185,2.498817596435547,2.0,1,0,1,20,1,234,hard,0.3786823781467595,0.5184049079754601,0.24311926605504589,0.0
37,74.0,30.275314331054688,0.2852568208018445,2.623432240486145,2.0,1,0,1,20,31,234,hard,0.38671665773968933,0.5224948875255624,0.24617737003058104,0.0
38,76.0,85.07935333251953,0.29409504291020877,2.750711441040039,2.0,1,0,1,20,86,234,hard,0.3968934118907338,0.5311860940695297,0.26299694189602446,0.0
39,78.0,206.66217041015625,0.3110029460740361,2.8691730189323423,2.0,1,0,1,20,146,234,hard,0.4317086234600964,0.5449897750511248,0.28338430173292556,0.0
40,80.0,102.7945556640625,0.3217625208146535,2.9964522337913513,2.0,1,0,1,20,105,234,hard,0.45259775040171396,0.5480572597137015,0.30326197757390416,0.0
41,82.0,57.17544174194336,0.3273984885359293,3.122797110080719,2.0,1,0,1,20,58,234,hard,0.4627745045527584,0.5516359918200409,0.31243628950050967,0.0
42,84.0,148.12640380859375,0.3412322274881517,3.3680046653747557,3.0,2,0,2,20,127,234,hard,0.4627745045527584,0.5521472392638037,0.33893985728848114,0.027200791295746787
43,86.0,80.85066986083984,0.35032662994748304,3.4580046367645263,3.0,2,0,2,20,80,234,hard,0.4627745045527584,0.5531697341513292,0.35728848114169215,0.043521266073194856
44,88.0,59.09040069580078,0.35570641731779173,3.548004636764526,3.0,2,0,2,20,60,234,hard,0.4627745045527584,0.5552147239263804,0.36493374108053006,0.05489614243323442
45,90.0,31.892194747924805,0.35839631100294606,3.638004636764526,3.0,2,0,2,20,30,234,hard,0.4627745045527584,0.5572597137014315,0.36952089704383284,0.05885262116716122
46,92.0,-1.9276009798049927,0.35839631100294606,3.638004636764526,3.0,2,0,2,20,0,234,hard,0.4627745045527584,0.5572597137014315,0.36952089704383284,0.05885262116716122
47,94.0,216.3853759765625,0.3762008453951582,3.7209137630462643,3.0,2,0,2,20,152,234,hard,0.4627745045527584,0.5731083844580777,0.4031600407747197,0.07962413452027696
48,96.0,132.03781127929688,0.3918278468041501,3.810913763046264,3.0,2,0,2,20,133,234,hard,0.4627745045527584,0.5894683026584867,0.436289500509684,0.09198813056379822
