step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,77.76155090332031,0.048821331959294084,0.19224776268005372,1.0,0,0,0,20,78,213,hard,0.1181867242309768,0.08221993833504625,0.0,0.0
2,4.0,17.59684944152832,0.05165528790416076,0.2522506594657898,1.0,0,0,0,20,22,213,hard,0.12844036697247707,0.08376156217882837,0.0,0.0
3,6.0,-0.9496392011642456,0.05165528790416076,0.2627071261405945,1.0,0,0,0,20,0,213,hard,0.12844036697247707,0.08376156217882837,0.0,0.0
4,8.0,40.26597213745117,0.05629267035939714,0.3527071261405945,1.0,0,0,0,20,41,213,hard,0.14409066378845117,0.08735868448098665,0.0,0.0
5,10.0,18.7248477935791,0.058353729228391084,0.3757638812065125,1.0,0,0,0,20,19,213,hard,0.15056664867781974,0.08941418293936279,0.0,0.0
6,12.0,28.70684814453125,0.061960582249130494,0.46576388120651246,1.0,0,0,0,20,33,213,hard,0.15974096060442525,0.09506680369989723,0.0,0.0
7,14.0,-1.2931528091430664,0.061960582249130494,0.46576388120651246,1.0,0,0,0,20,0,213,hard,0.15974096060442525,0.09506680369989723,0.0,0.0
8,16.0,-1.2931528091430664,0.061960582249130494,0.46576388120651246,1.0,0,0,0,20,0,213,hard,0.15974096060442525,0.09506680369989723,0.0,0.0
9,18.0,100.73323059082031,0.07381167074584567,0.5557638812065124,1.0,0,0,0,20,98,213,hard,0.19050188882892607,0.1130524152106886,0.0,0.0
10,20.0,105.67084503173828,0.08579157542187299,0.645774381160736,1.0,0,0,0,20,106,213,hard,0.22126281705342687,0.131551901336074,0.0,0.0
11,22.0,19.300756454467773,0.08798145047017905,0.7390498661994933,1.0,0,0,0,20,22,213,hard,0.22935779816513763,0.13257965056526208,0.0,0.0
12,24.0,-1.874300241470337,0.08811026664949118,0.7686948400735855,1.0,0,0,0,20,1,213,hard,0.229897463572585,0.13257965056526208,0.0,0.0
13,26.0,-5.927120685577393,0.08811026664949118,0.8586948400735854,1.0,0,0,0,20,0,213,hard,0.229897463572585,0.13257965056526208,0.0,0.0
14,28.0,3.7875328063964844,0.0882390828288033,0.9492534619569778,1.0,0,0,0,20,2,213,hard,0.229897463572585,0.13309352517985612,0.0,0.0
