step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,132.75741577148438,0.05658686467801818,0.21291885375976563,1.0,0,0,0,20,133,233,hard,0.1420086393088553,0.09114052953156823,0.0,0.0
2,4.0,105.28374481201172,0.06798105236205351,0.2984471321105957,1.0,0,0,0,20,104,233,hard,0.17386609071274298,0.10641547861507128,0.0,0.0
3,6.0,26.67057991027832,0.07143771604147997,0.3891021418571472,1.0,0,0,0,20,30,233,hard,0.183585313174946,0.1109979633401222,0.0,0.0
4,8.0,113.528564453125,0.08475227243630777,0.5163813567161559,1.0,0,0,0,20,116,233,hard,0.2159827213822894,0.1334012219959267,0.0,0.0
5,10.0,93.67425537109375,0.09601843553962361,0.6287081503868102,1.0,0,0,0,20,94,233,hard,0.23542116630669546,0.159877800407332,0.0,0.0
6,12.0,80.65693664550781,0.10498015618998847,0.7153067231178283,1.0,0,0,0,20,81,233,hard,0.2548596112311015,0.17718940936863545,0.0,0.0
7,14.0,78.09548950195312,0.11291768019459736,0.842585937976837,1.0,0,0,0,20,74,233,hard,0.2737580993520518,0.1909368635437882,0.0,0.0
8,16.0,86.1750259399414,0.12213545000640123,0.9328672480583189,1.0,0,0,0,20,84,233,hard,0.291036717062635,0.21130346232179226,0.0,0.0
9,18.0,90.58863830566406,0.13301753936755858,1.0568043589591978,1.0,0,0,0,20,91,233,hard,0.3169546436285097,0.23014256619144602,0.0,0.0
10,20.0,-1.4113608598709106,0.13301753936755858,1.0568043589591978,1.0,0,0,0,20,0,233,hard,0.3169546436285097,0.23014256619144602,0.0,0.0
11,22.0,-1.4113608598709106,0.13301753936755858,1.0568043589591978,1.0,0,0,0,20,0,233,hard,0.3169546436285097,0.23014256619144602,0.0,0.0
12,24.0,182.5635223388672,0.15414159518627576,1.1823748421669005,1.0,0,0,0,20,183,233,hard,0.37257019438444927,0.26171079429735233,0.0,0.0
13,26.0,58.54509735107422,0.16028677506081168,1.2745199942588805,1.0,0,0,0,20,59,233,hard,0.3930885529157667,0.2668024439918534,0.0,0.0
14,28.0,132.21910095214844,0.16899244654973755,1.4017992091178892,1.0,0,0,0,20,78,233,hard,0.41414686825054,0.2815682281059063,0.0,0.0
15,30.0,65.04842376708984,0.17616182307002945,1.529078423976898,1.0,0,0,0,20,64,233,hard,0.4325053995680346,0.29276985743380857,0.0,0.0
16,32.0,13.49151611328125,0.17769811803866342,1.542420727610588,1.0,0,0,0,20,14,233,hard,0.43844492440604754,0.29327902240325865,0.0,0.0
17,34.0,-0.5049101114273071,0.1780821917808219,1.5762015694379805,1.0,0,0,0,20,4,233,hard,0.4400647948164147,0.29327902240325865,0.0,0.0
18,36.0,-1.2318583726882935,0.1780821917808219,1.5884492081403732,1.0,0,0,0,20,0,233,hard,0.4400647948164147,0.29327902240325865,0.0,0.0
19,38.0,2.3220717906951904,0.1780821917808219,1.6379454773664475,1.0,0,0,0,20,0,233,hard,0.4400647948164147,0.29327902240325865,0.0,0.0
20,40.0,41.454410552978516,0.18269107668672385,1.7279454773664475,1.0,0,0,0,20,42,233,hard,0.4524838012958963,0.29989816700611,0.0,0.0
21,42.0,182.4217529296875,0.20189476379464857,1.8911992806196214,2.0,1,0,1,20,161,233,hard,0.4524838012958963,0.3319755600814664,0.0441400304414003,0.0
22,44.0,89.31478881835938,0.2126488285750864,1.9880182999372484,2.0,1,0,1,20,95,233,hard,0.4524838012958963,0.35234215885947046,0.06646372399797057,0.0
23,46.0,24.4637393951416,0.2152093201894764,2.0298132997751237,2.0,1,0,1,20,24,233,hard,0.4524838012958963,0.3579429735234216,0.07102993404363267,0.0
24,48.0,34.37134552001953,0.21879400844962232,2.1432804828882217,2.0,1,0,1,20,35,233,hard,0.4524838012958963,0.36761710794297353,0.07559614408929477,0.0
25,50.0,66.31233978271484,0.2271156061963897,2.235969358086586,2.0,1,0,1,20,69,233,hard,0.45464362850971923,0.3844195519348269,0.0898021308980213,0.0
26,52.0,164.89781188964844,0.23774164639610806,2.3262307268381117,2.0,1,0,1,20,101,233,hard,0.45734341252699784,0.40682281059063136,0.10705225773718924,0.0
27,54.0,96.918701171875,0.2482396620151069,2.417891100049019,2.0,1,0,1,20,100,233,hard,0.46436285097192226,0.4271894093686354,0.121765601217656,0.0
28,56.0,19.30279541015625,0.2497759569837409,2.486020174622536,2.0,1,0,1,20,20,233,hard,0.46490280777537796,0.43126272912423624,0.1232876712328767,0.0
29,58.0,59.036685943603516,0.25566508769683777,2.582792065739632,2.0,1,0,1,20,58,233,hard,0.4719222462203024,0.439918533604888,0.13140537798072044,0.0
30,60.0,28.267044067382812,0.25886570221482524,2.6647828537225724,2.0,1,0,1,20,29,233,hard,0.47786177105831534,0.4414460285132383,0.136986301369863,0.0
31,62.0,14.179669380187988,0.2600179234413007,2.753351612687111,2.0,1,0,1,20,18,233,hard,0.47840172786177104,0.445010183299389,0.13749365804160324,0.0
32,64.0,3.8265552520751953,0.2605300217641787,2.847121739983559,2.0,1,0,1,20,4,233,hard,0.47840172786177104,0.4470468431771894,0.13749365804160324,0.0
33,66.0,100.20581817626953,0.27243630777109207,2.970922265648842,2.0,1,0,1,20,101,233,hard,0.49406047516198703,0.464867617107943,0.15220700152207,0.0
34,68.0,-1.7941844463348389,0.27243630777109207,2.970922265648842,2.0,1,0,1,20,0,233,hard,0.49406047516198703,0.464867617107943,0.15220700152207,0.0
35,70.0,156.18035888671875,0.28818333119959033,3.098201480507851,2.0,1,0,1,20,157,233,hard,0.5188984881209503,0.48268839103869654,0.1735159817351598,0.0
36,72.0,73.16102600097656,0.2957367814620407,3.194860575795174,2.0,1,0,1,20,74,233,hard,0.5286177105831533,0.4943991853360489,0.182648401826484,0.0
37,74.0,17.139925003051758,0.2979131993342722,3.3003734642267233,2.0,1,0,1,20,18,233,hard,0.5307775377969762,0.4989816700610998,0.18467782851344494,0.0
38,76.0,28.1214599609375,0.30124183843297914,3.3926994401216515,2.0,1,0,1,20,29,233,hard,0.5361771058315334,0.5020366598778004,0.18975139523084728,0.0
39,78.0,51.61963653564453,0.30789911663039304,3.4826994401216513,2.0,1,0,1,20,56,233,hard,0.5458963282937365,0.5101832993890021,0.19888381532217148,0.0
40,80.0,46.362178802490234,0.31237997695557546,3.5516376549005515,2.0,1,0,1,20,45,233,hard,0.5523758099352052,0.515274949083503,0.2054794520547945,0.0
