step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.2200000286102295,0.035288079045297065,0.1,1.0,0,0,0,20,0,214,hard,0.08958445763626552,0.055926115956900974,0.0,0.0
2,4.0,-1.2200000286102295,0.035288079045297065,0.1,1.0,0,0,0,20,0,214,hard,0.08958445763626552,0.055926115956900974,0.0,0.0
3,6.0,-1.2200000286102295,0.035288079045297065,0.1,1.0,0,0,0,20,0,214,hard,0.08958445763626552,0.055926115956900974,0.0,0.0
4,8.0,56.22960662841797,0.042089054279481584,0.19615635633468628,1.0,0,0,0,20,62,214,hard,0.11063140852671344,0.06310928681375064,0.0,0.0
5,10.0,-1.2392312288284302,0.042089054279481584,0.19615635633468628,1.0,0,0,0,20,0,214,hard,0.11063140852671344,0.06310928681375064,0.0,0.0
6,12.0,51.08366012573242,0.04696522520210445,0.29251416444778444,1.0,0,0,0,20,54,214,hard,0.13113869400971398,0.06310928681375064,0.0,0.0
7,14.0,122.19776916503906,0.06082381624534839,0.38984217405319216,1.0,0,0,0,20,118,214,hard,0.15380464112250405,0.0969728065674705,0.0,0.0
8,16.0,171.81661987304688,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,168,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
9,18.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
10,20.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
11,22.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
12,24.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
13,26.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
14,28.0,-1.2996419668197632,0.08020017964840241,0.49820981979370116,1.0,0,0,0,20,0,214,hard,0.20561252023745277,0.12519240636223705,0.0,0.0
15,30.0,83.55683135986328,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,88,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
16,32.0,-1.3179984092712402,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,0,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
17,34.0,-1.3179984092712402,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,0,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
18,36.0,-1.3179984092712402,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,0,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
19,38.0,-1.3179984092712402,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,0,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
20,40.0,-1.3179984092712402,0.08931092005646092,0.5899917578697205,1.0,0,0,0,20,0,214,hard,0.22935779816513763,0.13904566444330427,0.0,0.0
21,42.0,185.65200805664062,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,165,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
22,44.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
23,46.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
24,48.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
25,50.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
26,52.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
27,54.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
28,56.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
29,58.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
30,60.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
31,62.0,-1.3479983806610107,0.10791736173489029,0.7399917578697205,2.0,1,0,1,20,0,214,hard,0.22935779816513763,0.16880451513596717,0.04398382204246714,0.0
