step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,-1.2200000286102295,0.027663934426229508,0.1,1.0,0,0,0,20,0,244,hard,0.08034279592929834,0.033776867963152504,0.0,0.0
2,4.0,139.31622314453125,0.044825819672131145,0.19,1.0,0,0,0,20,144,244,hard,0.1280128548473487,0.05680655066530194,0.0,0.0
3,6.0,77.28278350830078,0.053790983606557374,0.28,1.0,0,0,0,20,82,244,hard,0.1521156936261382,0.06960081883316274,0.0,0.0
4,8.0,53.64259719848633,0.06006659836065574,0.30242347300052647,1.0,0,0,0,20,56,244,hard,0.16818425281199786,0.07932446264073695,0.0,0.0
5,10.0,93.11643981933594,0.0705686475409836,0.42970268785953525,1.0,0,0,0,20,88,244,hard,0.1821103374397429,0.10798362333674513,0.0,0.0
6,12.0,75.69532775878906,0.0782530737704918,0.5233469516038896,1.0,0,0,0,20,76,244,hard,0.19603642206748795,0.1253838280450358,0.0,0.0
7,14.0,72.67536926269531,0.08657786885245902,0.6231484442949295,1.0,0,0,0,20,73,244,hard,0.21049812533476164,0.14483111566018425,0.0,0.0
8,16.0,113.34539794921875,0.09823258196721311,0.7504276591539383,1.0,0,0,0,20,109,244,hard,0.23245848955543652,0.17041965199590584,0.0,0.0
9,18.0,117.70550537109375,0.11052766393442623,0.8552747374773025,1.0,0,0,0,20,118,244,hard,0.2662024638457418,0.18730808597748208,0.0,0.0
10,20.0,68.60616302490234,0.11834016393442623,0.9691815096139907,1.0,0,0,0,20,69,244,hard,0.2870915907873594,0.1985670419651996,0.0,0.0
11,22.0,44.653446197509766,0.12397540983606557,1.0796004515886306,1.0,0,0,0,20,46,244,hard,0.30208891269416177,0.2067553735926305,0.0,0.0
12,24.0,83.07942199707031,0.1323002049180328,1.1821455508470535,1.0,0,0,0,20,78,244,hard,0.3229780396357793,0.22006141248720573,0.0,0.0
13,26.0,48.04541778564453,0.13806352459016394,1.281514464020729,1.0,0,0,0,20,51,244,hard,0.3395822174611676,0.22722620266120777,0.0,0.0
14,28.0,77.70405578613281,0.14587602459016394,1.3848206740617752,1.0,0,0,0,20,74,244,hard,0.3588644884841993,0.24002047082906858,0.0,0.0
15,30.0,112.6622085571289,0.15791495901639344,1.512099888920784,1.0,0,0,0,20,113,244,hard,0.38189608998393143,0.2661207778915046,0.0,0.0
