step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
1,1776109135.40096,0.1135,1100,9688,0.029697,0.297,-0.138,1.225,0,-1,0,0,0,itpf_h-45
2,1776109137.5736444,0.111,1113,10024,0.032157,0.55,-0.361,1.174,0,-1,0,0,13,itpf_h-45
3,1776109139.7471979,0.1218,1291,10602,0.035928,0.763,-0.563,1.14,0,-1,0,0,178,itpf_h-45
4,1776109141.92084,0.1325,1443,10887,0.039953,1.007,-0.775,1.183,0,-1,0,0,152,itpf_h-45
5,1776109144.0653117,0.145,1640,11310,0.042755,1.331,-1.01,1.198,0,-1,0,0,197,itpf_h-45
6,1776109146.2490437,0.1498,1759,11741,0.045708,1.265,-1.131,1.208,0,-1,0,0,119,itpf_h-158
7,1776109148.4175618,0.1556,1827,11741,0.04983,0.97,-1.256,1.224,0,-1,0,0,68,itpf_h-158
8,1776109150.5777524,0.1571,1845,11741,0.052036,1.035,-1.383,1.168,0,-1,0,0,18,itpf_h-22
9,1776109152.7247467,0.1571,1845,11741,0.052036,1.376,-1.536,1.207,0,-1,0,0,0,itpf_h-22
10,1776109154.8836563,0.1588,1865,11741,0.055874,1.433,-1.516,1.263,0,-1,0,0,20,itpf_h135
11,1776109157.0223267,0.1592,1869,11741,0.059344,1.148,-1.261,1.252,0,-1,0,0,4,itpf_h135
12,1776109159.226012,0.1633,1917,11741,0.065016,0.991,-1.27,1.282,0,-1,0,0,48,itpf_h-158
13,1776109161.3794448,0.164,1925,11741,0.06885,0.691,-1.449,1.198,0,-1,0,0,8,itpf_h-158
14,1776109163.5208151,0.164,1925,11741,0.06885,0.386,-1.586,1.226,0,-1,0,0,0,itpf_h-158
15,1776109165.6661842,0.1593,1974,12390,0.071118,0.349,-1.507,1.263,0,-1,0,0,49,itpf_h45
16,1776109167.8579726,0.1594,1975,12390,0.074214,0.684,-1.306,1.256,0,-1,0,0,1,itpf_h45
17,1776109170.0178573,0.1596,1977,12390,0.078172,0.626,-1.339,1.242,0,-1,0,0,2,itpf_h-158
18,1776109172.1632352,0.1598,1980,12390,0.081537,0.277,-1.518,1.223,0,-1,0,0,3,itpf_h-158
19,1776109174.2988017,0.1599,1981,12390,0.08453,0.284,-1.436,1.214,0,-1,0,0,1,itpf_h45
20,1776109176.4630032,0.1599,1981,12390,0.08453,0.644,-1.225,1.235,0,-1,0,0,0,itpf_h45
21,1776109178.6166537,0.16,1983,12390,0.190362,0.629,-1.221,1.291,0,-1,0,0,2,itpf_h-158
22,1776109180.770119,0.1604,1987,12390,0.193229,0.264,-1.379,1.258,0,-1,0,0,4,itpf_h-158
23,1776109182.9052067,0.1604,1987,12390,0.193229,0.025,-1.532,1.278,0,-1,0,0,0,itpf_h-158
24,1776109185.0803385,0.1513,2017,13334,0.196944,0.006,-1.487,1.29,0,-1,0,0,30,itpf_h45
25,1776109187.2287676,0.1513,2018,13334,0.204147,0.34,-1.233,1.246,0,-1,0,0,1,itpf_h45
26,1776109189.3974502,0.1511,2015,13334,0.193971,0.506,-1.2,1.295,0,-1,1,0,0,itpf_h-22
27,1776109191.544288,0.1512,2016,13334,0.199155,0.792,-1.281,1.313,0,-1,1,0,1,itpf_h-22
28,1776109193.683301,0.1523,2031,13334,0.216441,0.774,-1.391,1.359,0,-1,2,0,15,itpf_h-158
29,1776109195.8518827,0.1523,2031,13334,0.216441,0.447,-1.537,1.366,0,-1,2,0,0,itpf_h-158
30,1776109198.0152152,0.1528,2037,13334,0.230581,0.454,-1.487,1.371,0,-1,3,0,6,itpf_h45
31,1776109200.0204973,0.153,2040,13334,0.223068,0.536,-1.22,1.362,0,-1,4,0,3,perturb
32,1776109202.0248663,0.153,2040,13334,0.213373,0.372,-1.297,1.376,0,-1,4,0,0,perturb
33,1776109204.0391607,0.1538,2051,13334,0.236984,0.553,-1.392,1.37,0,-1,5,0,11,perturb
