step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
1,1776030131.4015627,0.1004,1070,10659,0.078604,-0.04,0.104,1.13,0,-1,0,0,0,
2,1776030133.405852,0.1004,1070,10659,0.080349,-0.125,0.309,1.162,0,-1,0,0,0,
3,1776030135.4100943,0.1286,1395,10846,0.083288,-0.305,0.211,1.14,12,1.762,0,0,325,
4,1776030137.4163575,0.1327,1439,10846,0.086479,-0.424,0.227,1.144,12,1.883,0,0,44,
5,1776030139.4246001,0.1327,1439,10846,0.086479,-0.456,0.298,1.157,12,1.928,0,0,0,
6,1776030141.4317718,0.1327,1439,10846,0.090308,-0.41,0.058,1.131,12,1.844,0,0,0,
7,1776030143.4364848,0.1327,1439,10846,0.092235,-0.149,0.156,1.166,12,1.599,0,0,0,
8,1776030145.448238,0.1327,1439,10846,0.093936,-0.059,0.272,1.152,12,1.536,0,0,0,
9,1776030147.4539356,0.1344,1458,10846,0.102835,0.071,0.148,1.215,15,1.372,0,0,19,
10,1776030149.4579237,0.1365,1481,10846,0.103771,-0.021,0.249,1.165,15,1.481,0,0,23,
11,1776030151.4648805,0.1467,1591,10846,0.108646,-0.05,0.487,1.197,13,1.325,0,0,110,
12,1776030153.470213,0.1511,1667,11033,0.111915,-0.339,0.55,1.238,7,2.048,0,0,76,
13,1776030155.4763646,0.1586,1750,11033,0.114882,-0.415,0.667,1.23,5,2.402,0,0,83,
14,1776030157.4826965,0.1638,1807,11033,0.139807,-0.345,0.787,1.241,2,2.612,0,0,57,
15,1776030159.4889545,0.1652,1823,11033,0.144848,-0.47,0.631,1.258,2,2.698,0,0,16,
16,1776030161.4972296,0.1638,1807,11033,0.126928,-0.511,0.799,1.245,6,2.253,1,0,0,
17,1776030163.5042927,0.1642,1812,11033,0.130346,-0.376,0.879,1.238,7,1.806,1,0,5,
18,1776030165.5099237,0.1645,1815,11033,0.143887,-0.277,0.724,1.246,7,1.639,1,0,3,
19,1776030167.5186305,0.1655,1826,11033,0.142013,-0.357,0.675,1.253,5,1.684,1,0,11,
20,1776030169.52926,0.1655,1826,11033,0.118676,-0.364,0.43,1.268,5,1.589,1,0,0,
21,1776030171.5364518,0.165,1820,11033,0.109536,-0.189,0.257,1.243,4,1.377,2,0,0,
22,1776030173.544318,0.165,1820,11033,0.11116,0.018,0.38,1.204,4,1.223,2,0,0,
23,1776030175.5606992,0.165,1820,11033,0.116497,-0.101,0.635,1.215,4,1.447,2,0,0,
24,1776030177.5702474,0.1651,1822,11033,0.120468,-0.059,0.62,1.188,4,1.424,2,0,2,
25,1776030179.5780904,0.1651,1822,11033,0.119786,0.063,0.605,1.191,4,1.315,2,0,0,
26,1776030181.5871084,0.1654,1825,11033,0.127822,0.023,0.641,1.146,4,1.369,2,0,3,
27,1776030183.5917957,0.1654,1825,11033,0.124247,0.02,0.857,1.182,4,1.507,2,0,0,
28,1776030185.6030247,0.1651,1821,11033,0.139635,0.087,1.137,1.187,4,1.632,3,0,0,
29,1776030187.6089485,0.1672,1845,11033,0.158159,0.201,1.245,1.181,4,1.65,4,0,24,
30,1776030189.6152587,0.1712,1889,11033,0.156493,0.25,1.194,1.197,6,1.579,4,0,44,
31,1776030191.620502,0.1712,1889,11033,0.156493,0.227,1.201,1.153,6,1.598,4,0,0,
32,1776030193.6258569,0.172,1898,11033,0.15666,0.38,1.289,1.184,5,1.593,4,0,9,
33,1776030195.6311052,0.1837,2027,11033,0.175879,0.542,1.394,1.188,8,1.62,4,0,129,
34,1776030197.637308,0.1837,2027,11033,0.175879,0.65,1.499,1.206,8,1.683,4,0,0,
35,1776030199.6456926,0.1921,2154,11210,0.199649,0.68,1.506,1.224,15,1.682,4,0,127,
36,1776030201.6552105,0.1921,2154,11210,0.199649,0.556,1.467,1.148,15,1.683,4,0,0,
37,1776030203.6616213,0.1951,2187,11210,0.201795,0.486,1.458,1.146,14,1.701,4,0,33,
38,1776030205.668756,0.1951,2187,11210,0.201795,0.411,1.534,1.14,14,1.8,4,0,0,
39,1776030207.6756952,0.2055,2304,11210,0.203931,0.403,1.433,1.137,15,1.724,4,0,117,
40,1776030209.6901774,0.2068,2318,11210,0.207426,0.504,1.393,1.158,16,1.652,4,0,14,
41,1776030211.6985054,0.2068,2318,11210,0.207426,0.617,1.571,1.221,16,1.793,4,0,0,
42,1776030213.707717,0.2091,2344,11210,0.211914,0.627,1.73,1.197,16,1.946,4,0,26,
43,1776030215.7203894,0.2166,2428,11210,0.214616,0.609,1.741,1.194,13,1.924,4,0,84,
44,1776030217.7300391,0.2232,2502,11210,0.216436,0.554,1.761,1.195,11,2.321,4,0,74,
45,1776030219.740184,0.2232,2502,11210,0.216436,0.51,1.793,1.228,11,2.374,4,0,0,
46,1776030221.7523723,0.2519,2872,11400,0.220886,0.363,1.598,1.239,17,1.797,4,0,370,
47,1776030223.7640648,0.256,2964,11580,0.225606,0.373,1.516,1.248,18,1.792,4,0,92,
48,1776030225.7869174,0.2576,2983,11580,0.235783,0.484,1.447,1.306,17,1.698,4,0,19,
49,1776030227.7952302,0.2576,2983,11580,0.235783,0.488,1.285,1.286,17,1.54,4,0,0,
50,1776030229.8065383,0.2662,3098,11640,0.20471,0.458,1.197,1.305,18,2.037,4,0,115,
51,1776030231.818281,0.2685,3125,11640,0.208954,0.219,1.101,1.297,19,1.809,4,0,27,
52,1776030233.8259492,0.2685,3125,11640,0.208954,0.172,1.089,1.253,19,1.765,4,0,0,
53,1776030235.8342621,0.2677,3116,11640,0.189338,0.239,0.986,1.267,20,1.256,4,0,0,
54,1776030237.843612,0.2685,3125,11640,0.187009,0.267,1.137,1.285,20,1.382,4,0,9,
55,1776030239.851954,0.2684,3124,11640,0.192362,0.135,0.981,1.238,20,1.301,4,0,0,
