step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
1,1776099106.6495428,0.1615,2388,14790,0.052491,-0.123,-0.051,0.948,0,-1,0,0,0,lawn_wp0
2,1776099110.6584864,0.1745,2596,14875,0.058396,-0.353,-0.228,1.005,0,-1,0,0,208,lawn_wp0
3,1776099112.663754,0.1807,2688,14875,0.061694,-0.686,-0.41,0.979,0,-1,0,0,92,lawn_wp0
4,1776099116.6786447,0.1817,2703,14875,0.064131,-0.875,-0.507,1.022,0,-1,0,0,15,lawn_wp0
5,1776099118.687067,0.1892,2815,14875,0.068903,-1.145,-0.657,1.007,0,-1,0,0,112,lawn_wp0
6,1776099120.6921031,0.1964,2922,14875,0.071846,-1.321,-0.767,1.027,0,-1,0,0,107,lawn_wp0
7,1776099122.697036,0.1964,2922,14875,0.071846,-1.538,-0.887,0.987,0,-1,0,0,0,lawn_wp0
8,1776099125.9030182,0.1794,3218,17935,0.075174,-1.768,-0.989,1.05,0,-1,0,0,296,lawn_wp0
9,1776099127.9083984,0.1794,3218,17935,0.075174,-1.992,-1.137,1.041,0,-1,0,0,0,lawn_wp0
10,1776099129.913903,0.171,3445,20145,0.077029,-2.224,-1.269,1.008,0,-1,0,0,227,lawn_wp0
11,1776099131.9204042,0.1662,3659,22015,0.077806,-2.467,-1.46,0.963,0,-1,0,0,214,lawn_wp0
12,1776099135.9366388,0.166,3782,22780,0.078962,-2.666,-1.612,0.991,0,-1,0,0,123,lawn_wp0
13,1776099138.943525,0.1677,3891,23205,0.081863,-2.93,-1.807,0.987,0,-1,0,0,109,lawn_wp0
14,1776099141.7537467,0.1687,4059,24055,0.084532,-3.256,-2.021,1.019,0,-1,0,0,168,lawn_wp0
15,1776099143.762262,0.1682,4131,24565,0.085187,-3.495,-2.179,0.977,0,-1,0,0,72,lawn_wp0
16,1776099147.7767262,0.1689,4193,24820,0.086168,-3.782,-2.352,1.03,0,-1,0,0,62,lawn_wp0
17,1776099149.7839122,0.1684,4280,25415,0.08721,-4.138,-2.57,1.013,0,-1,0,0,87,lawn_wp0
18,1776099151.7884483,0.1687,4330,25670,0.087888,-4.376,-2.748,0.982,0,-1,0,0,50,lawn_wp0
19,1776099155.0011036,0.1686,4372,25925,0.088925,-4.561,-2.901,1.077,0,-1,0,0,42,lawn_wp0
20,1776099157.0110893,0.1632,4523,27720,0.090071,-4.779,-3.07,1.07,0,-1,0,0,151,lawn_wp0
21,1776099159.024154,0.145,4916,33912,0.091099,-4.987,-3.172,1.082,0,-1,0,0,393,lawn_wp0
22,1776099161.0307403,0.145,4916,33912,0.091099,-5.217,-3.276,1.066,0,-1,0,0,0,lawn_wp0
23,1776099163.039861,0.1432,5178,36160,0.091533,-5.464,-3.447,1.085,0,-1,0,0,262,lawn_wp0
24,1776099165.046823,0.1444,5321,36838,0.09213,-5.769,-3.654,1.108,0,-1,0,0,143,lawn_wp0
25,1776099167.0528016,0.1437,5391,37516,0.092822,-6.029,-3.772,1.072,0,-1,0,0,70,lawn_wp0
26,1776099169.061673,0.1435,5463,38081,0.093952,-6.29,-3.935,1.07,0,-1,0,0,72,lawn_wp0
27,1776099171.0687158,0.1424,5535,38872,0.094574,-6.574,-4.078,1.052,0,-1,0,0,72,lawn_wp0
28,1776099173.0770197,0.1418,5607,39550,0.095428,-6.859,-4.179,1.015,0,-1,0,0,72,lawn_wp0
29,1776099175.0853813,0.1474,5945,40341,0.096717,-7.12,-4.379,0.99,0,-1,0,0,338,lawn_wp0
30,1776099177.6943917,0.1556,6401,41132,0.097987,-7.402,-4.584,0.976,0,-1,0,0,456,lawn_wp0
31,1776099181.7086232,0.1721,7194,41810,0.100449,-7.693,-4.816,0.975,0,-1,0,0,793,lawn_wp0
32,1776099185.7288356,0.1794,7718,43010,0.10126,-7.493,-4.871,0.946,0,-1,0,0,524,lawn_wp1
33,1776099189.7472255,0.2098,9022,43010,0.102927,-7.175,-4.976,0.976,0,-1,0,0,1304,lawn_wp1
34,1776099193.7688766,0.2219,9626,43384,0.104538,-6.707,-4.979,0.93,0,-1,0,0,604,lawn_wp2
35,1776099197.7843719,0.2443,10600,43384,0.106067,-6.254,-5.021,0.943,0,-1,0,0,974,lawn_wp2
36,1776099201.800404,0.271,11756,43384,0.107131,-5.879,-5.005,0.902,0,-1,0,0,1156,lawn_wp3
37,1776099205.814532,0.2837,12307,43384,0.108246,-5.411,-4.981,0.928,0,-1,0,0,551,lawn_wp3
38,1776099209.8303988,0.2847,12353,43384,0.10873,-5.02,-5.011,0.883,0,-1,0,0,46,lawn_wp4
39,1776099213.8408108,0.2872,12460,43384,0.108972,-5.007,-4.99,1.068,0,-1,0,0,107,lawn_wp4
40,1776099215.8488693,0.2896,12563,43384,0.109608,-4.983,-5.085,1.046,0,-1,0,0,103,lawn_wp4
41,1776099217.8550396,0.29,12583,43384,0.110411,-4.91,-5.14,1.07,0,-1,0,0,20,lawn_wp4
42,1776099219.861771,0.2905,12603,43384,0.11191,-4.853,-5.135,1.048,1,6.735,0,0,20,lawn_wp4
43,1776099221.870523,0.292,12670,43384,0.112555,-4.787,-5.161,1.002,2,6.713,0,0,67,lawn_wp4
44,1776099223.8843217,0.292,12670,43384,0.112555,-4.808,-5.24,1.023,2,6.787,0,0,0,lawn_wp4
45,1776099225.8941956,0.292,12670,43384,0.112555,-4.755,-5.269,1.047,2,6.777,0,0,0,lawn_wp4
46,1776099227.901538,0.292,12670,43384,0.112555,-4.771,-5.253,1.083,2,6.773,0,0,0,lawn_wp4
47,1776099229.9100456,0.292,12670,43384,0.112555,-4.694,-5.232,1.087,2,6.709,0,0,0,lawn_wp4
48,1776099231.9182618,0.2923,12679,43384,0.115134,-4.693,-5.22,1.117,2,6.699,0,0,9,lawn_wp4
49,1776099233.926365,0.2923,12679,43384,0.117427,-4.766,-5.191,1.123,2,6.722,0,0,0,lawn_wp4
50,1776099235.9355752,0.2923,12679,43384,0.122795,-4.779,-5.234,1.107,2,6.764,0,0,0,lawn_wp4
51,1776099237.9440336,0.2923,12679,43384,0.125661,-4.742,-5.261,1.059,2,6.761,0,0,0,lawn_wp4
52,1776099239.9613059,0.2923,12679,43384,0.127949,-4.727,-5.242,1.072,2,6.738,0,0,0,lawn_wp4
53,1776099241.969537,0.2923,12679,43384,0.130556,-4.738,-5.17,1.024,2,6.689,0,0,0,lawn_wp4
54,1776099243.9791622,0.2923,12679,43384,0.13279,-4.758,-5.162,0.945,2,6.695,0,0,0,lawn_wp4
55,1776099247.993093,0.2923,12679,43384,0.137802,-4.822,-5.164,0.853,2,6.737,0,0,0,lawn_wp4
56,1776099252.0125806,0.2923,12679,43384,0.145739,-4.752,-5.209,0.834,2,6.728,0,0,0,lawn_wp4
57,1776099256.0240278,0.2923,12679,43384,0.151248,-4.72,-5.184,0.813,2,6.689,0,0,0,lawn_wp4
58,1776099260.0370972,0.2923,12679,43384,0.156481,-4.767,-5.221,0.914,2,6.747,0,0,0,lawn_wp4
59,1776099264.0533392,0.2923,12679,43384,0.161756,-4.784,-5.222,1.009,2,6.758,0,0,0,lawn_wp4
60,1776099266.0621867,0.2923,12679,43384,0.165239,-4.803,-5.24,1.027,2,6.784,0,0,0,lawn_wp4
61,1776099268.0704792,0.2923,12679,43384,0.168038,-4.818,-5.194,1.053,2,6.758,0,0,0,lawn_wp4
62,1776099270.0784986,0.2923,12679,43384,0.170323,-4.824,-5.196,1.064,2,6.763,0,0,0,lawn_wp4
63,1776099272.0899565,0.2923,12679,43384,0.172806,-4.812,-5.167,1.094,2,6.733,0,0,0,lawn_wp4
64,1776099274.101346,0.2923,12679,43384,0.175077,-4.785,-5.143,1.12,2,6.698,0,0,0,lawn_wp4
65,1776099276.1103833,0.2923,12679,43384,0.18051,-4.811,-5.098,1.086,2,6.679,0,0,0,lawn_wp4
66,1776099278.128727,0.2923,12679,43384,0.182564,-4.798,-5.089,1.045,2,6.664,0,0,0,lawn_wp4
67,1776099280.1432455,0.2923,12679,43384,0.184569,-4.802,-5.122,1.04,2,6.693,0,0,0,lawn_wp4
68,1776099282.1549609,0.2923,12679,43384,0.187825,-4.844,-5.173,0.97,2,6.758,0,0,0,lawn_wp4
69,1776099284.9782917,0.2923,12679,43384,0.190193,-4.869,-5.193,1.018,2,6.79,0,0,0,lawn_wp4
70,1776099286.9886544,0.2923,12679,43384,0.195792,-4.861,-5.231,1.062,2,6.814,0,0,0,lawn_wp4
71,1776099289.0018508,0.2923,12679,43384,0.198343,-4.869,-5.231,1.096,2,6.819,0,0,0,lawn_wp4
72,1776099291.016477,0.2923,12679,43384,0.200716,-4.912,-5.251,1.083,2,6.861,0,0,0,lawn_wp4
73,1776099293.028815,0.2923,12679,43384,0.203464,-4.89,-5.252,1.033,2,6.848,0,0,0,lawn_wp4
74,1776099295.0389104,0.2923,12679,43384,0.206057,-4.862,-5.264,1.004,2,6.839,0,0,0,lawn_wp4
75,1776099297.0510483,0.2923,12679,43384,0.208249,-4.876,-5.24,0.996,2,6.83,0,0,0,lawn_wp4
76,1776099299.2663195,0.2923,12679,43384,0.21079,-4.868,-5.228,1.01,2,6.816,0,0,0,lawn_wp4
77,1776099301.2775893,0.2923,12679,43384,0.213745,-4.826,-5.224,0.995,2,6.786,0,0,0,lawn_wp4
78,1776099304.4912727,0.2923,12679,43384,0.216442,-4.758,-5.224,1.069,2,6.744,0,0,0,lawn_wp4
79,1776099306.503375,0.2923,12679,43384,0.220141,-4.791,-5.2,1.102,2,6.746,0,0,0,lawn_wp4
80,1776099308.513978,0.2923,12679,43384,0.223041,-4.789,-5.136,1.155,2,6.695,0,0,0,lawn_wp4
81,1776099310.5240328,0.2923,12679,43384,0.225592,-4.793,-5.166,1.184,2,6.72,0,0,0,lawn_wp4
82,1776099312.5346034,0.2923,12679,43384,0.228124,-4.875,-5.15,1.237,2,6.76,0,0,0,lawn_wp4
83,1776099314.5457563,0.2923,12679,43384,0.230541,-4.847,-5.199,1.215,2,6.78,0,0,0,lawn_wp4
84,1776099316.5577762,0.2923,12679,43384,0.233072,-4.788,-5.188,1.21,2,6.734,0,0,0,lawn_wp4
85,1776099318.5697067,0.2923,12679,43384,0.235786,-4.819,-5.179,1.167,2,6.747,0,0,0,lawn_wp4
86,1776099320.5847669,0.2923,12679,43384,0.238575,-4.827,-5.213,1.111,2,6.779,0,0,0,lawn_wp4
87,1776099322.5955143,0.2923,12679,43384,0.241192,-4.845,-5.225,1.108,2,6.799,0,0,0,lawn_wp4
88,1776099324.6073205,0.2923,12679,43384,0.244464,-4.803,-5.191,1.099,2,6.746,0,0,0,lawn_wp4
89,1776099326.6185706,0.2923,12679,43384,0.247031,-4.808,-5.219,1.015,2,6.77,0,0,0,lawn_wp4
90,1776099328.6279259,0.2923,12679,43384,0.25022,-4.785,-5.209,0.996,2,6.749,0,0,0,lawn_wp4
91,1776099332.6428733,0.2923,12679,43384,0.256244,-4.789,-5.29,0.952,2,6.814,0,0,0,lawn_wp4
92,1776099336.6632311,0.2923,12679,43384,0.26102,-4.796,-5.165,0.883,2,6.721,0,0,0,lawn_wp4
