step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,alt_idx,altitude_changes,cov_alt0,cov_alt1,cov_alt2,cov_alt3,note
1,2.806000232696533,0.018887362637362636,770,40768,0.010923225078601544,0.0041164737194776535,-0.062359608709812164,0.9872034192085266,14,0.7580617307982594,0,0,770,0,0,0.07554945054945054,0.0,0.0,0.0,
2,4.887196063995361,0.018887362637362636,770,40768,0.010923225078601544,-0.3618050515651703,-0.32327333092689514,1.0443174839019775,14,0.3789684382853112,0,0,0,0,0,0.07554945054945054,0.0,0.0,0.0,
3,6.96719217300415,0.018887362637362636,770,40768,0.014971760140841516,-0.6466281414031982,-0.5403686761856079,1.0347768068313599,14,0.31082894009224726,0,0,0,0,0,0.07554945054945054,0.0,0.0,0.0,
4,9.003332614898682,0.018887362637362636,770,40768,0.014971760140841516,-0.8143622875213623,-0.6208387017250061,0.9965601563453674,14,0.3089299196730406,0,0,0,0,0,0.07554945054945054,0.0,0.0,0.0,
5,11.026229619979858,0.018887362637362636,770,40768,0.014971760140841516,-0.8194040060043335,-0.6692107319831848,1.014617919921875,14,0.26296580976053247,0,0,0,0,0,0.07554945054945054,0.0,0.0,0.0,
6,13.04867935180664,0.018960949764521194,773,40768,0.018864565976350726,-0.8308314681053162,-0.6791439056396484,1.0374046564102173,15,0.2490250474707534,0,0,3,0,0,0.07584379905808478,0.0,0.0,0.0,
7,15.073995351791382,0.018960949764521194,773,40768,0.02733504275533852,-0.856601357460022,-0.6817476749420166,1.0513955354690552,15,0.23667454134808388,0,0,0,0,0,0.07584379905808478,0.0,0.0,0.0,
8,17.097193717956543,0.019623233908948195,800,40768,0.02733504275533852,-0.896379828453064,-0.7220977544784546,1.0246224403381348,13,0.1866546952405096,0,0,27,0,0,0.07849293563579278,0.0,0.0,0.0,
9,19.127893686294556,0.019623233908948195,800,40768,0.02733504275533852,-0.9307794570922852,-0.7867223024368286,1.0342965126037598,13,0.1176364914966095,0,0,0,0,0,0.07849293563579278,0.0,0.0,0.0,
10,21.15400719642639,0.019623233908948195,800,40768,0.02733504275533852,-0.9881906509399414,-0.8327276110649109,1.0643537044525146,13,0.08790481096383547,0,0,0,0,0,0.07849293563579278,0.0,0.0,0.0,
11,23.185817003250122,0.01969682103610675,803,40768,0.033295390643214504,-1.1055121421813965,-0.8605663776397705,1.0870859622955322,13,0.1735769658721294,0,0,3,0,0,0.078787284144427,0.0,0.0,0.0,
12,25.273862600326538,0.01969682103610675,803,40768,0.033295390643214504,-1.141492486000061,-0.8699774742126465,1.0598623752593994,13,0.20683740477085452,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
13,27.36102056503296,0.01969682103610675,803,40768,0.038448359301237085,-1.015870451927185,-0.7339223027229309,1.0521366596221924,13,0.1874166965279447,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
14,29.39278554916382,0.01969682103610675,803,40768,0.038448359301237085,-0.9400025606155396,-0.6680439114570618,1.0851483345031738,13,0.2361359952446541,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
15,31.417940378189087,0.01969682103610675,803,40768,0.048338510476791,-0.9472705721855164,-0.6617554426193237,1.0657318830490112,13,0.24260801916533914,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
16,33.440516233444214,0.01969682103610675,803,40768,0.048338510476791,-0.9136205911636353,-0.632958173751831,1.0384551286697388,13,0.2722577403964047,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
17,35.4670934677124,0.01969682103610675,803,40768,0.05873432563875121,-0.9032287001609802,-0.5864141583442688,1.0204379558563232,13,0.3195953495719877,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
18,37.49683666229248,0.01969682103610675,803,40768,0.05873432563875121,-0.9032489061355591,-0.5720611214637756,1.022536039352417,13,0.33400437225782964,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
19,39.51261353492737,0.01969682103610675,803,40768,0.07140415525923732,-0.8869238495826721,-0.5695494413375854,1.0894824266433716,13,0.338417866761489,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
20,41.539440393447876,0.01969682103610675,803,40768,0.07140415525923732,-0.8295204639434814,-0.5781458020210266,1.084334135055542,13,0.34343738452805744,0,0,0,0,0,0.078787284144427,0.0,0.0,0.0,
21,46.64915323257446,0.0393936420722135,1606,40768,0.0806027792674491,-0.7253862023353577,-0.5024850964546204,1.8535706996917725,13,0.2597158933048078,0,0,803,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
22,48.67791438102722,0.0393936420722135,1606,40768,0.0806027792674491,-0.7511102557182312,-0.5198957920074463,1.9653160572052002,13,0.27768719748459464,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
23,50.69797229766846,0.0393936420722135,1606,40768,0.08578779907760695,-0.7621377110481262,-0.5411080121994019,2.0354294776916504,13,0.29975535241798795,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
24,52.715593576431274,0.0393936420722135,1606,40768,0.08578779907760695,-0.7576837539672852,-0.5195525884628296,2.061051607131958,13,0.2778717463781754,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
25,54.75791358947754,0.0393936420722135,1606,40768,0.08578779907760695,-0.757835865020752,-0.4930626451969147,2.0617053508758545,13,0.25152121756373746,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
26,56.77786922454834,0.0393936420722135,1606,40768,0.08578779907760695,-0.7406986355781555,-0.45540931820869446,2.0637848377227783,13,0.2127243179580296,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
27,58.80208134651184,0.0393936420722135,1606,40768,0.08919935414776223,-0.751495361328125,-0.4659063220024109,2.075244426727295,13,0.2238871519190728,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
28,60.83033275604248,0.0393936420722135,1606,40768,0.08919935414776223,-0.7095711827278137,-0.49980428814888,2.069765090942383,13,0.25793670489088244,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
29,62.85029458999634,0.0393936420722135,1606,40768,0.09967615407174935,-0.7278535962104797,-0.5282964110374451,2.034228563308716,13,0.285471525949617,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
30,64.86854696273804,0.0393936420722135,1606,40768,0.09967615407174935,-0.727928102016449,-0.5721376538276672,2.041766405105591,13,0.32930751590298823,0,0,0,1,1,0.078787284144427,0.078787284144427,0.0,0.0,
31,66.89000511169434,0.043048469387755105,1755,40768,0.10708141129930054,-0.7564085125923157,-0.6100898385047913,2.072524309158325,14,0.3453627154891209,0,0,149,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
32,68.91054654121399,0.043048469387755105,1755,40768,0.11396012862403893,-0.7880706191062927,-0.5874001383781433,2.067974328994751,14,0.34905268448998183,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
33,70.95795512199402,0.043048469387755105,1755,40768,0.11396012862403893,-0.8479623794555664,-0.6167850494384766,2.0473477840423584,14,0.3007155945150026,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
34,72.97961902618408,0.043048469387755105,1755,40768,0.11396012862403893,-0.848152756690979,-0.6180146336555481,2.0005242824554443,14,0.29977651491348656,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
35,75.002201795578,0.043048469387755105,1755,40768,0.11396012862403893,-0.8493329286575317,-0.5893455147743225,1.981260061264038,14,0.3269339863176742,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
36,77.032888174057,0.043048469387755105,1755,40768,0.11982467849021791,-0.8542466163635254,-0.5895290970802307,1.993180751800537,14,0.3254657653464601,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
37,79.05682587623596,0.043048469387755105,1755,40768,0.11982467849021791,-0.9110547304153442,-0.650364100933075,1.9972363710403442,14,0.25517660792879826,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
38,81.07895398139954,0.043048469387755105,1755,40768,0.11982467849021791,-0.865617573261261,-0.628839910030365,2.0254812240600586,14,0.2845556872662436,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
39,83.10734605789185,0.043048469387755105,1755,40768,0.11982467849021791,-0.8414098620414734,-0.5947725176811218,2.031550645828247,14,0.3244196945047315,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
40,85.14520788192749,0.043048469387755105,1755,40768,0.11982467849021791,-0.8361227512359619,-0.5660845637321472,2.0171542167663574,14,0.3395404844456702,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
41,87.1694107055664,0.043048469387755105,1755,40768,0.12566837685213672,-0.8057960271835327,-0.5536834001541138,1.9984190464019775,14,0.31943344460180645,0,0,0,1,1,0.078787284144427,0.09340659340659341,0.0,0.0,
42,92.2663221359253,0.06640011773940345,2707,40768,0.13269574203875165,-0.8314248919487,-0.5731903910636902,2.7539238929748535,14,0.3449303365624426,0,0,952,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
43,94.90200185775757,0.06640011773940345,2707,40768,0.13685801605426023,-0.8358942866325378,-0.5682200789451599,2.8978891372680664,14,0.34150454777709155,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
44,96.91970682144165,0.06640011773940345,2707,40768,0.13685801605426023,-0.8402242064476013,-0.5762232542037964,2.969195604324341,14,0.3420665257218658,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
45,98.94068908691406,0.06640011773940345,2707,40768,0.13685801605426023,-0.8429617285728455,-0.5972868800163269,2.9900081157684326,14,0.32111171510700404,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
46,100.95823693275452,0.06640011773940345,2707,40768,0.14575338455077505,-0.8816835880279541,-0.6030530333518982,3.0122079849243164,14,0.3062432275676725,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
47,102.98000955581665,0.06640011773940345,2707,40768,0.14575338455077505,-0.8808889985084534,-0.5627108216285706,3.0449695587158203,14,0.3461169181439447,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
48,105.00839304924011,0.06640011773940345,2707,40768,0.15253733852962745,-0.8271883726119995,-0.5743116140365601,3.0832552909851074,14,0.34481252706484194,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
49,107.03178238868713,0.06640011773940345,2707,40768,0.15253733852962745,-0.8015637397766113,-0.569033682346344,3.041605234146118,14,0.3334821900377055,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
50,109.05351662635803,0.06640011773940345,2707,40768,0.17224428775483525,-0.8160730004310608,-0.5245298743247986,3.0157315731048584,14,0.293911147688608,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
51,111.07661008834839,0.06640011773940345,2707,40768,0.17224428775483525,-0.8683635592460632,-0.5319526791572571,3.024090528488159,14,0.3195813580175365,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
52,113.10201168060303,0.06640011773940345,2707,40768,0.1808294147203515,-0.8340381383895874,-0.5473951101303101,3.01188063621521,14,0.3211323381925598,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
53,115.14401626586914,0.06640011773940345,2707,40768,0.1808294147203515,-0.815949559211731,-0.5758079886436462,3.057546615600586,14,0.343632237971782,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
54,117.16477560997009,0.06640011773940345,2707,40768,0.1808294147203515,-0.8101003170013428,-0.5951660871505737,3.0621166229248047,14,0.3342336043852914,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
55,119.19146490097046,0.06640011773940345,2707,40768,0.1808294147203515,-0.8053398728370667,-0.598684549331665,3.0112528800964355,14,0.3328448454287218,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09340659340659341,0.0,
56,121.21048355102539,0.06654729199372056,2713,40768,0.4228393869242529,-0.81546550989151,-0.5878880620002747,3.0238101482391357,15,0.33900535984554,0,0,6,2,2,0.078787284144427,0.09340659340659341,0.09399529042386186,0.0,
57,123.23637557029724,0.06654729199372056,2713,40768,0.4228393869242529,-0.8462135791778564,-0.5575158596038818,2.999722480773926,15,0.3346971583304706,0,0,0,2,2,0.078787284144427,0.09340659340659341,0.09399529042386186,0.0,
58,125.26293087005615,0.0664982339089482,2711,40768,0.4038804120560739,-0.8547935485839844,-0.5684243440628052,2.9879322052001953,15,0.3457792670602978,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
59,127.28400182723999,0.0664982339089482,2711,40768,0.4038804120560739,-0.8592885732650757,-0.5860853791236877,3.0139365196228027,15,0.3275557478466229,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
60,129.3052887916565,0.0664982339089482,2711,40768,0.4038804120560739,-0.8966013193130493,-0.615668535232544,3.0217690467834473,15,0.29061225803562707,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
61,131.33358788490295,0.0664982339089482,2711,40768,0.4038804120560739,-0.901285707950592,-0.6347343921661377,3.0383546352386475,15,0.27185517714617424,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
62,133.35869598388672,0.0664982339089482,2711,40768,0.44078853015218655,-0.8701388239860535,-0.6111493706703186,3.0711169242858887,15,0.3006604287263265,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
63,135.39796233177185,0.0664982339089482,2711,40768,0.44078853015218655,-0.8725926876068115,-0.6096829771995544,3.0902910232543945,15,0.30155203640273187,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
64,137.4172444343567,0.0664982339089482,2711,40768,0.43441086457541406,-0.8405147194862366,-0.6267144680023193,3.0400493144989014,15,0.29391480921136953,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
65,139.45054721832275,0.0664982339089482,2711,40768,0.43441086457541406,-0.8093645572662354,-0.6391192674636841,3.026362419128418,15,0.29439579222346635,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09379905808477237,0.0,
66,141.47023391723633,0.06664540816326531,2717,40768,0.4248558517842591,-0.79311203956604,-0.6174386143684387,3.0187768936157227,17,0.32103104988732756,1,0,6,2,2,0.078787284144427,0.09340659340659341,0.09438775510204081,0.0,
67,143.5104193687439,0.06664540816326531,2717,40768,0.4248558517842591,-0.7682244777679443,-0.6226055026054382,3.0238571166992188,17,0.3285285109418735,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09438775510204081,0.0,
68,145.5551815032959,0.06669446624803768,2719,40768,0.43218534571796713,-0.8165084719657898,-0.6360229253768921,3.010986089706421,17,0.29364548399526363,1,0,2,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
69,147.57950711250305,0.06669446624803768,2719,40768,0.43218534571796713,-0.8097747564315796,-0.6128283143043518,3.0319771766662598,17,0.3181066474785096,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
70,149.60215306282043,0.06669446624803768,2719,40768,0.43218534571796713,-0.8009518384933472,-0.620535671710968,3.0420949459075928,17,0.314788838802057,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
71,151.6181788444519,0.06669446624803768,2719,40768,0.43218534571796713,-0.7922681570053101,-0.6194077134132385,3.0222692489624023,17,0.31965610607741585,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
72,153.63919711112976,0.06669446624803768,2719,40768,0.4203377053937517,-0.7726967930793762,-0.6118153929710388,3.0351924896240234,17,0.33560311700488066,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
73,155.6641492843628,0.06669446624803768,2719,40768,0.4203377053937517,-0.7173661589622498,-0.6041285991668701,2.9933221340179443,17,0.3615735678427952,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
74,157.68413734436035,0.06669446624803768,2719,40768,0.411143696358984,-0.7138901352882385,-0.608000636100769,3.0038158893585205,17,0.3655994581462345,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
75,159.7126603126526,0.06669446624803768,2719,40768,0.411143696358984,-0.7087850570678711,-0.6298912763595581,2.999436616897583,17,0.3571241263486024,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
76,161.74845600128174,0.06669446624803768,2719,40768,0.4015127414473533,-0.7148065567016602,-0.5980346202850342,3.008178949356079,17,0.35560036272091133,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
77,163.76837635040283,0.06669446624803768,2719,40768,0.4015127414473533,-0.7565799951553345,-0.4828629195690155,3.0148589611053467,17,0.24124664882693922,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.0945839874411303,0.0,
78,165.7913303375244,0.06674352433281004,2721,40768,0.37655140635246576,-0.7618271112442017,-0.4743507504463196,2.9768054485321045,17,0.2334252895404013,1,0,2,2,2,0.078787284144427,0.09340659340659341,0.09478021978021978,0.0,
79,167.8221457004547,0.06674352433281004,2721,40768,0.37655140635246576,-0.7851642370223999,-0.49380022287368774,2.9442150592803955,17,0.2564832915242196,1,0,0,2,2,0.078787284144427,0.09340659340659341,0.09478021978021978,0.0,
80,169.8541088104248,0.0668171114599686,2724,40768,0.36674557978832584,-0.7773129940032959,-0.48197320103645325,2.8963892459869385,17,0.24334505794170985,2,0,3,2,2,0.078787284144427,0.09340659340659341,0.09507456828885401,0.0,
81,171.87430882453918,0.0668171114599686,2724,40768,0.36674557978832584,-0.7840413451194763,-0.4425555467605591,2.8997182846069336,17,0.20633198022724247,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09507456828885401,0.0,
82,173.90286874771118,0.06693975667189953,2729,40768,0.37211254301529495,-0.8084020018577576,-0.4853944778442383,2.930574893951416,17,0.2542435534886139,2,0,5,2,2,0.078787284144427,0.09340659340659341,0.09556514913657771,0.0,
83,175.93623757362366,0.06693975667189953,2729,40768,0.37211254301529495,-0.8182525634765625,-0.5131504535675049,2.964982748031616,17,0.28367819715711867,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09556514913657771,0.0,
84,177.96416473388672,0.0669888147566719,2731,40768,0.3636993787010106,-0.8152212500572205,-0.5175745487213135,2.9719815254211426,16,0.28700459699923936,2,0,2,2,2,0.078787284144427,0.09340659340659341,0.09576138147566719,0.0,
85,179.98993849754333,0.0669888147566719,2731,40768,0.3636993787010106,-0.800338864326477,-0.49282893538475037,2.9583444595336914,16,0.2591072482953184,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09576138147566719,0.0,
86,182.0134723186493,0.0669888147566719,2731,40768,0.3636993787010106,-0.8051682710647583,-0.4806259572505951,2.9223053455352783,16,0.24873015558626826,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09576138147566719,0.0,
87,184.03216075897217,0.0669888147566719,2731,40768,0.3568682155082635,-0.7647796869277954,-0.5030360221862793,2.959597110748291,16,0.26221786206771247,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09576138147566719,0.0,
88,186.05428099632263,0.0669888147566719,2731,40768,0.3568682155082635,-0.7416597604751587,-0.4974571168422699,2.96669602394104,16,0.2547777989767428,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09576138147566719,0.0,
89,188.07811045646667,0.06696428571428571,2730,40768,0.3371910366050954,-0.728057861328125,-0.5255385637283325,2.9139113426208496,16,0.28271096754518693,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09566326530612244,0.0,
90,190.1084578037262,0.06671899529042387,2720,40768,0.3034522383516726,-0.7182679176330566,-0.528609037399292,2.911799907684326,16,0.28608859365660366,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09468210361067504,0.0,
91,192.13621497154236,0.06671899529042387,2720,40768,0.3034522383516726,-0.706616997718811,-0.5445094108581543,2.8748505115509033,16,0.3027303954277612,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09468210361067504,0.0,
92,194.1582531929016,0.06671899529042387,2720,40768,0.3034522383516726,-0.681801438331604,-0.6053839325904846,2.8467679023742676,16,0.36600543964374765,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09468210361067504,0.0,
93,196.17577481269836,0.06642246642246642,2720,40950,0.30923307136308087,-0.6725775599479675,-0.6127893924713135,2.8819520473480225,16,0.37469695671079134,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09302101407364566,0.0,
94,198.19654512405396,0.06642246642246642,2720,40950,0.3153543833786824,-0.6783930659294128,-0.6267386078834534,2.929457426071167,16,0.3796089847848014,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09302101407364566,0.0,
95,200.2165458202362,0.06642246642246642,2720,40950,0.3153543833786824,-0.665246844291687,-0.6095685362815857,2.9390347003936768,16,0.37276298557920673,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.09302101407364566,0.0,
96,202.2456305027008,0.06632478632478632,2716,40950,0.3140072751773508,-0.718798816204071,-0.5987984538078308,2.9418110847473145,16,0.35619120270150006,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.0926354347406979,0.0,
97,204.27010226249695,0.06632478632478632,2716,40950,0.3140072751773508,-0.7046530842781067,-0.619269073009491,2.9317290782928467,16,0.3679464120546791,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.0926354347406979,0.0,
98,206.3036048412323,0.06632478632478632,2716,40950,0.3041281579706444,-0.7137574553489685,-0.6206030249595642,2.960314989089966,16,0.3612053382693147,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.0926354347406979,0.0,
99,208.31968808174133,0.06632478632478632,2716,40950,0.3041281579706444,-0.697297990322113,-0.6077993512153625,2.9597227573394775,16,0.3666018038770063,2,0,0,2,2,0.078787284144427,0.09340659340659341,0.0926354347406979,0.0,
100,210.34846425056458,0.06634920634920635,2717,40950,0.31026776971347125,-0.6922139525413513,-0.5918500423431396,2.939737319946289,17,0.351269514631603,3,0,1,2,2,0.078787284144427,0.09340659340659341,0.09273182957393483,0.0,
101,212.36956191062927,0.06634920634920635,2717,40950,0.31026776971347125,-0.6951456665992737,-0.560667872428894,2.8958189487457275,17,0.31995682661697505,3,0,0,2,2,0.078787284144427,0.09340659340659341,0.09273182957393483,0.0,
102,214.3971288204193,0.06634920634920635,2717,40950,0.31026776971347125,-0.7157173156738281,-0.5519395470619202,2.9239113330841064,17,0.30951840109149176,3,0,0,2,2,0.078787284144427,0.09340659340659341,0.09273182957393483,0.0,
103,216.4183897972107,0.06634920634920635,2717,40950,0.31026776971347125,-0.730494499206543,-0.5462521314620972,2.9752860069274902,17,0.30339930603788773,3,0,0,2,2,0.078787284144427,0.09340659340659341,0.09273182957393483,0.0,
104,218.44272923469543,0.06634920634920635,2717,40950,0.31026776971347125,-0.7149252891540527,-0.5295729041099548,2.955092668533325,17,0.28723211819692446,3,0,0,2,2,0.078787284144427,0.09340659340659341,0.09273182957393483,0.0,
