step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,alt_idx,altitude_changes,cov_alt0,cov_alt1,cov_alt2,cov_alt3,note
1,2.8448448181152344,0.02,784,39200,0.022606125020846662,-0.4336853623390198,-0.14967931807041168,0.8646019101142883,0,inf,0,0,784,0,0,0.08,0.0,0.0,0.0,
2,4.863474607467651,0.020153061224489795,790,39200,0.025248405688192872,-0.7656100392341614,-0.47102561593055725,0.9173059463500977,0,inf,0,0,6,0,0,0.08061224489795918,0.0,0.0,0.0,
3,6.880848407745361,0.02035714285714286,798,39200,0.028100453403468416,-0.8565332889556885,-0.5434125065803528,0.907420814037323,0,inf,0,0,8,0,0,0.08142857142857143,0.0,0.0,0.0,
4,8.91185450553894,0.02035714285714286,798,39200,0.028100453403468416,-0.8245649337768555,-0.5325451493263245,0.9063626527786255,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
5,10.951393365859985,0.02035714285714286,798,39200,0.03370494343871222,-0.8019970655441284,-0.5553714632987976,0.8806502223014832,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
6,12.976547002792358,0.02035714285714286,798,39200,0.03370494343871222,-0.7508057355880737,-0.5093915462493896,0.9082086682319641,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
7,15.012713193893433,0.02035714285714286,798,39200,0.03370494343871222,-0.7303667664527893,-0.5034748315811157,0.8859022855758667,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
8,17.033758640289307,0.02035714285714286,798,39200,0.039396670509075915,-0.704585611820221,-0.4959303140640259,0.9766702055931091,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
9,19.052610874176025,0.02035714285714286,798,39200,0.04338824558549764,-0.7846702337265015,-0.5289792418479919,0.9657747745513916,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
10,21.070258855819702,0.02035714285714286,798,39200,0.049915876941296455,-0.7906361818313599,-0.5872285962104797,0.9698812365531921,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
11,23.097770929336548,0.02035714285714286,798,39200,0.05310073744309338,-0.8525746464729309,-0.6115421056747437,0.9133648872375488,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
12,25.118571519851685,0.02035714285714286,798,39200,0.057560947118366304,-0.7592645287513733,-0.608989953994751,0.9773856997489929,0,inf,0,0,0,0,0,0.08142857142857143,0.0,0.0,0.0,
