step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,alt_idx,altitude_changes,cov_alt0,cov_alt1,cov_alt2,cov_alt3,note
1,3.2063958644866943,0.018548466137410565,757,40812,0.009220472927203661,-0.11535557359457016,-0.21833518147468567,0.9187692403793335,15,0.606094854686571,0,0,757,0,0,0.07419386454964226,0.0,0.0,0.0,
2,5.529473781585693,0.018548466137410565,757,40812,0.009220472927203661,-0.6415606141090393,-0.5433139801025391,0.9687259197235107,15,0.31381447426704,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
3,7.57794713973999,0.018548466137410565,757,40812,0.012374999725095256,-0.8027031421661377,-0.5778342485427856,0.9440359473228455,15,0.3423279015636893,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
4,9.627443790435791,0.018548466137410565,757,40812,0.015091011829841443,-0.8280345797538757,-0.6212673187255859,0.986187219619751,15,0.30246583876544714,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
5,11.669930696487427,0.018548466137410565,757,40812,0.018443454116006175,-0.8045798540115356,-0.713468611240387,0.9655837416648865,15,0.23245125529649838,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
6,13.707520246505737,0.018548466137410565,757,40812,0.018443454116006175,-0.7916187047958374,-0.7027987241744995,0.9463468194007874,15,0.24864429411596972,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
7,15.74270749092102,0.018548466137410565,757,40812,0.020083182861984385,-0.854671835899353,-0.7297573685646057,0.9491640329360962,15,0.19307809614477067,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
8,17.780904293060303,0.018548466137410565,757,40812,0.023299467707191508,-0.8382983207702637,-0.7809078097343445,0.924414873123169,15,0.15822064910538225,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
9,19.832279920578003,0.018548466137410565,757,40812,0.023299467707191508,-0.8404109477996826,-0.8461686372756958,0.9248908758163452,15,0.11309337474285407,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
10,21.882834911346436,0.018548466137410565,757,40812,0.02644485284720213,-0.8738956451416016,-0.8825260996818542,0.9125336408615112,15,0.06718530597329916,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
11,23.94171380996704,0.018548466137410565,757,40812,0.02644485284720213,-0.9821330308914185,-0.8773934841156006,0.9507546424865723,15,0.05315965669938997,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
12,26.00442361831665,0.018548466137410565,757,40812,0.028178495542233725,-0.9904915690422058,-0.8919366002082825,0.9683460593223572,15,0.05497826033834247,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
13,28.06230592727661,0.018548466137410565,757,40812,0.029965760744905715,-1.0690637826919556,-0.8971788287162781,0.9469704627990723,15,0.13174832436211203,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
14,30.289082050323486,0.018548466137410565,757,40812,0.029965760744905715,-0.9764840602874756,-0.7250732779502869,0.96634441614151,15,0.1843103290760635,0,0,0,0,0,0.07419386454964226,0.0,0.0,0.0,
15,32.33329200744629,0.018719984318337744,764,40812,0.03202597734933908,-0.9046679735183716,-0.6529232263565063,0.9408593773841858,16,0.25337959418878664,0,0,7,0,0,0.07487993727335097,0.0,0.0,0.0,
16,34.37071919441223,0.0188424973047143,769,40812,0.03455565342215836,-0.8978049755096436,-0.6213912963867188,0.9430443048477173,16,0.2855479267162555,0,0,5,0,0,0.0753699892188572,0.0,0.0,0.0,
17,36.41606402397156,0.0188424973047143,769,40812,0.03455565342215836,-0.8360819220542908,-0.5353372693061829,0.9568624496459961,16,0.3103995948423058,0,0,0,0,0,0.0753699892188572,0.0,0.0,0.0,
18,38.44812607765198,0.0188424973047143,769,40812,0.0993583346944747,-0.7949818968772888,-0.5294395685195923,0.9288181662559509,16,0.2933908834660738,0,0,0,0,0,0.0753699892188572,0.0,0.0,0.0,
19,40.495325565338135,0.01867097912378712,762,40812,0.09800762375568554,-0.7928925156593323,-0.5473692417144775,0.9452716708183289,16,0.31051267363867785,0,0,0,0,0,0.07468391649514848,0.0,0.0,0.0,
