step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,alt_idx,altitude_changes,cov_alt0,cov_alt1,cov_alt2,cov_alt3,note
1,2.766204595565796,0.018304099329917226,743,40592,0.022674687752744623,-0.5989139676094055,-0.2623217701911926,1.0324914455413818,0,inf,0,0,743,0,0,0.0732163973196689,0.0,0.0,0.0,
2,4.799044609069824,0.018476547102877414,750,40592,0.02772586021724853,-0.8755478262901306,-0.5660117864608765,1.105303168296814,0,inf,0,0,7,0,0,0.07390618841150966,0.0,0.0,0.0,
3,6.822038888931274,0.018476547102877414,750,40592,0.032644637628500325,-0.8664751648902893,-0.5891444087028503,1.1312339305877686,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
4,8.847089290618896,0.018476547102877414,750,40592,0.032644637628500325,-0.7546185851097107,-0.5952293872833252,1.0939871072769165,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
5,10.872047424316406,0.018476547102877414,750,40592,0.038660026615373766,-0.7884082794189453,-0.5459421277046204,1.1416025161743164,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
6,12.889382600784302,0.018476547102877414,750,40592,0.041229203421722614,-0.7344100475311279,-0.4924636781215668,1.138988733291626,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
7,14.910263299942017,0.018476547102877414,750,40592,0.041229203421722614,-0.7164687514305115,-0.5020306706428528,1.1547108888626099,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
8,16.944159030914307,0.018476547102877414,750,40592,0.0468802871856652,-0.7098378539085388,-0.45747995376586914,1.1580071449279785,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
9,18.96438455581665,0.018476547102877414,750,40592,0.056298094958555873,-0.7517114281654358,-0.4496396481990814,1.1289912462234497,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
10,20.99564528465271,0.018476547102877414,750,40592,0.08203875794098713,-0.709505558013916,-0.5185346603393555,1.1498371362686157,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
11,23.017277479171753,0.018476547102877414,750,40592,0.08567773242064984,-0.7297544479370117,-0.5962895154953003,1.1194347143173218,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
12,25.051207542419434,0.018476547102877414,750,40592,0.08567773242064984,-0.7658737301826477,-0.5886275172233582,1.1017545461654663,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
13,27.079049587249756,0.018476547102877414,750,40592,0.08928446689949836,-0.7596856951713562,-0.5753276944160461,1.126522183418274,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
14,29.107561111450195,0.018476547102877414,750,40592,0.0972277104093041,-0.7551029324531555,-0.5602794885635376,1.130629539489746,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
15,31.12804102897644,0.018476547102877414,750,40592,0.0972277104093041,-0.7869019508361816,-0.5505675077438354,1.1157283782958984,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
16,33.15732717514038,0.018476547102877414,750,40592,0.10262221253578549,-0.7878806591033936,-0.5714833736419678,1.1008275747299194,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
17,35.17351055145264,0.018476547102877414,750,40592,0.10967086173619608,-0.8008236289024353,-0.6148781180381775,1.070777416229248,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
18,37.1926543712616,0.018476547102877414,750,40592,0.10967086173619608,-0.8280906677246094,-0.5716367363929749,1.138055682182312,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
19,39.20909667015076,0.018476547102877414,750,40592,0.11531666080783819,-0.8277401924133301,-0.5949975252151489,1.0981613397598267,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
20,41.240113258361816,0.018476547102877414,750,40592,0.12199401185691823,-0.8617212176322937,-0.5921337604522705,1.0666314363479614,0,inf,0,0,0,0,0,0.07390618841150966,0.0,0.0,0.0,
21,46.31837010383606,0.03695309420575483,1500,40592,0.1286687326891534,-0.8935438394546509,-0.5319631099700928,1.909376859664917,0,inf,0,0,750,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
22,48.33286643028259,0.03695309420575483,1500,40592,0.13480084981216583,-0.8588839173316956,-0.5981255769729614,1.9676817655563354,0,inf,0,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
23,50.35376954078674,0.03695309420575483,1500,40592,0.14018475046512438,-0.8303725123405457,-0.5726763606071472,2.0413804054260254,0,inf,0,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
24,52.37864446640015,0.03695309420575483,1500,40592,0.14018475046512438,-0.8237594962120056,-0.5727294683456421,2.0960841178894043,0,inf,0,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
25,54.40311884880066,0.03695309420575483,1500,40592,0.14537062915293267,-0.8168792724609375,-0.5537562966346741,2.096266508102417,0,inf,0,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
26,56.422178983688354,0.03695309420575483,1500,40592,0.1491979579272028,-0.8139790892601013,-0.5304883718490601,2.085826873779297,0,inf,0,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
27,58.44166612625122,0.03695309420575483,1500,40592,0.2984538958327947,-0.8036273121833801,-0.546597421169281,2.1264991760253906,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
28,60.466623067855835,0.03695309420575483,1500,40592,0.2984538958327947,-0.8405221700668335,-0.5444049835205078,2.10880970954895,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
29,62.49733805656433,0.03695309420575483,1500,40592,0.2984538958327947,-0.8054142594337463,-0.5649222731590271,2.079925537109375,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
30,64.51712417602539,0.03695309420575483,1500,40592,0.2970295413174789,-0.7885542511940002,-0.5472986102104187,2.0989699363708496,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
31,66.53362107276917,0.03695309420575483,1500,40592,0.2970295413174789,-0.8448187708854675,-0.49918025732040405,2.086507797241211,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
32,68.55640816688538,0.03695309420575483,1500,40592,0.2970295413174789,-0.8160752058029175,-0.4396994709968567,2.063251256942749,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
33,70.57193398475647,0.03695309420575483,1500,40592,0.3073290408895334,-0.8051564693450928,-0.4610429108142853,2.1067490577697754,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
34,72.5949535369873,0.03695309420575483,1500,40592,0.3129987299332052,-0.795257568359375,-0.5159022212028503,2.140589952468872,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
35,74.61985754966736,0.03695309420575483,1500,40592,0.32705353216105437,-0.7730610966682434,-0.5489182472229004,2.1318297386169434,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
36,76.64572310447693,0.03695309420575483,1500,40592,0.32705353216105437,-0.7450462579727173,-0.5342409014701843,2.1203255653381348,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
37,78.66823673248291,0.03695309420575483,1500,40592,0.3444537310072204,-0.8135371804237366,-0.5024300217628479,2.1322455406188965,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
38,80.68859148025513,0.03695309420575483,1500,40592,0.3208186017047132,-0.7892822027206421,-0.48259079456329346,2.090726613998413,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
39,82.70992040634155,0.03695309420575483,1500,40592,0.3208186017047132,-0.7871542572975159,-0.46727287769317627,2.060450792312622,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
40,84.72927975654602,0.03695309420575483,1500,40592,0.3208186017047132,-0.7615818977355957,-0.47003045678138733,2.0708913803100586,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
41,86.75014567375183,0.03695309420575483,1500,40592,0.3208186017047132,-0.7697173953056335,-0.5673439502716064,2.0944347381591797,0,inf,1,0,0,1,1,0.07390618841150966,0.07390618841150966,0.0,0.0,
42,91.83073258399963,0.05542964130863224,2250,40592,0.4220363485076432,-0.7429749369621277,-0.5819234251976013,2.958015203475952,0,inf,1,0,750,2,2,0.07390618841150966,0.07390618841150966,0.07390618841150966,0.0,
43,93.84364938735962,0.05542964130863224,2250,40592,0.43398936056287746,-0.6948124766349792,-0.554357647895813,3.006458044052124,0,inf,1,0,0,2,2,0.07390618841150966,0.07390618841150966,0.07390618841150966,0.0,
44,95.87659740447998,0.05542964130863224,2250,40592,0.43398936056287746,-0.6903231739997864,-0.487714022397995,3.004624128341675,0,inf,1,0,0,2,2,0.07390618841150966,0.07390618841150966,0.07390618841150966,0.0,
45,97.8943407535553,0.05542964130863224,2250,40592,0.4316411033165569,-0.6912082433700562,-0.478574275970459,3.0303189754486084,0,inf,1,0,0,2,2,0.07390618841150966,0.07390618841150966,0.07390618841150966,0.0,
46,99.91599726676941,0.05542964130863224,2250,40592,0.4443881027040258,-0.7111778259277344,-0.5045771598815918,3.070183515548706,0,inf,1,0,0,2,2,0.07390618841150966,0.07390618841150966,0.07390618841150966,0.0,
