step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,alt_idx,altitude_changes,cov_alt0,cov_alt1,cov_alt2,cov_alt3,note
1,2.516145944595337,0.018986042692939246,740,38976,0.034688812493986074,-0.7948592305183411,-0.583767294883728,0.9122672080993652,14,0.350716684169004,0,0,740,0,0,0.07594417077175698,0.0,0.0,0.0,
2,4.550443649291992,0.01965311986863711,766,38976,0.037767547503875135,-0.8571962118148804,-0.6592063903808594,0.9317587614059448,14,0.2577872357210426,0,0,26,0,0,0.07861247947454844,0.0,0.0,0.0,
3,6.609946966171265,0.019704433497536946,768,38976,0.04382607567044211,-0.9071066975593567,-0.5598559379577637,1.0252031087875366,14,0.3456030978463062,0,0,2,0,0,0.07881773399014778,0.0,0.0,0.0,
4,8.670358657836914,0.019730090311986862,769,38976,0.05316527303122103,-0.8681816458702087,-0.627545952796936,1.0267889499664307,14,0.28517375670753775,0,0,1,0,0,0.07892036124794745,0.0,0.0,0.0,
5,10.695512771606445,0.019781403940886698,771,38976,0.05775764361809128,-0.854162335395813,-0.6128489971160889,1.0418802499771118,14,0.3030035874696519,0,0,2,0,0,0.07912561576354679,0.0,0.0,0.0,
6,12.7348473072052,0.01988403119868637,775,38976,0.06132056650847433,-0.8322235941886902,-0.6160419583320618,1.0899382829666138,14,0.30675560507111727,0,0,4,0,0,0.07953612479474548,0.0,0.0,0.0,
7,14.769062757492065,0.01988403119868637,775,38976,0.06779801370764155,-0.741870105266571,-0.6056992411613464,1.0394004583358765,14,0.3571921706724485,0,0,0,0,0,0.07953612479474548,0.0,0.0,0.0,
8,16.79831290245056,0.01988403119868637,775,38976,0.07555296886634202,-0.8387455344200134,-0.45364031195640564,1.0195482969284058,14,0.25623420233857086,0,0,0,0,0,0.07953612479474548,0.0,0.0,0.0,
9,18.833590984344482,0.01988403119868637,775,38976,0.08399753384091894,-0.7726671099662781,-0.5558479428291321,1.0093492269515991,14,0.321652419925347,0,0,0,0,0,0.07953612479474548,0.0,0.0,0.0,
10,20.878064393997192,0.01988403119868637,775,38976,0.0865622580790549,-0.8222019672393799,-0.4752861261367798,1.0377415418624878,14,0.26553534694185726,0,0,0,0,0,0.07953612479474548,0.0,0.0,0.0,
11,22.918123960494995,0.01993534482758621,777,38976,0.09140515685878056,-0.7630913853645325,-0.4872009754180908,1.0404902696609497,14,0.2529894220598455,0,0,2,0,0,0.07974137931034483,0.0,0.0,0.0,
12,24.939964771270752,0.01993534482758621,777,38976,0.09796238742116428,-0.8183902502059937,-0.44856777787208557,1.0051852464675903,14,0.2406737563462087,0,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
13,26.966696739196777,0.01993534482758621,777,38976,0.09413116619636219,-0.8585454225540161,-0.5516538619995117,1.0065780878067017,14,0.34992013494887375,0,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
14,28.993249654769897,0.01993534482758621,777,38976,0.09452415809646972,-0.8588556051254272,-0.5597601532936096,0.9920260310173035,14,0.3532715762070796,0,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
15,31.029402494430542,0.01993534482758621,777,38976,0.09452415809646972,-0.9236071109771729,-0.5333804488182068,0.9948436617851257,14,0.3710463904105075,0,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
16,33.0666184425354,0.01993534482758621,777,38976,0.09452415809646972,-0.8215749859809875,-0.49024149775505066,1.003259539604187,14,0.2783079781218023,0,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
17,35.094173431396484,0.01993534482758621,777,38976,0.09586948566083381,-0.8211957216262817,-0.5560048222541809,0.9794315695762634,14,0.3375444892198864,1,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
18,37.12236022949219,0.01993534482758621,777,38976,0.09310599951708008,-0.7880048751831055,-0.5422272086143494,0.9848613739013672,14,0.3129679645961198,1,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
19,39.16187381744385,0.01993534482758621,777,38976,0.09235111501922323,-0.8427091836929321,-0.5529122352600098,0.9884717464447021,14,0.3437004452442503,1,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
20,41.19433403015137,0.01993534482758621,777,38976,0.09235111501922323,-0.8002055287361145,-0.642931342124939,0.9516177177429199,14,0.2951164390829398,1,0,0,0,0,0.07974137931034483,0.0,0.0,0.0,
21,45.29575824737549,0.04640741303357132,1833,39498,0.11715363995410416,-0.8434385061264038,-0.6172001957893372,1.966194748878479,14,0.3019890744173321,1,0,1056,1,1,0.07974137931034483,0.10286382232612508,0.0,0.0,
22,47.32514142990112,0.048356878829307816,1910,39498,0.1112966030781688,-0.8788706064224243,-0.5670976042747498,1.9316290616989136,14,0.3421301401965807,1,0,77,1,1,0.07974137931034483,0.11036430937073836,0.0,0.0,
23,49.37288451194763,0.048356878829307816,1910,39498,0.10943196109062367,-0.7859363555908203,-0.5249969363212585,1.8834154605865479,14,0.29588282444483605,1,0,0,1,1,0.07974137931034483,0.11036430937073836,0.0,0.0,
24,51.421441316604614,0.048356878829307816,1910,39498,0.1086471827302381,-0.8300175666809082,-0.5113905072212219,1.8921726942062378,14,0.30094639233875614,1,0,0,1,1,0.07974137931034483,0.11036430937073836,0.0,0.0,
25,53.44263172149658,0.048356878829307816,1910,39498,0.11083472734754701,-0.7989458441734314,-0.5311552286148071,1.9220677614212036,14,0.3061926376105072,1,0,0,1,1,0.07974137931034483,0.11036430937073836,0.0,0.0,
